"Name","Creates?","Modifies?","Mounts?","Writes/Burns?","Extracts?","Inputformat","Outputformat","OS","License"
"mkisofs","Yes","No","No","No","No","N/A","?","Unix,Linux,AmigaWindows,macOS","Freesoftware(GPL)"
"CDRoller","Yes","No","No","Yes","Yes","ISO","ISO","Windows","Shareware"
"CDRWIN","Yes","Yes","No","Yes","Yes","ISO,BIN+CUE,AudioFileTypes+CUE,ISO+CUE,AudioFileTypes+ISO+CUE,ISO+AudioFileTypes+CUE","BIN+CUE","Windows","Shareware"
"CloneCD","Yes","No","No","Yes","No","N/A","ISO,UFD,IMG","Windows","Shareware"
"CloneDVD","Yes","No","No","Yes","Yes","ISO","ISO","Windows","Shareware"
"DaemonTools","Yes","AlleditionsexceptLite","Yes","Yes","AlleditionsexceptLite","BIN+CUE,B5T,B6T,BWT,CCD,CDI,ISO,ISZ,MDF+MDS,MDX,NRG,VHD,VMDKandTrueCrypt","ISO,MDF+MDS,MDX–VHDandTrueCryptinUltraedition","Windows","Freemium"
"DeepBurner","Yes","No","No","Yes","No","ISO","ISO","Windows","Freemium"
"Disco","Yes","No","No","Yes","No","CDR,ISO,DMG","CDR,ISO,DMG","macOS","Freeware"
"DiscJuggler","?","?","?","?","?","CDI,ISO","CDI","Windows","Shareware"
"DiskUtility","Yes","Yes","Yes","Yes","Yes","DMG,ISO","DMG,ISO","macOS","PartofmacOS"
"DiskImageMounter","No","Yes","Yes","Yes","No","DMG,ISO","DMG,ISO","macOS","PartofmacOS"
"DVDShrink","Yes","No","No","No","Yes","ISO,NRG,IMG,MDF+MDS","ISO","Windows","Freeware"
"FuriusISOMount","No","No","Yes","Yes","No","ISO,IMG,BIN,MDF+MDS,NRG","?","Linux","Freesoftware(GPL)"
"ImageforWindows","Yes","No","Yes","Yes","Yes","TBI,VHD,VMDK","TBI,VHD,VMDK","Windows","Shareware"
"ImgBurn","Yes","No","No","Yes","No","APE+CUE,BIN+CUE,CDI,CDR,DI,FLAC+CUE,GCM,GI,IBQ,IMG,ISO,LST,MDF+MDS,NRG,PDI,UDI,WV","ISO,IMG,BIN+CUE","Windows","Freeware"
"InfraRecorder","Yes","No","No","Yes","No","ISO","ISO","Windows","Freesoftware(GPL)"
"ISORecorder","Yes","No","No","Yes","No","ISO","ISO","Windows","Freesoftware(BSDlicense)"
"IsoBuster","Yes","No","No","Yes","Yes","DAO,TAO,ISO,BIN,IMG,CCD,CIF,FCD,NRG,GCD,P01,2D,CUE,CDI,CD,GI,PXI,MDS,MDF,VC4,000,B5T,B5I,B6T,B6I,DMG,HFV,DC42,IBP,IBQ,IBDAT,IBADR,NCD,FLP,E01,Ex01,S01,RMG,VMDK,UDF,DD,VHD,VHDX,VDI,WBFS,XISO,XBX,ST,GDI,DCM,VMU,DDF,GME,MCD,MCI,MCR,MEM,PS,PSM,SAVERAM,SRM,VCD,VGS,VM1,VMP,APA,DAT,PS2,VM2,VMC,RAW,DSK,IMAGE,IMA,ADF,HDF,1Kn,2Kn,4Kn,8Kn,16Kn,32Kn,64Kn,512e,512,128,256,2056,2324,2332,2336,2352,2368,2448","ISO,TAO,BIN,CUE,IBADR+IBDAT,DSK,1KN,2KN,4KN,8KN,16KN,32KN,64KN,IBR,IBPandIBQ","Windows","Shareware"
"K3b","Yes","No","No","Yes","Yes","ISO","N/A","Unix-like","Freesoftware(GPL)"
"libguestfs","Yes","Yes","Yes","No","Yes","raw,qcow2,VMDK,VHD","raw,qcow2,VMDK,VHD","Linux","Freesoftware(LGPL)"
"Loopdevice","No","No","Yes","No","No","Rawimage","N/A","Linux,FreeBSD","Freesoftware"
"MagicISO","Yes","Yes","WithMagicDisc","Yes","Yes","BothMagicISOandMagicDisc:ISO,BIN+CUE,IMA,IMG,CIF,NRG,IMG+CCD,MDF+MDS,VCD,VaporCD,P01,MD1,XA,VC4/000,VDI,C2D,BWI+BWT,CDI,TAO/DAO,PDI.MagicISOonly:DMG,FLP,DSK,BFI,BIF,WBT","ISO,BIN+CUE,UIF,NRG,DMG","Windows","Shareware"
"mount","No","No","Yes","No","No","ISO","N/A","Linux","Freesoftware(GPL)"
"NeroMultimediaSuite","Yes","No","No","Yes","No","ISO,NRG","ISO,NRG","Windows","Shareware"
"NeroBurningROM","Yes","No","No","Yes","No","ISO,NRG","ISO,NRG","Windows","Shareware"
"NeroLinux","Yes","No","No","Yes","No","ISO,NRG","ISO,NRG","Linux","Shareware(Discontinued)"
"NortonGhost","Yes","No","Yes","Yes","?","GHO,GHS,VMDK,V2I,IV2I,PQI","GHO,GHS,VMDK","Windows","Shareware"
"Partimage","Yes","No","No","Yes","No","Compressedfilesystemimages:Ext2,Ext3,Reiserfs,FAT16,FAT32,HPFS,JFS,Xfs,UFS,HFSandNTFS","Ext2,Ext3,Reiserfs,FAT16,FAT32,HPFS,JFS,Xfs,UFS,HFSandNTFS","Linux","Freesoftware(GPL)"
"PeaZip","No","No","No","No","Yes","DMG,ISO,VHD,WIM","N/A","Windows,Linux","Freesoftware(LGPLv3)"
"RoxioCreator","Yes","No","No","Yes","No","ISO,C2D,BIN+CUE,GI","ISO,GI","Windows","Proprietarycommercial"
"RoxioToast","No","No","No","Yes","No","ISO,BIN+CUE,IMG,DMG,CDR,NRG","N/A","macOS","Proprietarycommercial"
"UltraISO","Yes","Yes","Yes","Yes","Yes","BIN+CUE,BWI+BWT,B5T+B5I,B6T+B6I,C2D,CDI,CIF,DAA,DMG,FCD,G2D,GCD,GI,IMA,IMG+CCD,IML,ISO,ISZ,LCD,MDF+MDS,NCD,NRG,P01+MD1+XA,PDI,PXI,TAO,DAO,UIF,VaporCD,VC4/000,VCD,VDI,XMD+XMF","BIN+CUE,CCD+IMG+SUB,ISO,ISZ,MDF+MDS,NRG","Windows","Trialware"
"VirtualCloneDrive","No","No","Yes","No","No","ISO,BIN,IMG,UDF,DVD,CCD","N/A","Windows","Freeware"
"VirtualCD-ROMControlPanel","No","No","Yes","No","No","ISO","N/A","Windows","Freeware"
"WADK","Yes","Yes","Yes","Yes","No","WIM,WSM","WIM,WSM","WindowsNT","Freeware;DISMcomponentisincludedwithWindows"
"WinCDEmu","Yes","No","Yes","No","No","ISO,BIN,NRG,MDF+MDS,CCD,IMG","N/A","Windows","Freesoftware(LGPL)"
"FileExplorer","VHDonly","No","Yes","ISOonly","No","ISO,VHD","VHD","WindowsNT","PartofWindows"
"WinRAR","No","No","No","No","Yes","ISO","N/A","Windows","Shareware"
"WinZip","No","No","No","No","Yes","ISO","N/A","Windows","Shareware"
"xorriso","Yes","Yes","LinuxFreeBSD","Linux,BSD,Solaris","Yes","ISO","ISO","Unix,Linux,Cygwin,macOS","Freesoftware(GPL)"
"Name","Creates?","Modifies?","Mounts?","Writes/Burns?","Extracts?","Inputformat","Outputformat","OS","License"
