"Gentoo/FreeBSD","GentooLinuxdevelopers","?","FreeBSD","?","?","Free","GPL,BSD","Server,Workstation,NetworkAppliance","usesGentooframework"
"Gentoo/OpenBSD","GentooLinuxdevelopers","?","OpenBSD","?","?","Free","GPL,BSD","Server,Workstation,NetworkAppliance,Embedded","usesGentooframework"
"Gentoo/NetBSD","GentooLinuxdevelopers","?","NetBSD","?","?","Free","GPL,BSD","Server,Workstation,NetworkAppliance,Embedded","usesGentooframework"
"Gentoo/DragonflyBSD","RobertSebastianGerus(projectnotyetofficiallysupportedbyGentoo)","?","DragonFlyBSD","?","?","Free","?","Server,Workstation,NetworkAppliance","usesGentooframework"
"DebianGNU/kFreeBSD","TheDebianGNU/kFreeBSDteam","2011-02-06","GNU,FreeBSD","7.5","2014-04-26","Free","DFSG","Generalpurpose","GNUuserspaceonFreeBSDkernel"
"DebianGNU/NetBSD","TheDebianGNU/kNetBSDteam","Abandoned","GNU,NetBSD","Abandoned","Abandoned","Free","DFSG","Generalpurpose","GNUuserspaceonNetBSDkernel"
"MidnightBSD","LucasHolt","2007-08-04","FreeBSD6.1beta","2.0","2020-11-13","Free","BSD","Desktop","GNUstepbasedDesktopEnvironment"
"pfSense","variouscontributors","2006-10-04","FreeBSD","2.5.2","2021-07-17","Free","BSD","Securityappliance","firewall/NAT,LiveCD"
"PaxymFreeBSDforOcteon","PaxymInc.","2007-12-11","FreeBSD7.0","4.7","2008-08-13","?","Proprietary","Network,Storage,SecurityApplications:Routers/UTM/Firewall/NAS","ForCaviumNetworksOcteonMIPSarchitecturemulticoreprocessors"
"MaheshaBSD","","?","FreeBSD8","?","?","Free","BSD","FreeBSDmultipurpose",""
"KarmaBSD","","?","FreeBSD8OpenBSD","?","?","Free","Freesoftware","FreeBSD,OpenBSDFirewall,MP3player,backup,others",""
"Jibbed","","","OpenBSD,NetBSD","6.0","","Free","BSD","","LiveCDofNetBSD","LiveCDofNetBSD"
"Bitrig","TheBitrigDevelopers","2014-11-25","OpenBSD","1.0","2014-11-25","Free","ISC","GeneralPurpose","Focusonmodernplatformsandtools"
"StarBSD","digitalIXICorp","2009-12-01","FreeBSD","2020.3","2020-03-25","Free","SimplifiedBSD","Server,Workstation,NetworkAppliance,Embedded","Aimsformaximumscalability."
"","Developer","Firstpublicrelease","Basedon","Version","ReleaseDate","Cost(USD)","Preferredlicense","Purpose","Shortdescription"
