"JS/CC","LALR(1)","EBNF","JavaScript,JScript,ECMAScript","Mixed","internal","All","Yes","Free,BSD"
"KDevelop-PG-Qt","LL(1),backtracking,shunting-yard","?","C++","Mixed","generatedorexternal","All,KDE","No","Free,GNULGPL"
"Kelbt","BacktrackingLALR(1)","?","C++","Mixed","generated","POSIX","No","Free,GNUGPL"
"kmyacc","LALR(1)","?","C,Java,Perl,JavaScript","Mixed","external","All","No","Free,GNUGPL"
"Lapg","LALR(1)","?","C,C++,C#,Java,JavaScript","Mixed","generated","Javavirtualmachine","No","Free,GNUGPL"
"Lemon","LALR(1)","?","C","Mixed","external","All","No","Free,publicdomain"
"Lime","LALR(1)","?","PHP","Mixed","external","All","No","Free,GNUGPL"
"LISA","LR(?),LL(?),LALR(?),SLR(?)","?","Java","Mixed","generated","Javavirtualmachine","Yes","Free,publicdomain"
"LLgen","LL(1)","?","C","Mixed","external","POSIX","No","Free,BSD"
"LLnextgen","LL(1)","?","C","Mixed","external","All","No","Free,GNUGPL"
"LLLPG","LL(k)+syntacticandsemanticpredicates","ANTLR-like","C#","Mixed","generated(?)",".NETFramework,Mono","VisualStudio","Free,GNULGPL"
"LPG","BacktrackingLALR(k)","?","Java","Mixed","generated","Javavirtualmachine","No","Free,EPL"
"LRSTAR","LALR(1),LALR(k)","YACC,ANTLR,EBNF","C++","separated","generated","Windows","VisualStudio","BSD"
"Menhir","LR(1)","?","OCaml","Mixed","generated","All","No","Free,QPL"
"ML-Yacc","LALR(1)","?","ML","Mixed","external","All","No","?"
"Monkey","LR(1)","?","Java","Separate","generated","Javavirtualmachine","No","Free,GNUGPL"
"Msta","LALR(k),LR(k)","YACC,EBNF","C,C++","Mixed","externalorgenerated","POSIX,Cygwin","No","Free,GNUGPL"
"MTP(MoreThanParsing)","LL(1)","?","Java","Separate","generated","Javavirtualmachine","No","Free,GNUGPL"
"MyParser","LL(*)","Markdown","C++11","Separate","internal","AnywithstandardC++11compiler","No","Free,MIT"
"NLT","GLR","C#/BNF-like","C#","Mixed","mixed",".NETFramework","No","Free,MIT"
"ocamlyacc","LALR(1)","?","OCaml","Mixed","external","All","No","Free,QPL"
"olex","LL(1)","?","C++","Mixed","generated","All","No","Free,GNUGPL"
"Parsec","LL,backtracking","Haskell","Haskell","Mixed","none","All","No","Free,BSD"
"Parse::Yapp","LALR(1)","?","Perl","Mixed","external","All","No","Free,GNUGPL"
"ParserObjects","LL(k)","?","Java","Mixed","?","Javavirtualmachine","No","Free,zlib"
"PCCTS","LL","?","C,C++","?","?","All","No","?"
"PLY","LALR(1)","BNF","Python","Mixed","generated","All","No","Free,MIT"
"PlyPlus","LALR(1)","EBNF","Python","Separate","generated","All","No","Free,MIT"
"PRECC","LL(k)","?","C","Separate","generated","DOS,POSIX","No","Free,GNUGPL"
"racc","LALR(1)","BNF-like,yacc-like","Ruby","Mixed","?","Windows,Linux,macOS,FreeBSD,NetBSD","No","LGPL"
"QLALR","LALR(1)","?","C++","Mixed","external","All","No","Free,GNUGPL"
"SableCC","LALR(1)","?","C,C++,C#,Java,OCaml,Python","Separate","generated","Javavirtualmachine","No","Free,GNULGPL"
"SLK","LL(k)LR(k)LALR(k)","EBNF","C,C++,C#,Java,JavaScript","Separate","external","All","No","SLK"
"SLY","LALR(1)","BNF","Python","Mixed","generated","All","No","Free,MIT"
"SP(SimpleParser)","Recursivedescent","Python","Python","Separate","generated","All","No","Free,GNULGPL"
"Spirit","Recursivedescent","?","C++","Mixed","internal","All","No","Free,Boost"
"Styx","LALR(1)","?","C,C++","Separate","generated","All","No","Free,GNULGPL"
"SweetParser","LALR(1)","?","C++","Separate","generated","Windows","No","Free,zlib"
"Tap","LL(1)","?","C++","Mixed","generated","All","No","Free,GNUGPL"
"TextTransformer","LL(k)","?","C++","Mixed","generated","Windows","Yes","Proprietary"
"TinyPG","LL(1)","?","C#,VisualBasic","?","?","Windows","Yes","Partial,CPOL1.0"
"ToyParserGenerator","Recursivedescent","?","Python","Mixed","generated","All","No","Free,GNULGPL"
"TPYacc","LALR(1)","?","TurboPascal","Mixed","external","All","Yes","Free,GNUGPL"
"Tree-Sitter","LR(1),GLR","JavaScriptDSL,JSON","C,bindings(Rust,WebAssembly,JavaScript,Python,manyother)","Separate","generated+external","All","Neovim,VisualStudioCode","Free,MIT"
"TunnelGrammarStudio","Recursivedescent,backtracking","ABNF","C++","Separate","generated","Windows","Yes","Proprietary"
"UltraGram","LALR(1),LR(1),GLR","BNF","C++,Java,C#,VisualBasic.NET","Separate","external","Windows","Yes","Free,publicdomain"
"UniCC","LALR(1)","EBNF","C,C++,Python,JavaScript,JSON,XML","Mixed","generated","POSIX","No","Free,BSD"
"UrchinCC","LL(1)","?","Java","?","generated","Javavirtualmachine","No","?"
"Whale","LR(?),someconjunctivestuff,seeWhaleCalf","?","C++","Mixed","external","All","No","Proprietary"
"wisent","LALR(1)","?","C++,Java","Mixed","external","All","No","Free,GNUGPL"
"YaccAT&T/Sun","LALR(1)","Yacc","C","Mixed","external","POSIX","No","Free,CPL&CDDL"
"Yacc++","LR(1),LALR(1)","Yacc","C++,C#","Mixed","generatedorexternal","All","No","Proprietary"
"Yapps","LL(1)","?","Python","Mixed","generated","All","No","Free,MIT"
"yecc","LALR(1)","?","Erlang","Separate","generated","All","No","Free,Apache2.0"
"VisualBNF","LR(1),LALR(1)","?","C#","Separate","generated",".NETFramework","Yes","Proprietary"
"YooParse","LR(1),LALR(1)","?","C++","Mixed","external","All","No","Free,MIT"
"Parse","LR(1)","BNFinC++types","?","?","none","C++11standardcompiler","No","Free,MIT"
"GGLL","LL(1)","Graph","Java","Mixed","generated","Windows","Yes","Free,MIT"
"Product","Parsingalgorithm","Inputgrammarnotation","Outputlanguages","Grammar,code","Lexer","Developmentplatform","IDE","License"
