"Name","floppy","ISO","foldersonhost","physicaldisk/device","raw/flat(wholedisk)","raw/flat(partition)","hdd(Parallels)","QCOW(QEMU)","QCOW2(QEMU)","QED(QEMU)","VDI(VirtualBox)","VHD(ConnectixVirtualPC)","VHDX(Hyper-V)","VMDK(VMware)"
"SIMH","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Simics","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"SunxVMServer","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"SVISTA2004","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"TRANGO","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"UserModeLinux","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"VirtualBox","Yes","Yes","Withguestintegrationinstalledonguestos.","Yes","Yes","Yes","uptov2","Yes","read-only","Yes","Yes","Yes","Canreadexistingdisks,butnotcreatenewdisks.","Yes"
"VirtualIron3.1","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"VirtualPC2007","Yes","Yes","?","?","?","?","No","No","No","No","No","Yes","No","No"
"WindowsVirtualPC","Yes","Yes","?","?","?","?","No","No","No","No","No","Yes","Yes","No"
"VirtualPC7forMac","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No"
"VirtualLogixVLX","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"VirtualServer2005R2","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Synopsys(CoWare)VirtualPlatform","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Virtuozzo","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"VMwareESXServer","?","?","?","?","?","?","?","?","?","?","?","Yes","?","?"
"VMwareESXi","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes"
"VMwareFusion","?","Yes","?","?","?","?","?","?","?","?","?","?","?","Yes"
"VMwareServer","?","?","?","?","?","?","?","?","?","?","?","?","?","Yes"
"VMwareWorkstation","Yes","Yes","?","Yes","?","?","?","?","?","?","?","?","?","Yes"
"VMwarePlayer","Yes","Yes","?","Partial","?","?","?","?","?","?","?","?","?","Yes"
"WindRiverHypervisor","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"WindRiverVxWorksMILSPlatform","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Xen","Yes","Yes","?","Yes","Yes","?","?","Yes","Yes","?","?","Yes","?","?"
"XCP-ng","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"XenServer","Yes","Yes","?","Yes","Yes","?","?","Yes","Yes","?","?","Yes","?","?"
"XtratuM","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"z/VM","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"zLPARs","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Name","floppy","ISO","foldersonhost","physicaldisk/device","raw/flat(wholedisk)","raw/flat(partition)","hdd(Parallels)","QCOW(QEMU)","QCOW2(QEMU)","QED(QEMU)","VDI(VirtualBox)","VHD(ConnectixVirtualPC)","VHDX(Hyper-V)","VMDK(VMware)"
