"Name","Organizingprinciple(s)","Outlinebulletingwithindent","Tabbedsections","Sync","WebClipping","PDFannotateandsave","Whiteboard","Ink-peninput","Handwritingrecognition","Spellcheck","Search","Replaceinnote","Printing","Filesave/export/importformats"
"Org-mode(Emacs)","tree,tags","Yes","Yes","Yes","?","Yes","No","No","No","Yes","Yes","?","Yes","LaTeX,HTML,DocBook,Taskjuggler,PDF,Freemind,XOXO,iCalendar"
"Outline","Tree-structurednotebooks,sections,pages","Yes","Yes","Yes","?","Yes","No","Yes","No","Yes","Yes","?","Yes","MSOneNoteformat,export/importasPDF"
"PDFStudio","?","?","?","?","?","Yes","No","?","?","?","?","?","Yes","PDF"
"PersonalKnowbase","tags","?","?","?","?","No","No","?","?","?","?","?","Yes","ExporttoRTF,HTML,TXT,CSV"
"Qiqqa","tags,brainstorm","No","No","Yes","?","Yes","No","Yes","No","No","Yes","?","Yes","Proprietary,PDF,Brainstorm;exporttoRTFandWord"
"Simplenote","tags","Yes","No","Yes","?","No","No","No","No","Yes","Yes","?","Yes","ExporttoXML"
"TagSpaces","tags,files,directories","Yes","No","No","?","No","No","No","No","No","Yes","?","Yes","PNG,JPG,GIF,BMP,ICO,WEBP,SVG,PDF,HTML,MHT,MHTML,MARKDOWN,TXT,XML,JSON,OGG,OGV,WEBM,ODT,ODS,ODP,ODG,EPUB,ZIP"
"TiddlyWiki","tags(wikiwords)","Yes","Yes","Yes","?","Viaplugin","No","?","No","Yes(viabrowser)","Yes","?","Yes","HTML,json,txt,csv"
"Tomboy","?","Yes","?","Yes","?","No","No","No","No","Yes","Yes","?","Yes","NoteXmlFormat,HTML,PDF,wiki-formats"
"Ulysses","Notebooks,sections,tags","Yes","Yes","Yes","?","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Richtext;exportasHTML;importtextfiles;markdownediting."
"MicrosoftWindowsJournal","?","?","No","?","?","No","?","Yes","Yes","?","?","?","Yes","Proprietary"
"Xournal++","Pages,Layers","Yes","No","No","?","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Storedinxopp;export:PDF,SVG,PNG"
"Zim","tags(wikiwords)","Yes","No","No","?","No","No","No","No","Yes","Yes","Yes","Yes,usinginstalledwebbrowser","StoredinmodifiedDokuWikiMarkdown;export:HTML,LaTeX,PandocMarkdown,SphinxRST(reStructuredText)"
"Name","Organizingprinciple(s)","Outlinebulletingwithindent","Tabbedsections","Sync","WebClipping","PDFannotateandsave","Whiteboard","Ink-peninput","Handwritingrecognition","Spellcheck","Search","Replace","Printing","Filesave/export/importformats"
