"ResearchNetworkingTool","InteroperabilitywithInstitutionalEnterpriseSystems","InteroperabilitywithExternalSystems","IntegrationwithAdd-onComponentsorProducts","Regional,National,InternationalorFederatedConnectivity?"
"ERIMMemberProfileSystem(ERIMMIS)","Yes","YesIDresolverincluded,solinkstoexternalsystemsarecreated,likeSSRN,ResearcherID,Googlescholaralerts&Search,socialmentionsearchfrompersonalpage,MEEBOsharingpossible,Tyntstatisticsincluded","Unknown","No"
"Esploro","YesEsploroprovidesmultipleRESTAPIsforintegrationwithenterprisesystemssuchasHRSystems,CRIS/RIM,InstitutionalRepositories,profiles,grantmanagementsystemsandmore.IntegrationwithrepositoriescanbedonealsoviaOAI-PMHandEsploroautomaticallycapturesdata,suchasoutputs,grants,researchersprofilesandmorefrommultipleinstitutionalandcross-institutionalsystems.","YesIntegrationwiththe,ProQuest‘sSummonService,ORCID,PubMed,CrossRef,DataCiteetc.FilescanbeimportedandexportedinformatslikeDublinCore,DataCiteandBibTeX.","Yes","YesPlanstoenableconsortiumandcollaborationcapabilitiesbasedonExLibrisAlmaNetworkandCommunityZones"
"EUREKA!EnhancingStudentResearch","No","No","Unknown","No"
"Expertise@Maryland","Maybepossible","No","Unknown","No"
"FacultyProfileSystem","No","No","Unknown","No"
"FacultyResearchInformationProfile(FRIP)","Discontinued.Workonthissystemceased;movedontodevelopingDigitalVita","N/A","N/A","N/A"
"FacultyScholarlyProductivityIndex","Unknown","Unknown","Unknown","No"
"GENIUS","Yes","YesOnlyotherInfoEdmodules(SMARTS:Servicethatautomaticallysendsnoticesoffundingopportunitiesviaemail.Youprovidekeywordsthatdescribeyourresearchinterests,andSMARTSmatchesthosekeywordswithpresentfundingprograms;SPIN:Enablessubscriberstodirectlysearchforallsponsoredprograms,pastandpresent,containedwithintheInfoEddatabase)","Unknown","No"
"Google","No","Yes","Possibly","No"
"HUBzero","No","YesPubMed;dataissemanticwebcompliantasofAugust2011","Possibly","No"
"iamResearcher","Unknown","Unknown","Unknown","Unknown"
"iAMscientist","No","YesPubMed","Unknown","No"
"i2iConnect","No","No","Unknown","Yes"
"InCites","Yes(InstitutionshaveaccesstoWebServicesinordertofeeddataintointernaldatabases.)","Yes(IntegrateswithConveris.)","Yes(WebofScience,ResearcherID)","No"
"INDURE(IndianaDatabaseforUniversityResearchExpertise)","No","No","Unknown","Yesfor4Indianainstitutionsonly"
"LattesDatabase","Unknown","Unknown","Unknown","Unknown"
"LatticeGrid","YesInfoEd,eIRB,MedicalSchoolfacultydatabase","Yes(PubMed)","Yes(Possible)","YesNationalfederatedconnectivitythroughDIRECT2Experts"
"LinkedIn","No","No","Unknown","No"
"LifeScienceNetwork","No","Yes(Pubmed)","No","No"
"Loki","YesPossible","Yes","Unknown","No"
"Lyterati","Yes(Ellucian,PeopleSoft,WorkdayInfoEd,Coeus)","Yes(PubMed,VIVO,GoogleScholar,BibTexorCSVSources)","Yes(BibTexandCSV)","Yes,capable"
"McCormickCollaborationVisualizationTool","No","YesOnlyClarivateAnalyticsWebofScience","Unknown","No"
"MizzouLinks","Maybe","No","Unknown","No"
"MyScienceWork","No","Unknown","Unknown","Yes"
"OSU:pro","No","Unknown","Unknown","No"
"Pivot","No","Maybe","Unknown","Unknown"
"Portfolio&Showroom","Yes","YesORCID,university'srepository,librarycatalogue.FilescanbeimportedandexportedasBibTeX.","Yes","YesShowroomworksasacross-instancesearch."
"ProfilesResearchNetworkingSoftware","Yes","YesPubmed,commercialsourcesofpublicationdata,semanticwebapplicationsviaVIVOontology.","Yes","YesProfilesUsersGrouphasregularconferencecallsandworksoncollaborativesoftwaredevelopmentprojects.ProfilescanperformfederatedqueriesacrossotherProfilesinstances,andwithotherproductsusinglinkedopendata(VIVOontology)andtheDIRECT2ExpertsAPI."
"REACHNCLifeScienceExpertsVisualizationTool","Yes","YesThroughSciValAPI","No","No"
"ResearchAccelerator","No","No","Unknown","No"
"ResearcherID","No","YesThroughResearcherIDdownloadservice,institutionscanloaddataintotheirinternalsystems.AlsoisintegratedwithotherClarivateAnalyticsofferings,includingWebofScience,EndNote,andResearchInView","Unknown","No"
"SciENcv","Yes(ispossiblethroughopendataexchangestandards)","Yes","Unknown","No"
"SymplecticElements","YesClientshavetheabilitytointegratewithexistingwebprofilemanagementsystems,exportdataforbusinessintelligencesolutionsandeasilysubmitresearchoutcomesforvariousgovernmentassessmentexercises.ThisincludesHR,publications,teachingactivities,grants,institutionalrepositories,andanyothersystemprovidingorconsumingresearchdata.","YesElementsintegrateswithavarietyofexternalsystemsincluding:Altmetric,figshare,ORCID,SHERPA/RoMEO(licensinginformation),DOAJ(licensinginformation)","YesElementscanbelinkedtoallmajoropenrepositorytechnologiesandanopensource[3]isalsoavailable.","YesElementspublicprofilingtool,DiscoveryModule,canbeintegratedwithDirect2Expert."
"VIVO","YesDatacanbeingestedfromawidevarietyoflocalsources(includingHR,grants,coursedatabases,institutionalrepositories,membershiprosters,researchinterests,andmanyothers)toreflectacompleteviewoftheinstitution'sprioritiesandefforts.","Yesseemini-grants<https://web.archive.org/web/20121028002514/http://vivoweb.org/blog/2011/01/award-announcement-vivo-collaborative-research-projects-program>;eagle-i;Drupal;manyothers-anytoolthatcanconsumeopenlinkeddata.OtherongoingcollaborationswithWellspring(maintainingVIVOprofileswithafocusupontechtransferandalsoasa3rdpartyimplementationserviceprovider)andwithSymplectic.","YesVIVOcollaborateswitheagle-Ionresearchresources.Futureplansincludeaddingmanyadditionaldatatypeswhicharemeaningfulintheacademicresearchsetting.VIVOdataarestructuredusingacomprehensiveontologydesignedforlocalextensionandmajorontology""plugins""suchasBIBOandeagle-i.","YesVIVOConsortiumreceived$12.2MNIHARRAU24awardin2009tofullydevelopsoftwareandcreatenationalsystemoffederatedresearchexpertisedirectories/researchnetworkingsystems;Allothersemanticweb-compliantsoftwareplatformscanbeintegratedintotheconsortium(example:HarvardProfiles).ParticipantinDirect2ExpertsandVIVOSearch"
"Yaffle","No","No","Unknown","TheCanadianresearchfundingcouncilsaswellasknowledgemobilizationnetworksacrossthecountry(governmentsanduniversities)areworkingtodevelopamodeltosharewhatYafflehasbuilt"
