"Fileextension(s)","MIMEtype","Officialname","Creationplatform","Restorationplatform","Restorablewithfreesoftware","Description"
".phar","","PHAR","Multiple","Multiple","Yes","ApackageformattoenabledistributionofapplicationsandlibrariesbybundlingmanyPHPcodefilesandotherresources(e.g.images,stylesheets,etc.)intoasinglearchivefile"
".pim","","PIM","Windows","Windows","Yes","TheformatfromthePIM-afreewarecompressiontoolbyIliaMuraviev.ItusesanLZP-basedcompressionalgorithmwithsetoffiltersforexecutable,imageandaudiofiles."
".pit","","PackIt","ClassicMacOS","","","obsolete"
".qda","","QuadrupleD","Windows","Windows","","UsedfordataingameswrittenusingtheQuadrupleDlibraryforDelphi.Usesbytepaircompression."
".rar","application/x-rar-compressed","RAR","OriginallyDOS,nowmultiple","Multiple","Yes","Aproprietaryarchiveformat,secondinpopularityto.zipfiles."
".rk","","RKandWinRK[3]","Multiple","Multiple","No","Theformatfromacommercialarchivingpackage.Oddamongcommercialpackagesinthattheyfocusonincorporatingexperimentalalgorithmswiththehighestpossiblecompression(attheexpenseofspeedandmemory),suchasPAQ,PPMDandPPMZ(PPMDwithunlimited-lengthstrings),aswellasaproprietaryalgorithms."
".sda","","SelfDissolvingARChive","Commodore64,Commodore128","Commodore64,Commodore128","Yes","SDAsrefertoSelfDissolvingARCfiles,andarebasedontheCommodore64andCommodore128versionsofARC,originallywrittenbyChrisSmeets.Whilethefilessharethesameextension,theyarenotcompatiblebetweenplatforms.Thatis,anSDAcreatedonaCommodore64butrunonaCommodore128inCommodore128modewillcrashthemachine,andviceversa.TheintendedsuccessortoSDAisSFX."
".sea","","SelfExtractingArchive","ClassicMacOS","ClassicMacOS(implicitly)","","Apre-MacOSXSelf-ExtractingArchiveformat.StuffIt,CompactPro,DiskDoublerandotherscouldcreate.seafiles,thoughtheStuffItversionswerethemostcommon."
".sen","","Scifer","Multiple","Multiple","Yes","SciferArchivewithinternalheader"
".sfx","","SelfExtractingArchive","Commodore64,Commodore128","Commodore64,Commodore128","Yes","SFXisaSelfExtractingArchivewhichusestheLHArccompressionalgorithm.ItwasoriginallydevelopedbyChrisSmeetsontheCommodoreplatform,andrunsprimarilyusingtheCS-DOSextensionfortheCommodore128.UnlikeitspredecessorSDA,SFXfileswillrunonboththeCommodore64andCommodore128regardlessofwhichmachinetheywerecreatedon."
".shk","","NuFX","OriginallyAppleII,nowmultiple","Multiple","Yes","AnarchiveformatdesignedfortheAppleIIseriesofcomputers.ThecanonicalimplementationisShrinkIt,whichcanoperateondiskimagesaswellasfiles.PreferredcompressionalgorithmisacombinationofRLEand12-bitLZW.Archivescanbemanipulatedwiththecommand-lineNuLibtool,ortheWindows-basedCiderPress."
".sit","application/x-stuffit","StuffIt","OriginallyClassicMacOS,nowmultiple","OriginallyClassicMacOS,nowmultiple","Yes","AcompressionformatcommononAppleMacintoshcomputers.ThefreeStuffItExpanderisavailableforWindowsandmacOS."
".sitx","application/x-stuffitx","StuffItX","Multiple","Multiple","Yes","Thereplacementforthe.sitformatthatsupportsmorecompressionmethods,UNIXfilepermissions,longfilenames,verylargefiles,moreencryptionoptions,dataspecificcompressors(JPEG,Zip,PDF,24-bitimage,MP3).ThefreeStuffItExpanderisavailableforWindowsandOSX."
".sqx","","SQX","Windows","Windows","Yes","Aroyalty-freecompressingformat"
".tar.gz,.tgz,.tar.Z,.tar.bz2,.tbz2,.tar.lz,.tlz..tar.xz,.txz,.tar.zst","application/x-gtar","tarwithgzip,compress,bzip2,lzip,xz,orzstd","Multiple","Multiple","Yes","The""tarball""formatcombinestararchiveswithafile-basedcompressionscheme(usuallygzip).CommonlyusedforsourceandbinarydistributiononUnix-likeplatforms,widelyavailableelsewhere.Xarchiversupportsthe.tar.zstArchive/CompressionformatonUnix-likeplatforms."
".uc.uc0.uc2.ucn.ur2.ue2","","UltraCompressorII","DOS","DOS","","UltraCompressor2.3wasdevelopedtoactasanalternativetothethenpopularPKZIPapplication.Themainfeatureoftheapplicationisitsabilitytocreatelargearchives.ThismeansthatcompressedarchiveswiththeUC2fileextensioncanholdalmost1millionfiles."
".uca","","PerfectCompress","Windows","Windows","No","BasedonPAQ,RZM,CSC,CCM,and7zip.TheformatconsistsofaPAQ,RZM,CSC,orCCMcompressedfileandamanifestwithcompressionsettingsstoredina7zarchive."
".uha","","UHarc","DOS/Windows","DOS/Windows","Yes","AhighcompressionratearchiveformatoriginallyforDOS."
".war","","WAR","Multiple","Multiple","Yes","WebApplicationarchive(Java-basedwebapp)"
".wim","application/x-ms-wim","WindowsImage","Windows","Windows","Yes","File-baseddiskimageformatdevelopedtodeployMicrosoftWindows."
".xar","application/x-xar","XAR","Multiple","Multiple","Yes",""
".xp3","","KiriKiri","Windows","Windows","Yes","NativeformatoftheOpenSourceKiriKiriVisualNovelengine.Usescombinationofblocksplittingandzlibcompression.ThefilenamesandpathesarestoredinUTF-16format.Forintegritycheck,theAdler-32hashsumisused.Formanycommercialgames,thefilesareencrypted(anddecodedonruntime)viaso-called""cxdec""module,whichimplementsxor-basedencryption."
".yz1","","YZ1","Windows,DOS,Linux","Windows,DOS,Linux","Yes","Yamazakizipperarchive.CompressionformatusedinDeepFreezerarchiverutilitycreatedbyYamazakiSatoshi.ReadandwritesupportexistsinTUGZip,IZArcandZipZag"
".zip,.zipx","application/zip","ZIP","OriginallyDOS,nowmultiple","Multiple","Yes","ThemostwidelyusedcompressionformatonMicrosoftWindows.CommonlyusedonMacintoshandUnixsystemsaswell."
".zoo","application/x-zoo","zoo","Multiple","Multiple","Yes",""
".zpaq","","ZPAQ","Multiple","Multiple","Yes","Journaling(append-only)archiveformatwithrollbackcapability.Supportsdeduplicationandincrementalupdatebasedonlast-modifieddates.Multi-threaded.CompressesinLZ77,BWT,andcontextmixingformats.Opensource."
".zz","","Zzip","Multiple","Multiple","Yes","ArchiverwithacompressionalgorithmbasedontheBurrows–Wheelertransformmethod."
