"IRCBot","Primarydevelopers","Softwarelicense","Operatingsystem","Programminglanguage","Firstpublicrelease-date(version)","Latestversion-date(version)","Notablefeatures","Functionscope","Website"
"node-irc","MartynSmith","GPLv3","Unix-like","Javascript","?","2015-01-16(0.3.9)","Node-nativenonblocking","?","[34]"
"PircBot","PaulMutton","GPL","Cross-platform","Java","2001-08-01","2009-12-14(1.5.0)","Frameworkforcreatingbots","frameworktocreatebots","[35]"
"pmxbot","YouGov,JamieTurner,ChrisMulligan","MIT","Unix-like","Python3","?","?","DesignedtobeextensibleforaworkIRCnetwork","conversation,search,games","[36]"
"Ruby-rbot","ruby-rbot","GPL","Unix-like","Ruby","?","?","flexiblepluginsystem","Twitter&RSSfeeds,searches,games","[37]"
"Rubybot","umby24","GPL-3.0","Cross-platform","Ruby","?","2013-10-30(4.2)","Simple,yeteasilyextensible.","usermanagement","[38]"
"Schongo","Selig,Posiden,Wil","?","Cross-platform","Python3","?","?","Focusonsimplicity,highlyextandablemodulesystem,rapiddevelopmentcycle","internetsearches","[39]"
"Shocky","Shockah,clone1018","GPL-2.0","Cross-platform","Java","?","?","AVeryadvancedJavaircbot,thatsupportsallkindsofstuff","usermanagement,factoids,games,karmasystem","[40]"
"sircbot","AlpineLinux","GPL-2.0","Unix-like","C(Luascriptable)","?","2011-12-15","SimpleIRCbotforshellandluascripts","?","gitwiki"
"Sopel","dgw,ElsiePowell,DimitriMolenaars,EladAlfassa,AriKoivula","EFLv2","Cross-platform","Python","2012-07-15(3.0.0)","2020-08-04(7.0.6)","SSL,(un)loadingofpluginsatruntime,threaded,user/channel/pluginsettingsdatabase,Python3support.(FormerlyWillie;basedoriginallyonphenny)","Twitter&otherfeeds,internetsearches,meetingbot,linkinformation","[41]"
"Tennu","Havvy(RyanScheel)","ISC","Cross-platform","Javascript","2012-03-08(1.0.0)","2016-06-22(4.9.0)","Node.js,Pluginarchitecture,Promisedriven","usermanagement","[42]"
"Ultros","gdude2002andrakiru","ArtisticLicense2.0","Cross-platform","Python2","2013-04-08(Git)","2014-09-25(1.1.0+-seecommits)","PythonIRCbotwithanextensiblepluginandprotocolsystem,andapackagemanager.Alsosupportsmumble.","internetsearches,games","gitsite"
"VikingBot","TorHenningUeland","GPL-3.0","Unix-like","PHP","?","2013-10-09","SimplePHPbasedIRCbotwithsupportforsecureIRCserversandpluginsupport","botstats","[43]"
"Yauib","JulienPalard","SimplifiedBSD","Cross-platform","Python","2011-03-22","?","Pluginscanbewritteninanylanguage","takesallpubmsgandprivandtriestomatchthefirstwordasacommandtoadirectorywithexecfilesandtherestasparameters","[44]"
