"DDC","LCC","Description"
"579","QH1–199.5","Collectionandpreservation"
"580","QK","Botanicalsciences"
"581","QK","Botany"
"582","QK474.8–495","Spermatophyta(Seed-bearingplants)"
"585","K494–494.5","Gymnospermae(Pinophyta)"
"586","QK504–638","Cryptogamia(Seedlessplants)"
"590","QL","Animals"
"591","QL1–355","Zoology"
"592","QL360–599.82","Invertebrates"
"593","QL360–599.82","Protozoa,Echinodermata,relatedphyla"
"594","QL360–599.82","Mollusca&Molluscoidea"
"595","QL360–599.82","Otherinvertebrates"
"596","QL605–739.8","Vertebrata(Craniata,Vertebrates)"
"597","QL614–639.8","Fishes"
"597","QL640–669.3","Reptilesandamphibians"
"598","QL671–699","Aves(Birds)"
"599","QL700–739.8","Mammalia(Mammals)"
"600","T","Technology(Appliedsciences)"
"607","T61–173","Education"
"607","T175–178","Research"
"608","T201–342","Invention&patents"
"608","Q","Invention&patents"
"610","R","Medicine"
"611","QM","Humananatomy"
"611","QH573–671","Cytology"
"611","QM550–577.8","Histology"
"612","QP","Humanphysiology"
"615","RM","Pharmacology&Therapeutics"
"617","RD","Surgery&RelatedTopics"
"618","RG","Gynecology"
"618","R","Othermedicalspecialties"
"619","R735–854","Experimentalmedicine"
"620","TA","Engineering&alliedoperations"
"621","TJ","Mechanicalengineering"
"621","QC","Appliedphysics"
"622","TN","Mining&relatedoperations"
"623","UG1–620","Militaryengineering"
"623","VM","Nauticalengineering"
"624","TA","Civilengineering"
"","TG","BridgeEngineering"
"625","TF","Engineeringofrailways"
"625","TE","Engineeringofhighways"
"627","TC1–978","Hydraulicengineering"
"628","TD","Sanitary&engineering"
"628","TD159–168","Municipalengineering"
"629","T","OtherbranchesofEngineering"
"","TK","ElectricalEngineering,electronics,nuclearengineering"
"","TL","Motorvehicles,Aeronautics,Astronautix"
"","TP","ChemicalTechnology"
"630","S","Agriculture"
"631","S1–972","Techniques,equipment,materials"
"632","SB599–990.5","Plantinjuries,diseases,pests"
"633","SB317.5–319.864","Horticulture"
"634","SB354–402","Fruits"
"634","SD","Forestry"
"634","SB169–172.5","Orchards"
"636","SF","Animalhusbandry"
"637","SF250.5–275","Processingdairy&relatedproducts"
"638","SF518–561","Insectculture"
"639","SK","Hunting,fishing"
"639","S604.5–604.64","Conservation"
"640","TX","Homeeconomics"
"650","HD28–70","Management&auxiliaryservices"
"653","Z53–102","Shorthand"
"657","HF5601–5689","Accounting"
"658","HD28–70","Generalmanagement"
"659","HF5801–6182","Advertising"
"660","TP155–156","Chemicalengineering"
"670","HD9720–9975","Manufacturing"
"680","TT","Handicrafts"
"690","TH","Buildings"
"700","N","Arts"
"708","N400–3990","Museums"
"710","SB469–476","Landscapeart"
"720","NA","Architecture"
"730","NB","Plasticarts,Sculpture"
"736","NB0001–1952","Carving&carvings"
"738","NB0001–1952","Ceramicarts"
"739","NB0001–1952","Metalwork"
"740","NC","Drawing"
"740","NK","Decorativearts"
"746","NK8800–9505.5","Textilearts"
"748","NK5100–5440","Glass"
"749","NK2200–2750","Furniture&accessories"
"750","ND","Painting"
"760","NE","Graphicarts,Printmaking&prints"
"761","NE1330–1352","Reliefprocesses(Blockprinting)"
"763","NE2250–2570","Lithography"
"764","NE2236–2240.6","Chromolithography&serigraphy"
"765","NE1400–1879","Metalengraving"
"767","NE1940–2232.5","Etching&drypoint"
"770","TR","Photography&photographs"
"780","M","Music"
"781","MT","Generalprinciples&musicalforms"
"782","M1495–5000","Vocalmusic"
"783","M1528–1529.5","Musicforsolovoice"
"784","M1000–1075","Orchestras,ensembles"
"785","M1000–1075","Ensembleswithoneinstrumentperpart"
"786","MT180–255","Keyboardinstrument"
"787","MT259–338","Stringinstruments"
"788","MT339–533","Windinstruments"
"790","PN1560–1590","Performingarts"
"790","GV","Recreation"
"792","PN2000–3307","Theaterandotherstagepresentations"
"793","GV1221–1469.63","Indoorgames&amusements"
"795","GV1301–1311","Gamesofchance"
"796","GV557–1198.995","Sport"
"797","GV750–770.27","Airsports"
"797","GV770.3–840","Aquaticsports"
"799","SK","Fishing,Hunting,Shooting"
"800","P","Literature&rhetoric"
"810","PS","Americanliterature"
"820","PR","Englishliterature"
"830","PT1–4897","Germanliterature"
"840","PQ0001–3999","Frenchliterature"
"850","PQ4001–5999","Italianliterature"
"860","PQ6001–8929","Spanishliterature"
"869","PQ9000–9999","Portugueseliterature"
"870","PA6001–8595","Latinliterature"
"880","PA3050–5660","Greekliterature"
"890","PN","Worldliterature"
"900","G","Geography"
"900","D","History"
"910","G","Geography"
"911","G141","Historicalgeography"
"912","GA","Graphicrepresentationsofearth"
"914","G1791–2196","GeographyofEurope"
"915","G2200–2444","GeographyofAsia"
"916","G2445–2739","GeographyofAfrica"
"917","G1105–1692","GeographyofNorthAmerica"
"918","G1700–1779","GeographyofSouthAmerica"
"919","G2740–2799","GeographyofOceania"
"920","CT","Biography"
"920","CS","Genealogy"
"920","CR4480–4485","Insignia"
"930","D51–90","Historyofancientworld"
"938","DE","HistoryoftheGreco-RomanWorld"
"940","DAW1031–1051","HistoryofEurope"
"942","DA","HistoryofBritain"
"943","DD","HistoryofGermany"
"943.6","DB","HistoryofAustriaandLiechtenstein"
"943.9","DB","HistoryofHungary"
"944","DC","HistoryofFrance"
"945","DG","HistoryofItaly"
"946","DP","HistoryoftheIberianPeninsula"
"947","DJK","HistoryofEasternEurope"
"947","DK","HistoryofRussia,SovietUnion,andformerSovietrepublics."
"948","DL","HistoryofNorthernEurope;Scandinavia"
"949.2","DH","HistoryoftheNetherlands"
"949.3","DH","HistoryofBelgium"
"949.4","DQ","HistoryofSwitzerland"
"949.5","DF","HistoryofGreece"
"949.6","DR","HistoryoftheBalkanPeninsula"
"950","DS","GeneralhistoryofAsiaandFarEast"
"951","DS701–799.9","HistoryofChina"
"952","DS801–897","HistoryofJapan"
"953","DS201–248","HistoryofArabianPeninsula(HistoryofSaudiArabia,etc.)"
"954","DS401–486.8","HistoryofIndia"
"955","DS251–326","HistoryofIran(Persia)"
"960","DT","HistoryofAfrica"
"961","DT211–239","HistoryofLibya"
"961","DT241–269","HistoryofTunisia"
"962","DT154.1–159.9","HistoryofSudan"
"962","DT43–154","HistoryofEgypt"
"963","DT371–390","HistoryofEthiopia(Abyssinia)"
"963","DT391–398","HistoryofEritrea"
"965","DT271–299","HistoryofAlgeria"
"966","DT470–671","HistoryofWestAfrica&offshoreislands"
"967","DT?","HistoryofCentralAfrica&offshoreislands"
"968","DT1701–2405","HistoryofSouthAfrica"
"969","DS349.8–349.9","HistoryofSouthIndianOceanislands"
"970","F","HistoryofNorthAmerica"
"971","F1001–1145.2","HistoryofCanada"
"972","F1421–1440","HistoryofCentralAmerica"
"972","F1201–1392","HistoryofMexico"
"973","E","HistoryofUnitedStates"
"980","F2201–3799","HistoryofSouthAmerica"
"981","F2501–2659","HistoryofBrazil"
"982","F2801–3021","HistoryofArgentina"
"983","F3051–3285","HistoryofChile"
"984","F3301–3359","HistoryofBolivia"
"985","F3401–3619","HistoryofPeru"
"987","F2301–2349","HistoryofVenezuela"
"988","F2351–2471","HistoryofGuiana"
"990","DU","HistoryofOceania"
"993","DU400–430","HistoryofNewZealand"
"994","DU80–398","HistoryofAustralia"
"995","DU490","HistoryofMelanesia"
"995","DU739–747","HistoryofNewGuinea"
"803","AG","Dictionariesandothergeneralreferenceworks"
"069","AM","Museums.Collectorsandcollecting"
"050","AP","Periodicals"
"060–068","AS","Academiesandlearnedsocieties"
"030","AY","Yearbooks.Almanacs.Directories"
"001","AZ","Historyofscholarshipandlearning.Thehumanities"
"110–140","BD","Speculativephilosophy"
"111.85","BH","Aesthetics"
"200","BL","Mythology"
"230","BT","DoctrinalTheology"
"240–260","BV","PracticalTheology"
"280","BX","ChristianDenominations"
"","C","AuxiliarySciencesofHistory(General)"
"909","CB","HistoryofCivilization"
"930.1","CC","Archaeology"
"929.1–929.3","CD","Diplomatics.Archives.Seals"
"529","CE","TechnicalChronology.Calendar"
"737","CJ","Numismatics"
"411.7","CN","Inscriptions.Epigraphy"
"929.6","CR","Heraldry"
"909.0491497","DX","HistoryofRomanies"
"551.4","GB","Physicalgeography"
"551.46","GC","Oceanography"
"333.7","GE","EnvironmentalSciences"
"304","GF","Humanecology.Anthropogeography"
"310","HA","Socialsciencestatistics"
"330.9","HC","Economichistoryandconditions"
"331–338","HD","Industries.Landuse.Labor"
"649.1–641.7","HQ","Thefamily.Marriage.Women"
"","HT","Communities.Classes.Races"
"364","HV","Socialpathology.Socialandpublicwelfare.Criminology"
"335","HX","Socialism.Communism.Anarchism"
"","J","Generallegislativeandexecutivepapers"
"320","JA","Politicalscience(General)"
"320.5","JC","Politicaltheory"
"","JJ","Politicalinstitutionsandpublicadministration(NorthAmerica)"
"320.973","JK","Politicalinstitutionsandpublicadministration(UnitedStates)"
"320.971","JL","Politicalinstitutionsandpublicadministration(Canada,LatinAmerica,etc.)"
"320.94","JN","Politicalinstitutionsandpublicadministration(Europe)"
"320.95–320.969","JQ","Politicalinstitutionsandpublicadministration(Asia,Africa,Australia,PacificArea,etc.)"
"","JV","Coloniesandcolonization.Emigrationandimmigration.Internationalmigration"
"","KB","Religiouslawingeneral.Comparativereligiouslaw.Jurisprudence"
"","KD","LawoftheUnitedKingdom,Ireland,America.NorthAmerica"
"340.971","KE","LawofCanada"
"340.973","KF","LawofUnitedStates"
"","KG","LawofLatinAmerica–MexicoandCentralAmerica/WestIndies.Caribbeanarea"
"","KH","LawofSouthAmerica"
"340.94","KJ–KK","LawofEurope"
"340.95–340.969","KL–KW","LawofAsiaandEurasia,Africa,PacificArea,andAntarctica"
"370.9","LA","Historyofeducation"
"370.1","LB","Theoryandpracticeofeducation"
"","LC","Specialaspectsofeducation"
"378.73–378.79","LD","Individualeducationalinstitutions–UnitedStates"
"378.8","LE","Individualeducationalinstitutions–America(exceptUnitedStates)"
"378.4","LF","Individualeducationalinstitutions–Europe"
"378.5–378.6","LG","Individualeducationalinstitutions–Asia,Africa,IndianOceanislands,Australia,NewZealand,Pacificislands"
"378","LH","Collegeandschoolmagazinesandpapers"
"","LJ","Studentfraternitiesandsocieties,UnitedStates"
"","LT","Textbooks"
