"Countrycode","Country","Speedlimitonmotorway(km/h)","Speedlimitondualcarriageway(km/h)","Speedlimitonsinglecarriageway(km/h)","Speedlimitinurbanarea","Permittedalcohollevel(%)","Tollroads","Seatbeltrequired","Minimumchildage(frontseat)","Trianglerequired","Firstaidrequired","Fireextinguisherrequired","Sparebulbrequired","Minimumdriver'sage","Towroperequired"
"IS","Iceland","N/A","N/A","90(pavedroads);80(gravelroads)","50","0.05","","All","14","Yes","Recommended","Recommended","No","17","Yes"
"L","Luxembourg","130","N/A","90","50","0.05","","All","11","Yes","Recommended","Recommended","No","18","Yes"
"LT","Lithuania","130","110","90","50","0.04","","All","12","Yes","Yes","Yes","No","18","No"
"LV","Latvia","N/A","90","90","50","0.05","","All","","Yes","Yes","Yes","No","18","Yes"
"M","Malta","N/A","N/A","80","50","0.08","","Yes","11","Recommended","Recommended","Recommended","No","18","Yes"
"MC","Monaco","N/A","N/A","","50","0.05","","N/A","10","Recommended","Recommended","Recommended","No","18","Yes"
"MD","Moldova","N/A","N/A","90","50","0","","All","12","Yes","Yes","Yes","No","18","Yes"
"NMK","NorthMacedonia","130","N/A","80","60","0.05","Yes","All","12","Yes","Yes","Recommended","Yes","18","Yes"
"MNE","Montenegro","120","N/A","80","50","0.05","Yes","All","12","Yes","Recommended","Recommended","No","","Yes"
"N","Norway","110","N/A","80","50","0.02","Yes","All","N/A","Yes","Recommended","Recommended","No","18","Yes"
"NL","Netherlands","130","100","80","50","0.05","Yes","All","12","Recommended","Recommended","Recommended","No","18(17withsupervisionofsomeonewith5+yearsdrive-experience)","Yes"
"P","Portugal","120","100","90","50","0.05","Yes","All","12","Yes","Recommended","Recommended","No","18","Yes"
"PL","Poland","140","100(120onexpressways)","90(100onexpressways)","50","0.02","Yes","All","N/A","Yes","Recommended","Yes","No","18(16forB1cars)","No"
"RO","Romania","130","100(110onexpressways)","90","50","0","Yes","All","12","Yes","Yes","Yes","No","18(16forB1cars)","No"
"RSM","SanMarino","N/A","N/A","70","50","0.08","","All","12","Recommended","Recommended","Recommended","No","18","Yes"
"RUS","Russia","110","N/A","90","60","0","Yes","All","12","Yes","Yes","Yes","No","18","Yes"
"S","Sweden","110","N/A","70","50","0.02","Yes","All","N/A","Yes","Recommended","Recommended","No","18","No"
"SK","Slovakia","130","130","90","50","0","Yes","All","12","Yes","Yes","Recommended","Yes","18(17withsupervisionofsomeonewith10+yearsdrive-experience)","Yes"
"SLO","Slovenia","130","100","90","50","0.05","","All","12","Yes","Yes","Recommended","No","18","Yes"
"SRB","Serbia","120","100","80","50","0.03","Yes","All","12","Yes","Yes","Yes","No","18","Yes"
"TR","Turkey","120","110(cars)/90(rest)","90","50","0.05","Yes","All","10","Yes","Yes","Yes","No","18","Yes"
"UA","Ukraine","130","110","90","50","0","Yes","All","12","Yes","Yes","Yes","No","18","Yes"
"Countrycode","Country","Speedlimitonmotorway(km/h)","Speedlimitondualcarriageway(km/h)","Speedlimitonsinglecarriageway(km/h)","Speedlimitinurbanarea","Permittedalcohollevel(%)","Tollroads","Seatbeltrequired","Minimumchildage(frontseat)","Trianglerequired","Firstaidrequired","Fireextinguisherrequired","Sparebulbrequired","Minimumdriver'sage","Towroperequired"
