"Name","Operatingsystem","Freewareversion","Portable","Encryptsfiles","Detectconflict","Filelock","Openfilesupport","Revisioncontrol","Detectrename","Detectmove","Fullduplextransfer","Propagatedeletes","Casesensitive","Deltacopying(blockleveltransfer)","LANSync"
"Mega","Windows,OSX,Linux,Android,iPhone,BlackBerry","Yes","","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"RepliWeb","Windows,Linux","No","","","Partial","","","Yes","Yes","Yes","Yes","Yes","Yes","",""
"ResilioSync(ex.BitTorrentSync)","Windows,OSX,Linux,Android,iOS,WindowsPhone,AmazonKindleFire,FreeBSD","Limited","No","Yes,optional","No","No","No","Yes","Yes","Yes","Yes","Yes","","Yes","Yes"
"Robocopy","Windows","Yes","No","","No","","","","","","","","","",""
"SecureSafe","Windows,OSX,Android,iOS","Yes","","","Yes","No","","No","No","No","No","Yes","Yes","No","No"
"SpiderOak","Windows,OSX,Debian,Fedora,Slackware,Android,iOS","No","","","No","","","Yes","No","","No","","","Yes","Yes"
"ShareFile","Windows,OSX,Android,iPhone","Yes","","Yes","","","","Yes","Yes","","Yes","","Yes","","Yes"
"SugarSync","Windows,OSX,Android,BlackBerry,iPhone,WindowsMobile","No","No","","Yes","","","Yes","Yes","Yes","","Yes","","",""
"Syncdocs","Windows,webapp","Betaversionsonly","Yes","","Yes","No","Yes","Yes","Yes","Yes","MicrosoftWordonly","Yes","","",""
"SynchronizeIt!","Windows","No","","","No","","","","","","","","","",""
"Syncplicity","Windows,OSX,Android,iPhone,WindowsMobile","Yes","","","Yes","","","Yes","","","Yes","Yes","","No","No"
"Tonido","Windows,OSX,Linux,Android,BlackBerry,iPhone,WindowsPhone","Yes","Yes","","Yes","No","Yes","No","Yes","Yes","Yes","Yes","","",""
"Tresorit","Windows,OSX,Linux,Android,BlackBerry,iOS,WindowsPhone","Limited","Yes","Yes","Yes","","Yes,forWindows","Yes","","","","Yes","Yes","No",""
"UbuntuOne(discontinued2April2014)","Windows,OSX,Ubuntu,iOS,Android","Yes","","","","","","","","","","","","",""
"Wuala(discontinued)","Windows,OSX,Debian,Ubuntu,Android,iOS","Yes","","Yes","","","","","","","","","","",""
"ZumoDrive(discontinued)","Windows,OSX,Linux,Android,iPhone,PalmwebOS","Yes","","","Yes","","","Yes","","","","","","",""
"Zetta.net","Windows,OSX,Linux","No","","","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes,Preservefilenamecase&filemetadata","Yes","Yes"
"Name","Operatingsystem","Freewareversion","Portable","Encryptsfiles","Detectconflict","Filelock","Openfilesupport","Revisioncontrol","Detectrename","Detectmove","Fullduplextransfer","Propagatedeletes","Casesensitive","Deltacopying(blockleveltransfer)","LANSync"
