"EAGLEbyAutodesk/CadSoftComputer","POSIX","9.6.2","2020-05-27","Proprietary","Yes","Ngspice","Yes","de,en,zh,hu,ru","EAGLE(XML),ACCEL(P-CAD,Altium,Protel),ULTIBOARD,Netlists,BMP,Custom","EAGLE(XML),Protel,Netlists,Images,Gerber,GerberX2,Excellon,Sieb&Meyer,HPGL,PostScript/EPS,PDF,Images,HyperLynx,IDF,Custom","ProprietaryUserLanguageProgramming(ULP)"
"EAGLEbyAutodesk/CadSoftComputer","Windows","9.6.2","2020-05-27","Proprietary","Yes","Ngspice","Yes","de,en,zh,hu,ru","EAGLE(XML),ACCEL(P-CAD,Altium,Protel),ULTIBOARD,Netlists,BMP,Custom","EAGLE(XML),Protel,Netlists,Images,Gerber,GerberX2,Excellon,Sieb&Meyer,HPGL,PostScript/EPS,PDF,Images,HyperLynx,IDF,Custom","ProprietaryUserLanguageProgramming(ULP)"
"EAGLEbyAutodesk/CadSoftComputer","Linux","9.6.2","2020-05-27","Proprietary","Yes","Ngspice","Yes","de,en,zh,hu,ru","EAGLE(XML),ACCEL(P-CAD,Altium,Protel),ULTIBOARD,Netlists,BMP,Custom","EAGLE(XML),Protel,Netlists,Images,Gerber,GerberX2,Excellon,Sieb&Meyer,HPGL,PostScript/EPS,PDF,Images,HyperLynx,IDF,Custom","ProprietaryUserLanguageProgramming(ULP)"
"EAGLEbyAutodesk/CadSoftComputer","Mac","9.6.2","2020-05-27","Proprietary","Yes","Ngspice","Yes","de,en,zh,hu,ru","EAGLE(XML),ACCEL(P-CAD,Altium,Protel),ULTIBOARD,Netlists,BMP,Custom","EAGLE(XML),Protel,Netlists,Images,Gerber,GerberX2,Excellon,Sieb&Meyer,HPGL,PostScript/EPS,PDF,Images,HyperLynx,IDF,Custom","ProprietaryUserLanguageProgramming(ULP)"
"EasyEDA","POSIX","6.4.5","2020-08-19","Proprietary","Yes","Ngspice","Yes","en,fr,de,pl,jp,ru,es,se,ua,zh...","Altium,EAGLE,KiCadlibraries,LTspice.asc/.asyfiles,JSON,Spice","PDF,PNG,SVG,JSON,Gerber,Excellon,PickandPlaceCSVfile,CSV-formatteddrillchart,BillofMaterialsCSVfile,Altiumnetlist,FreePCBnetlist,PADSLayoutNetlist,Spicenetlist.","JSON"
"EasyEDA","Windows","6.4.5","2020-08-19","Proprietary","Yes","Ngspice","Yes","en,fr,de,pl,jp,ru,es,se,ua,zh...","Altium,EAGLE,KiCadlibraries,LTspice.asc/.asyfiles,JSON,Spice","PDF,PNG,SVG,JSON,Gerber,Excellon,PickandPlaceCSVfile,CSV-formatteddrillchart,BillofMaterialsCSVfile,Altiumnetlist,FreePCBnetlist,PADSLayoutNetlist,Spicenetlist.","JSON"
"EasyEDA","Linux","6.4.5","2020-08-19","Proprietary","Yes","Ngspice","Yes","en,fr,de,pl,jp,ru,es,se,ua,zh...","Altium,EAGLE,KiCadlibraries,LTspice.asc/.asyfiles,JSON,Spice","PDF,PNG,SVG,JSON,Gerber,Excellon,PickandPlaceCSVfile,CSV-formatteddrillchart,BillofMaterialsCSVfile,Altiumnetlist,FreePCBnetlist,PADSLayoutNetlist,Spicenetlist.","JSON"
"EasyEDA","Mac","6.4.5","2020-08-19","Proprietary","Yes","Ngspice","Yes","en,fr,de,pl,jp,ru,es,se,ua,zh...","Altium,EAGLE,KiCadlibraries,LTspice.asc/.asyfiles,JSON,Spice","PDF,PNG,SVG,JSON,Gerber,Excellon,PickandPlaceCSVfile,CSV-formatteddrillchart,BillofMaterialsCSVfile,Altiumnetlist,FreePCBnetlist,PADSLayoutNetlist,Spicenetlist.","JSON"
"EasyEDA","ChromeOSasaWebapplication","6.4.5","2020-08-19","Proprietary","Yes","Ngspice","Yes","en,fr,de,pl,jp,ru,es,se,ua,zh...","Altium,EAGLE,KiCadlibraries,LTspice.asc/.asyfiles,JSON,Spice","PDF,PNG,SVG,JSON,Gerber,Excellon,PickandPlaceCSVfile,CSV-formatteddrillchart,BillofMaterialsCSVfile,Altiumnetlist,FreePCBnetlist,PADSLayoutNetlist,Spicenetlist.","JSON"
"Fritzing","POSIX","0.9.9","2021-09-24(2021-09-24)","GPL-3.0-or-later","Yes,+breadboard","No","Yes","en,de,nl,es,it,fr,pt,ru,zh,jp,...","gEDAsymbols,KiCadsymbols,SVG","Gerber,DIYetching,BOM,SVG,PDF,EPS",""
"Fritzing","Windows","0.9.9","2021-09-24(2021-09-24)","GPL-3.0-or-later","Yes,+breadboard","No","Yes","en,de,nl,es,it,fr,pt,ru,zh,jp,...","gEDAsymbols,KiCadsymbols,SVG","Gerber,DIYetching,BOM,SVG,PDF,EPS",""
"Fritzing","Linux","0.9.9","2021-09-24(2021-09-24)","GPL-3.0-or-later","Yes,+breadboard","No","Yes","en,de,nl,es,it,fr,pt,ru,zh,jp,...","gEDAsymbols,KiCadsymbols,SVG","Gerber,DIYetching,BOM,SVG,PDF,EPS",""
"Fritzing","Mac","0.9.9","2021-09-24(2021-09-24)","GPL-3.0-or-later","Yes,+breadboard","No","Yes","en,de,nl,es,it,fr,pt,ru,zh,jp,...","gEDAsymbols,KiCadsymbols,SVG","Gerber,DIYetching,BOM,SVG,PDF,EPS",""
"gEDA","POSIX","1.10.2","2020-12-22(2020-12-22)","GPL-2.0-or-later","Yes","Yes","Yes","en","gschemnetlists,imageasbackground","Gerber,Excellon,SVG,PDF,EPS,PNG,GIF,JPEG,Specctra,XYRS","Guile(Scheme)"
"gEDA","Windows","1.10.2","2020-12-22(2020-12-22)","GPL-2.0-or-later","Yes","Yes","Yes","en","gschemnetlists,imageasbackground","Gerber,Excellon,SVG,PDF,EPS,PNG,GIF,JPEG,Specctra,XYRS","Guile(Scheme)"
"gEDA","Linux","1.10.2","2020-12-22(2020-12-22)","GPL-2.0-or-later","Yes","Yes","Yes","en","gschemnetlists,imageasbackground","Gerber,Excellon,SVG,PDF,EPS,PNG,GIF,JPEG,Specctra,XYRS","Guile(Scheme)"
"gEDA","Mac","1.10.2","2020-12-22(2020-12-22)","GPL-2.0-or-later","Yes","Yes","Yes","en","gschemnetlists,imageasbackground","Gerber,Excellon,SVG,PDF,EPS,PNG,GIF,JPEG,Specctra,XYRS","Guile(Scheme)"
"KiCad","POSIX","6.0.1","2022-01-15(2022-01-15)","GPL-3.0-or-later","Yes","Internal:NgspiceExternal:SPICEnetlistexport","Yes","zh_CN,de,en,es,fr,it,pt,ru,ja,pl,cz","TinyCADnetlists,OrCADEDIF,EAGLE(XML)","PDF,Gerber,GerberX2,Excellon,netlist,VRML2,STEP,IDFv3","Python"
"KiCad","Windows","6.0.1","2022-01-15(2022-01-15)","GPL-3.0-or-later","Yes","Internal:NgspiceExternal:SPICEnetlistexport","Yes","zh_CN,de,en,es,fr,it,pt,ru,ja,pl,cz","TinyCADnetlists,OrCADEDIF,EAGLE(XML)","PDF,Gerber,GerberX2,Excellon,netlist,VRML2,STEP,IDFv3","Python"
"KiCad","Linux","6.0.1","2022-01-15(2022-01-15)","GPL-3.0-or-later","Yes","Internal:NgspiceExternal:SPICEnetlistexport","Yes","zh_CN,de,en,es,fr,it,pt,ru,ja,pl,cz","TinyCADnetlists,OrCADEDIF,EAGLE(XML)","PDF,Gerber,GerberX2,Excellon,netlist,VRML2,STEP,IDFv3","Python"
"KiCad","Mac","6.0.1","2022-01-15(2022-01-15)","GPL-3.0-or-later","Yes","Internal:NgspiceExternal:SPICEnetlistexport","Yes","zh_CN,de,en,es,fr,it,pt,ru,ja,pl,cz","TinyCADnetlists,OrCADEDIF,EAGLE(XML)","PDF,Gerber,GerberX2,Excellon,netlist,VRML2,STEP,IDFv3","Python"
"Micro-Cap(end-of-life)","Windows","12.0.2.3","2019-11-18","Proprietary","Yes","Yes","No","en,jp","HSPICE,PSPICE,SPICE3,netlists,Images,IBIS,Touchstone","SPICEtextfile,netlist,BOM,Protel,Accel,OrCad,PADSnetlists,SchematicandAnalysisPlotsImages,NumericOutputText,Excel",""
"Micro-Cap(end-of-life)","Wine","12.0.2.3","2019-11-18","Proprietary","Yes","Yes","No","en,jp","HSPICE,PSPICE,SPICE3,netlists,Images,IBIS,Touchstone","SPICEtextfile,netlist,BOM,Protel,Accel,OrCad,PADSnetlists,SchematicandAnalysisPlotsImages,NumericOutputText,Excel",""
"NIUltiboardandMultisimbyNationalInstruments","Windows","14.2","2019-05-19","Proprietary","Yes","Yes","Yes","en","MS*,MP*,EWB,Spice,OrCAD,UltiCap,Protel,Gerber,DXF,Ultiboard4&5,Calay","BOM,Gerber,Excellon,IGES(3D),DXF(2D&3D),SVG",""
"NIUltiboardandMultisimbyNationalInstruments","Webapplication","14.2","2019-05-19","Proprietary","Yes","Yes","Yes","en","MS*,MP*,EWB,Spice,OrCAD,UltiCap,Protel,Gerber,DXF,Ultiboard4&5,Calay","BOM,Gerber,Excellon,IGES(3D),DXF(2D&3D),SVG",""
"OrCAD","Windows","17.2","2016-10","Proprietary","Yes","Yes","Yes","en","EAGLE,PADS,Altium,STEP,DXF,IDF,IDX,OrCADSDT,OrCADLayout,OrCAD","PDF,Gerber,GerberX2,Excellondrill/route,netlist,ODB++,DXF,IDF,IDX,STEP,3DPDF,IPC2581","Tcl/TK,SKILL(Lisp)"
"pcb-rnd","POSIX","3.0.2","2021-11-04(2021-11-04)","GPL-2.0-or-later","No","external:OpenEMS","Yes","en","gschemnetlists,ProtelAutotrax,KiCad(legacy&s-exprlayouts),EAGLE(XML&v3,4,5binarylayouts),eeschemanetlists,mentornetlists,TinyCadnetlists,Calaynetlist,FreePCB/easyEDAnetlist,LT-Spice,MUCS,MentorGraphicsHyperlynx,image(BMP,JPG,GIF,PNG),HPGL,BXL,Specctra(DSN),PADS","Gerber/[Excellonformat|drill],SVG,PDF,EPS,PNG,GIF,JPEG,Specctra(DSN),PADS,ProtelAutotrax,KiCad(legacy&s-expr),DXF,FidocadJ,MentorGraphicsHyperlynx,templateconfigurableXYRS/BOM","Python,lua,perl,tcl,AWK(multipledialects),lisp&scheme(multipledialects),javascript,ruby,pascal,BASIC"
"pcb-rnd","Windows","3.0.2","2021-11-04(2021-11-04)","GPL-2.0-or-later","No","external:OpenEMS","Yes","en","gschemnetlists,ProtelAutotrax,KiCad(legacy&s-exprlayouts),EAGLE(XML&v3,4,5binarylayouts),eeschemanetlists,mentornetlists,TinyCadnetlists,Calaynetlist,FreePCB/easyEDAnetlist,LT-Spice,MUCS,MentorGraphicsHyperlynx,image(BMP,JPG,GIF,PNG),HPGL,BXL,Specctra(DSN),PADS","Gerber/[Excellonformat|drill],SVG,PDF,EPS,PNG,GIF,JPEG,Specctra(DSN),PADS,ProtelAutotrax,KiCad(legacy&s-expr),DXF,FidocadJ,MentorGraphicsHyperlynx,templateconfigurableXYRS/BOM","Python,lua,perl,tcl,AWK(multipledialects),lisp&scheme(multipledialects),javascript,ruby,pascal,BASIC"
"pcb-rnd","Linux","3.0.2","2021-11-04(2021-11-04)","GPL-2.0-or-later","No","external:OpenEMS","Yes","en","gschemnetlists,ProtelAutotrax,KiCad(legacy&s-exprlayouts),EAGLE(XML&v3,4,5binarylayouts),eeschemanetlists,mentornetlists,TinyCadnetlists,Calaynetlist,FreePCB/easyEDAnetlist,LT-Spice,MUCS,MentorGraphicsHyperlynx,image(BMP,JPG,GIF,PNG),HPGL,BXL,Specctra(DSN),PADS","Gerber/[Excellonformat|drill],SVG,PDF,EPS,PNG,GIF,JPEG,Specctra(DSN),PADS,ProtelAutotrax,KiCad(legacy&s-expr),DXF,FidocadJ,MentorGraphicsHyperlynx,templateconfigurableXYRS/BOM","Python,lua,perl,tcl,AWK(multipledialects),lisp&scheme(multipledialects),javascript,ruby,pascal,BASIC"
"pcb-rnd","Mac","3.0.2","2021-11-04(2021-11-04)","GPL-2.0-or-later","No","external:OpenEMS","Yes","en","gschemnetlists,ProtelAutotrax,KiCad(legacy&s-exprlayouts),EAGLE(XML&v3,4,5binarylayouts),eeschemanetlists,mentornetlists,TinyCadnetlists,Calaynetlist,FreePCB/easyEDAnetlist,LT-Spice,MUCS,MentorGraphicsHyperlynx,image(BMP,JPG,GIF,PNG),HPGL,BXL,Specctra(DSN),PADS","Gerber/[Excellonformat|drill],SVG,PDF,EPS,PNG,GIF,JPEG,Specctra(DSN),PADS,ProtelAutotrax,KiCad(legacy&s-expr),DXF,FidocadJ,MentorGraphicsHyperlynx,templateconfigurableXYRS/BOM","Python,lua,perl,tcl,AWK(multipledialects),lisp&scheme(multipledialects),javascript,ruby,pascal,BASIC"
"ProteusbyLabcenterElectronicsLtd","Windows","8.11","2020-09-01","Proprietary","Yes","Yes","Yes","en","Gerber,BMP,DXF","PDF,Gerber,GerberX2,Excellon,ODB++,DXF,IDF,PKP,testpointfile,metafile,BMP.","internalscript"
"PulsonixbyWestDevLtd","Windows","10.0","2018-10-01","Proprietary","Yes","Yes","Yes","en","Allegro,Altium,CadStar,EAGLE,OrCAD,PADS,P-CAD,Protel,Gerber,STEP,DXF,IDF,more","Gerber,GerberX2,Excellon,ODB++,IPC-2581,PDF,DXF,STEP,IDF,BOM,more","Proprietarylanguage,ActiveX"
"PulsonixbyWestDevLtd","Wine","10.0","2018-10-01","Proprietary","Yes","Yes","Yes","en","Allegro,Altium,CadStar,EAGLE,OrCAD,PADS,P-CAD,Protel,Gerber,STEP,DXF,IDF,more","Gerber,GerberX2,Excellon,ODB++,IPC-2581,PDF,DXF,STEP,IDF,BOM,more","Proprietarylanguage,ActiveX"
"TARGET3001!","Windows","30.2.0.63","2020-12-14","Proprietary","Yes","Yes","Yes","en,de,fr","EAGLE,DXF,Gerber,Gerber,Excellon,BMP,CXF,STEP3D","Gerber,GerberX2,Excellon,EAGLE,HPGL,G-Code(Milling),CXF,STEP3D,ExcelBOMs,Pick&Place,GenCAD,FABmaster,IPCD-356,Testpoints,Netlists,OBJ,POV-Ray,PDF","Packagegeneratorscripts,BOMscripts,printingandPDFgeneratorscripts,3Dscripts"
"TARGET3001!","Wine","30.2.0.63","2020-12-14","Proprietary","Yes","Yes","Yes","en,de,fr","EAGLE,DXF,Gerber,Gerber,Excellon,BMP,CXF,STEP3D","Gerber,GerberX2,Excellon,EAGLE,HPGL,G-Code(Milling),CXF,STEP3D,ExcelBOMs,Pick&Place,GenCAD,FABmaster,IPCD-356,Testpoints,Netlists,OBJ,POV-Ray,PDF","Packagegeneratorscripts,BOMscripts,printingandPDFgeneratorscripts,3Dscripts"
"Upverter","POSIX","N/A","2019-05-10","Proprietary","Yes","No","Yes","en","Altium,OrCad,PDF,OpenJSON,EAGLE","PDF,Gerber,Excellon,netlist,PADSLayoutNetlist,TempoAutomation,PickandPlaceCSV,High-ResPNG,STL,CSV-formatteddrillchart,CSV-formattedlistofallparts",""
"Upverter","Windows","N/A","2019-05-10","Proprietary","Yes","No","Yes","en","Altium,OrCad,PDF,OpenJSON,EAGLE","PDF,Gerber,Excellon,netlist,PADSLayoutNetlist,TempoAutomation,PickandPlaceCSV,High-ResPNG,STL,CSV-formatteddrillchart,CSV-formattedlistofallparts",""
"Upverter","Webapplication","N/A","2019-05-10","Proprietary","Yes","No","Yes","en","Altium,OrCad,PDF,OpenJSON,EAGLE","PDF,Gerber,Excellon,netlist,PADSLayoutNetlist,TempoAutomation,PickandPlaceCSV,High-ResPNG,STL,CSV-formatteddrillchart,CSV-formattedlistofallparts",""
"123DCircuitsbyAutodesk","POSIX","N/A","","Proprietary","Yes,+breadboard","Yes","Yes","en","EAGLE","Gerber",""
"123DCircuitsbyAutodesk","Windows","N/A","","Proprietary","Yes,+breadboard","Yes","Yes","en","EAGLE","Gerber",""
"123DCircuitsbyAutodesk","Webapplication","N/A","","Proprietary","Yes,+breadboard","Yes","Yes","en","EAGLE","Gerber",""
"Applicationanddeveloper","Platform","Latestrelease","Latestrelease","License","Schematic?","Simulation?","PCBediting?","UserInterfaceLanguage(s)","Imports","Exports","Scriptingsupport"
"Applicationanddeveloper","Platform","Version","License","Schematic?","Simulation?","PCBediting?","UserInterfaceLanguage(s)","Imports","Exports","Scriptingsupport","Date"
