"IDE","Developer","Lateststablereleaseversion","Lateststablereleasedate","Platform","Writtenin","Widgettoolkit","License","Python2xsupport","Python3xsupport","Debugger","GUIbuilder","Integratedtoolchain","Profiler","Codecoverage","Autocomplete","Staticprogramanalysis","GUIbaseddesign","Classbrowser","Coderefactoring","Versioncontrolsystemsupport","Webframeworksupport"
"PyCharm","JetBrains","2020.1.3","2020-07-20","Windows,Linux,macOS","Java","Swing","Opencore:FullversionunderApacheLicense2.0","Yes","Yes","Yes","Unknown","Yes","Yes(fullversiononly)","Yes(fullversiononly)","Yes","YesPEP8andothers","Yes","Yes","Yes","Yes","Yes"
"PyDev/LiClipse(plug-inforEclipseandAptana)","Appcelerator","7.5.0","2020-01-10","Windows,Linux,macOS,FreeBSD,JVM,Solaris","Unknown","SWT","EPL","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Yes","Yes","Yes","Unknown"
"PyScripter","KiriakosVlahos","3.6.4","2020-10-07","Windows","ObjectPascal","JVCL","MITLicense","Yes","Yesuptov3.4","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"PythonAnywhere","PythonAnywhereLLP","N/A","N/A","Web-based","Python","HTML","Proprietary","Yes","Yes","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SlickEdit","SlickEdit","21","October2016","Windows,Linux,macOS,Solaris,AIX,HP-UX","C++","Qt","Proprietary","Yes","Yes","Yes","No","Yes","No","No","Yes","No","No","Yes","No","Yes","No"
"SourceLair","SourceLair,Limited.","N/A","N/A","Web-based","Python","HTML","Proprietary","Yes","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Spyder","CarlosCordobaandcontributors","4.1.3","2020-05-09","Cross-platform","Python","PyQt,PySide","MITLicense","Yes2.7","Yes3.5–3.8","Yes","No","Yes","Yes","No","Yes","Yes","Unknown","Beta","Planned","Partial","No"
"Thonny","AivarAnnamaaandcontributors","3.3.3","2021-01-21","Windows,Linux,macOS","Python","Tkinter","MITLicense","No","Yes","Yes","No","No","No","No","Yes","Yes","Unknown","Yes","No","No","Flask"
"Understand","SciTools","4.0","2015-04-01","Windows,Linux,macOS,Solaris,otherUnix","Unknown","HTML","Proprietary","Unknown","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"VisualStudioCode","Microsoft","1.49.0","2020-09-10","Windows,Linux,macOS","JavaScript","HTML","MITLicense","Yes","Yes","Yes","No","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes"
"Wing","Wingware","8.2","2022-02-16","Windows,Linux,macOS","Python","Qt5withPyQt","Proprietary","Yes","Yes","Yes(alsoremote,container,cluster,multi-threaded,andmulti-processdebugging)","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
