"","Creator","Developmentstarted","Firstpublicrelease","Lateststableversion","Stablereleasedate","Cost(USD)","License","Notes"
"Origin","OriginLab","","1991","2019b","April24,2019","$1095(std.)/$1800(Pro)$550(std.,academic)$850(Pro,academic)$69/yr.(Pro,student)","Proprietary","Integrateddataanalysisgraphingsoftwareforscienceandengineering.Flexiblemulti-layergraphingframework.2D,3Dandstatisticalgraphtypes.Built-indigitizingtool.Analysiswithautorecalculationandreportgeneration.Built-inscriptingandprogramminglanguages."
"PerlDataLanguage","KarlGlazebrook","1996","c.1997","2019","5May2018","Free","ArtisticLicense","Usedforastrophysics,solarphysics,oceanography,biophysics,andsimulation.2DplottingviaPGPLOT,PLPlotbindings;3DviaGL."
"PSPP","BenPfaff","1990s","1990s","1.2.0","6November2018","Free","GPLv.3orlater","FOSSstatisticsprogram,intendedasanalternativetoIBMSPSSStatistics."
"R","RFoundation","1997","1997","4.0.3","10October2020","Free","GPL","Primarilyforstatistics,buttherearemanyinterfacestoopen-sourcenumericalsoftware"
"SageMath","WilliamStein","","2005","9.5(30January2022;31daysago(2022-01-30))[±]","30January2022","Free","GPL","Programmable,includescomputeralgebra,2D+3Dplotting.Interfacestomanyopen-sourceandproprietarysoftware.WebbasedinterfaceHTTPorHTTPS"
"SAS","AnthonyBarrandJamesGoodnight","1966","1972","9.4","10July2014","Notfree","Proprietary","Mainlyforstatistics"
"SequenceL","TexasMulticoreTechnologies","1989","2012","2.4","10February2016","Free(CommunityEdition),$2495(ProfessionalEdition)","Proprietary","Functionalprogramminglanguageandtools."
"S-Lang","JohnE.Davis","","1992","2.3.0","18September2014","Free","GPL,ArtisticLicense(1.xonly)","Availableasastandalone(slsh)andembeddedinterpreter(jed,slrn,...)"
"Scilab","ESIGroupWas:Inria","1990","1994","6.1.0","25February2020","Free","GPL","Programmable,directsupportof2D+3Dplotting.Interfacestomanyothersoftwarepackages.InterfacingtoexternalmoduleswritteninC,Java,Pythonorotherlanguages.LanguagesyntaxsimilartoMATLAB.Usedfornumericalcomputinginengineeringandphysics."
"Sysquake","Calerga","","1998","5.0","2013","free/$2500(Pro,commercial)/$1000(Pro,academic)","Proprietary","interactivegraphics"
"TKSolver","UniversalTechnicalSystems,Inc.","late1970s","1982","6.0.152","2020","$599commercial/$49(student)","Proprietary","Numericalcomputationandrule-basedapplicationdevelopment"
"VisSim","VisualSolutions","","1989","10.1","January2011","$495-$2800(commercial)freeview-onlyversion$50-$250/freev3.0(academic)","Proprietary","VisualLanguageforsimulationandModelBasedDesign.Usedinbusiness,scienceandengineering.PerformscomplexscalarormatrixbasedODEsolvingwithparametricoptimization.Has2Dand3Dplotting,3Danimation,andstatetransitionbuiltin."
"Yorick","n/a","n/a","n/a","9","January2015","Free","GPL","Programmable,callable2D+3Dplotting.LanguagesyntaxsimilartoC.InterfacingtoothersoftwarepackagesviaCcalls."
