"Go","ifcondition{instructions}«else{instructions}»","ifcondition{instructions}elseifcondition{instructions}...«else{instructions}»orswitch{casecondition:instructions...«default:instructions»}","switchvariable{casecase1:instructions...«default:instructions»}",""
"Swift","ifcondition{instructions}«else{instructions}»","ifcondition{instructions}elseifcondition{instructions}...«else{instructions}»","switchvariable{casecase1:instructions...«default:instructions»}",""
"Perl","if(condition){instructions}«else{instructions}»orunless(notcondition){instructions}«else{instructions}»","if(condition){instructions}elsif(condition){instructions}...«else{instructions}»orunless(notcondition){instructions}elsif(condition){instructions}...«else{instructions}»","usefeature""switch"";...given(variable){when(case1){instructions}...«default{instructions}»}","condition?valueIfTrue:valueIfFalse"
"Raku","ifcondition{instructions}«else{instructions}»orunlessnotcondition{instructions}","ifcondition{instructions}elsifcondition{instructions}...«else{instructions}","givenvariable{whencase1{instructions}...«default{instructions}»}","condition??valueIfTrue!!valueIfFalse"
"Ruby","ifconditioninstructions«elseinstructions»","ifconditioninstructionselsifconditioninstructions...«elseinstructions»end","casevariablewhencase1instructions...«elseinstructions»end","condition?valueIfTrue:valueIfFalse"
"Scala","if(condition){instructions}«else{instructions}»","if(condition){instructions}elseif(condition){instructions}...«else{instructions}»","expressionmatch{casepattern1=>expressioncasepattern2=>expression...«case_=>expression»}","if(condition)valueIfTrueelsevalueIfFalse"
"Smalltalk","conditionifTrue:trueBlock«ifFalse:falseBlock»end","","","conditionifTrue:trueBlockifFalse:falseBlock"
"CommonLisp","(whenconditioninstructions)or(unlessconditioninstructions)or(ifcondition(progninstructions)«(progninstructions)»)","(cond(condition1instructions)(condition2instructions)...«(tinstructions)»)","(caseexpression(case1instructions)(case2instructions)...«(otherwiseinstructions)»)","(iftestthenelse)or(cond(test1value1)(test2value2)...))"
"Scheme","(whenconditioninstructions)or(ifcondition(begininstructions)«(begininstructions)»)","(cond(condition1instructions)(condition2instructions)...«(elseinstructions)»)","(case(variable)((case1)instructions)((case2)instructions)...«(elseinstructions)»)","(ifconditionvalueIfTruevalueIfFalse)"
"ISLISP","(ifcondition(progninstructions)«(progninstructions)»)","(cond(condition1instructions)(condition2instructions)...«(tinstructions)»)","(caseexpression(case1instructions)(case2instructions)...«(tinstructions)»)","(ifconditionvalueIfTruevalueIfFalse)"
"Pascal","ifconditionthenbegininstructionsend«elsebegininstructionsend»","ifconditionthenbegininstructionsendelseifconditionthenbegininstructionsend...«elsebegininstructionsend»","casevariableofcase1:instructions...«else:instructions»end"
"VisualBasic","IfconditionTheninstructions«Elseinstructions»EndIfSingle-line,wheninstructionsareinstruction1:instruction2:...:IfconditionTheninstructions«Elseinstructions»","IfconditionTheninstructionsElseIfconditionTheninstructions...«Elseinstructions»EndIfSingle-line:SeenoteaboutC-likelanguages;theElseclauseofasingle-lineIfstatementcancontainanothersingle-lineIfstatement.","Select« Case»variableCasecase_pattern1instructions...«CaseElseinstructions»EndSelect","IIf(condition,valueIfTrue,valueIfFalse)"
"VisualBasic.NET","IfconditionTheninstructions«Elseinstructions»EndIfSingle-line,wheninstructionsareinstruction1:instruction2:...:IfconditionTheninstructions«Elseinstructions»","IfconditionTheninstructionsElseIfconditionTheninstructions...«Elseinstructions»EndIfSingle-line:SeenoteaboutC-likelanguages;theElseclauseofasingle-lineIfstatementcancontainanothersingle-lineIfstatement.","Select« Case»variableCasecase_pattern1instructions...«CaseElseinstructions»EndSelect","If(condition,valueIfTrue,valueIfFalse)"
"Xojo","If(condition,valueIfTrue,valueIfFalse)","IfconditionTheninstructions«Elseinstructions»EndIfSingle-line,wheninstructionsareinstruction1:instruction2:...:IfconditionTheninstructions«Elseinstructions»","IfconditionTheninstructionsElseIfconditionTheninstructions...«Elseinstructions»EndIfSingle-line:SeenoteaboutC-likelanguages;theElseclauseofasingle-lineIfstatementcancontainanothersingle-lineIfstatement.","Select« Case»variableCasecase_pattern1instructions...«CaseElseinstructions»EndSelect"
"Python","ifcondition:Tab?instructions«else:Tab?instructions»","ifcondition:Tab?instructionselifcondition:Tab?instructions...«else:Tab?instructions»","Python3.10+:matchvariable:Tab?casecase1:Tab?Tab?instructionsTab?casecase2:Tab?Tab?instructions","Python2.5+:valueIfTrueifconditionelsevalueIfFalse"
"S-Lang","if(condition){instructions}«else{instructions}»","if(condition){instructions}elseif(condition){instructions}...«else{instructions}»","switch(variable){casecase1:instructions}{casecase2:instructions}...",""
"Fortran","IF(condition)THENinstructionsELSEinstructionsENDIF","IF(condition)THENinstructionsELSEIF(condition)THENinstructions...ELSEinstructionsENDIF","SELECTCASE(variable)CASE(case1)instructions...CASEDEFAULTinstructionsENDSELECT",""
"Forth","conditionIFinstructions«ELSEinstructions»THEN","conditionIFinstructionsELSEconditionIFinstructionsTHENTHEN","valueCASEcaseOFinstructionsENDOFcaseOFinstructionsENDOFdefaultinstructionsENDCASE","conditionIFvalueIfTrueELSEvalueIfFalseTHEN"
"OCaml","ifconditionthenbegininstructionsend«elsebegininstructionsend»","ifconditionthenbegininstructionsendelseifconditionthenbegininstructionsend...«elsebegininstructionsend»","matchvaluewithpattern1->expression|pattern2->expression...«|_->expression»","ifconditionthenvalueIfTrueelsevalueIfFalse"
"F#","Lightweightsyntaxmode:Eitheronasinglelineorwithindentationasshownbelow:ifconditionthenTab?instructions«elseTab?instructions»Verbosesyntaxmode:SameasStandardML(below).","Lightweightsyntaxmode:Eitheronasinglelineorwithindentationasshownbelow:ifconditionthenTab?instructionselifconditionthenTab?instructions...«elseTab?instructions»Verbosesyntaxmode:SameasStandardML(below).","matchvaluewithpattern1->expression|pattern2->expression...«|_->expression»","ifconditionthenvalueIfTrueelsevalueIfFalse"
"StandardML","ifconditionthen«(»instructions«)»else«(»instructions«)»","ifconditionthen«(»instructions«)»elseifconditionthen«(»instructions«)»...else«(»instructions«)»","casevalueofpattern1=>expression|pattern2=>expression...«|_=>expression»","ifconditionthenvalueIfTrueelsevalueIfFalse"
"Haskell(GHC)","ifconditionthenexpressionelseexpressionorwhencondition(doinstructions)orunlessnotcondition(doinstructions)","result|condition=expression|condition=expression|otherwise=expression","casevalueof{pattern1->expression;pattern2->expression;...«_->expression»}","ifconditionthenvalueIfTrueelsevalueIfFalse"
"Bashshell","ifcondition-command;thenexpression«elseexpression»fi","ifcondition-command;thenexpressionelifcondition-command;thenexpression«elseexpression»fi","case""$variable""in""$condition1"")command...""$condition2"")command...esac",""
"CoffeeScript","ifconditionthenexpression«elseexpression»orifconditionexpression«elseexpression»orexpressionifconditionorunlessconditionexpression«elseexpression»orexpressionunlesscondition","ifconditionthenexpressionelseifconditionthenexpression«elseexpression»orifconditionexpressionelseifconditionexpression«elseexpression»orunlessconditionexpressionelseunlessconditionexpression«elseexpression»","switchexpressionwhenconditionthenexpressionelseexpressionorswitchexpressionwhenconditionexpression«elseexpression»","Allconditionsareexpressions."
"COBOL","IFcondition«THEN»expression«ELSEexpression».","","EVALUATEexpression«ALSOexpression...»WHENcase-or-condition«ALSOcase-or-condition...»expression...«WHENOTHERexpression»END-EVALUATE",""
"Rust","ifcondition{expression}« else{expression}»","ifcondition{expression}elseifcondition{expression}« else{expression}»","matchvariable{pattern1=>expression,pattern2=>expression,pattern3=>expression,«_=>expression»}","Allconditionsareexpressions"
"","if","elseif","selectcase","conditionalexpression"
