"Name","Drawingatoptext","Textbox,flowdiagram","Textandparagraphformatting","Inserthyperlink","Insertimage","Resizeimage","Inserttable","Insertaudio","Insertvideo","Attachment","Otherobjects","Remarks/otherfeatures"
"Memonic","?","?","?","?","?","?","?","?","?","?","?",""
"MicrosoftOneNote","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","OLE,bullets,line,flags,formulas","NolocalstorageofnotebooksonMacorversionspastOffice2016"
"MyInfo","?","?","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","OLE,bullets,numbering,pagebreaks,advancedlinks","Tags;filters;calendar;reminders"
"MyNotex","?","?","Yes","Yes","Yes","?","?","?","?","Yes","?","Activitylists;tags;notesmanagementbysubject;encryptionwithAESorGPG;multilingual"
"NotationalVelocity","?","?","?","?","?","?","?","?","?","?","?","Instantopenandsearching"
"Notion","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Bullets,numbering,checkboxes,reminders,calendars",""
"Okular","?","?","?","?","?","?","?","?","?","?","?",""
"Open-Sankoré","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","plug-ins,webpages,applications","Annotatelivedesktopapplicationsandwebpages;autosave;plug-insystem;audiorecording"
"Org-mode(Emacs)","?","Yes","Yes","Yes","Yes","?","Yes","No","No","Yes","Advancedlinking,bullets,tags,checkboxes,fullspreadsheet,embeddingofprogrammingcode,formulas,markup","MajormodeofEmacs;usesplain-text;includesToDos,spreadsheet,deadlines,encryption,reminders,agenda,calendar"
"Outline","Yes","Yes","Yes","Yes","Yes","?","Yes","No","No","Yes","Tags","Passwordprotection,insertwebpages,localstorage,MSOneNotecompatibility,texthighlighting,bulletedandnumberedlists,freeplacementofnotesonapage"
"PDFStudio","?","?","?","?","?","?","?","?","?","?","?",""
"PersonalKnowbase","?","?","?","Yes","?","?","?","?","?","Yes","?","Passwords;portable"
"Qiqqa","Yes","Yes","No","Yes","Yes","?","No","No","No","No","PDF,brainstorm,citations",""
"TagSpaces","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Tags,plugins","Plugins,youcanpresentyourlocalimages,videosandmusictoyourTVviaChromeCast.Youcancreateapersonal""wiki""fortrackingofyourprojects,ideasormemories."
"Simplenote","No","No","Yes","Yes","No","?","No","No","No","No","",""
"TiddlyWiki","?","Yes(withplugin)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","HTML,LaTeX,markdownplugins","Plugins;userscripts"
"Tomboy","Partial","No","Partial","Yes","No","No","No","No","No","No","NoteLinks,highlighting,fixed-width","Reminders;todo-lists;formulasinLaTeX"
"MicrosoftWindowsJournal","?","?","?","?","?","?","?","?","?","?","?",""
"Xournal++","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","No","?","?","SupportsLaTeX"
"Zim","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Plugins;Versioning;LaTeXintegration(formulas,export);HTMLexport(includingslideshow);GNOME'sZeitgeistintegration;Lilypondmusicsheetintegration","ASCIIdiagramdrawing;Tags;Tasks;TableofContentnavigation;SQLite3searchindexing;Autosaving;Lastcursorpositionmemory;Tabbedmulti-documents"
"Name","Drawingatoptext","Textbox,flowdiagram","Textandparagraphformatting","Inserthyperlink","Insertimage","Resizeimage","Inserttable","Insertaudio","Insertvideo","Attachment","Otherobjects","Remarks/otherfeatures"
