"Title","Status","Graphics","Setting","Businessmodel","Launched","Closed","Distribution","Notes"
"Requiem:MementoMori","NorthAmericaSouthKorea","3D","Darkfantasy","Free-to-play","2008","","",""
"RFOnline","EuropeNorthAmericaSouthKorea","3D","Sciencefiction","Pay-to-play","2006","","",""
"Rift","EuropeNorthAmerica","3D","Fantasy","Free-to-play","2011","","Steam","Formerlypay-to-play"
"Rohan:BloodFeud","EastAsia,SEANorthAmerica","3D","Fantasy","Freemium","2008","","",""
"ROSEOnline","Closed","3D","Fantasy","Freemium","2005","2019","",""
"RubiesofEventide","Closed","3D","Medievalfantasy","Free-to-play","2003","2009","",""
"RunesofMagic","Active","3D","Medievalfantasy","Freemium","2009","","","Publisher:Gameforge"
"RuneScape(3)","Active","3D","Medievalfantasy","Freemium,butwithbulkofcontentpay-to-play","2001","","Standalone&Steam","RuneScape3isC++-based,developedcontinuouslysince2001.OldSchoolRuneScapeforkedfromits2007versionin2013."
"RustyHearts","Closed","3D","Fantasy","Free-to-play","2011","2014","","Hackandslash"
"Ryzom","EuropeNorthAmerica","3D","Sciencefantasy","Freemium","2004","","Steam","Free-to-play(uptolevel125),pay-to-play(tomaxlevel).Opensource"
"Salem","Active","3D","Historical(17thcentury)fantasy","Free-to-play","2012","","Standalone","Crafting-based"
"SangokushiOnline","Closed","3D","Historical(Chinese)","Pay-to-play","2008","2010-07-19","","PartoftheRomanceoftheThreeKingdomsseriesbyKoei"
"ScionsofFate","EastAsiaIndonesiaUSA","3D","Fantasy","Free-to-play","2005","","","Koreanname:Yulgang."
"SealOnline","EastAsiaUSA","3D","Fantasy","Freemium","2003","","",""
"TheSecretWorld","EuropeNorthAmerica","3D","Modern","Buy-to-play","2012","","Steam","Formerlypay-to-play"
"Shadowbane","Closed","3D","Fantasy","Pay-to-play","2003-03-25","2009-07-01","","Switchedto""free-to-play""on2006-03-15,supportedbyads"
"ShinMegamiTensei:Imagine","Closed","3D","Fantasy","Free-to-play","2007","2016-05-24","",""
"Shot-Online","Active","3D","Sports(golf)","Freemium","2004","","",""
"ShroudoftheAvatar:ForsakenVirtues","Active","3D","Fantasy","Free-to-play","2018","","","SpiritualsuccessortotheUltimaseries"
"SilkroadOnline","ChinaEuropeUSA","3D","Fantasy","Free-to-play","2005","","","ServersinChina,EuropeandUSA."
"Skyforge","Active","3D","Fantasy(Mythic/Sci-fi)","Freemium","2015","","","Russian-baseddevelopers.Manualaimactioncombat"
"SouloftheUltimateNation","Closed","3D","Fantasy","Pay-to-play","2007","2013-07-03","",""
"SpaceHeroesUniverse!","Closed","2D","Kids","Freemium","2011","2015","","OriginallyLittleSpaceHeroes"
"SpiralKnights","Active","3D","Fantasy","Freemium","2009","","Steam&Standalone","Java"
"StarQuestOnline","Closed","3D","Sciencefiction","Free-to-play","2007","2014","","Downloadableclient(Windows)"
"StarTrekOnline","Active","3D","Sciencefiction","Freemium","2010","","","Switchedto""free-to-play""on2012-01-17"
"StarWarsGalaxies","Closed","3D","Sciencefiction","Pay-to-play","2003-06-26","2011-12-15","","FirstStarWarsMMORPG,usinga""sandbox""approachwithaplayer-driveneconomy."
"StarWars:TheOldRepublic","Active","3D","Sciencefiction","Freemiumwithoptionalsubscriptionmodel","2011","","Standalone&Steam","Spiritualsequelof2003'sGameoftheyearStarWars:KnightsoftheOldRepublic,formerlypay-to-play"
"StellarDawn","Terminated","3D","Sciencefiction","","","","","Developmentstartedbackin2006asMechScape(scrappedin2009).In2010StellarDawnwasannounced,inMarch2012Jagexpauseddevelopment.Pausedindefinitely2015."
"TabulaRasa","Closed","3D","ScienceFiction","Pay-to-play","2007","2009","",""
"ATaleintheDesert","Active","3D","Mythology(Egyptian)","Pay-to-play","2003","","Standalone","Non-combat-orientedRPG"
"TalesofPirates","Closed","3D","Fantasy(Maritime)","Free-to-play","2007","2016-29-02","","During2010serverdatawastransferredtoarevampedclientcalledTalesofPiratesII"
"TERA:Rising","Active","3D","Fantasy","Freemium","2011","","Steam,consoles","Manualaimactioncombat(TrueActioncombat)"
"Terra","Active","3D","Sciencefiction","Free-to-play","1996","","",""
"Tibia","Active","2D(sprite-based;overhead)","Fantasy","Free-to-play","1997","","","Downloadableclient(Windows,Linux)."
"ToontownOnline","Closed","3D","Fantasy,Cartoon","Freemium","2003","2013-09-19","","Designedforfamilies,mostlytargetedtowardschildren."
"ToontownRewritten","Active","3D","Fantasy,Cartoon","Free-to-play","2014","","Standalone","Fan-maderevivalofToontownOnline,createdusingpubliclyavailabledownloadsandinformation."
"Torn","Active","Text","Crime(mafia)","Free-to-play","2004-11-15","","Browser","Mafia-themed"
"TricksterOnline","Closed","2D(isometric;adventure)","Fantasy,Mythology(Greek/mixed)","Free-to-play","2003","2014-01-28","",""
"Trove","Active","3D","Fantasy,Cartoon","Freemium","2013","","",""
"TwelveSky","Closed","3D","Fantasy","Free-to-play","2007","","",""
"TwelveSky2","EastAsia,SEAEuropeNorthAmerica","3D","Fantasy","Free-to-play","2008","","",""
"UltimaOnline","Active","2D/3DIsometric","Medievalfantasy","Subscription","1997","","","ThetermMMORPGwasfirstcoinedbyUltimaOnlinecreatorRichardGarriottin1997."
"UnchartedWatersOnline","Active","3D","Historical(maritime)","Free-to-play(oninternationalserver)","2005-03-03(Japan)2010-10-07(West)","","",""
"Underlight","Active","3D","Fantasy(Dream)","Free-to-play","1998","","Standalone&Steam","OriginalserverswereshutdowninDecember2006.Re-launchedinSeptember2014byKoiWare."
"Vanguard:SagaofHeroes","Closed","3D","Fantasy","Pay-to-play","2007-01-30","2014-07-31","",""
"VendettaOnline","Active","3D","Sciencefiction","Pay-to-play","2004","","Cross-platform","Spacevehiclepilotingandtwitch-basedinterface"
"Vindictus","Active","3D","Fantasy(Celtic)","Free-to-play","2010","","Steam","Manualaimactioncombat"
"VoyageCenturyOnline","Active","3D","Historical(maritime)","Free-to-play","2006","","","Manylocalisedlanguageversionsshutdownin2010s:German,French,Spanish,Portuguese,Turkish."
"Wakfu","Active","2D(isometric)","Fantasy","Freemium","2012","","","Downloadableclient(Windows,Mac,Linux).Tacticalcombat."
"WarhammerOnline:AgeofReckoning","Closed","3D","Fantasy","Freemium","2008","2013-12-18","",""
"WildStar","Closed","3D","Fantasy,Sciencefiction","Free-to-play","2014","2018-11-28","","Manualaimactioncombat(telegraphed).Becamefree-to-playon2015-09-29"
"WithYourDestiny","Active","3D","Fantasy(Scandinavian)","Free-to-play","2003","","",""
"Wizard101","AustralasiaEuropeNorthAmerica","3D","Fantasy,kids","Freemium","2008","2015(China&Taiwan)","","Wizardgamewithcards,kid-safechat.China&Taiwanserversshutdownlate2015."
"WizardryOnline","Closed","3D","Fantasy","Freemium","2013","2014","","BasedonWizardryseries"
"WonderKingOnline","Closed","2D(side-scrolling)","Fantasy","Free-to-play","2006","2011-12-29","",""
"WonderlandOnline","Closed","2D(special)","Fantasy","Free-to-play","2008-04-09","2019-01-15","","Anime/Mangabased"
"WorldoftheLivingDead","Closed","2D","SurvivalStrategy","Free-to-play","2014","2014","","Map-BasedSurvivalGamewithPvP,Factions,Customization,Upgrades&Crafting."
"WorldofWarcraft","Active","3D","Fantasy","Pay-to-play","2004","","Launcher","Free-to-playuntillevel20"
"WurmOnline","Active","3D","Medievalfantasy","Freemium","2006","","","Sandboxgamewithhundredsofskills,multiplekingdoms,andadeepcraftingsystem."
"Xsyon","Earlyaccess","3D","Apocalypticfantasy","Buy-to-play","2011","","Steam","Apocalypticfantasysandbox.Earlyaccesssince2011.Pay-to-play2012–2015,freemium2012–2014."
"Zhengtu","Closed","2D","Mythology(Chinese)","Freemium","2008","2018-12-26","",""
