"Name","GuestOSSMPavailable","RunsarbitraryOS","SupportedguestOSdrivers","Methodofoperation","Typicaluse","SpeedrelativetohostOS","Commercialsupportavailable"
"OracleVirtualBox","Yes","Yes","Yes","Virtualization","Businessworkstation,serverconsolidation,servicecontinuity,developer,hobbyist","Uptonearnative","Yes(withcommerciallicense)"
"VirtualIron3.1","Yes,upto8way","Yes","Yes","Nativevirtualization","Serverconsolidation,servicecontinuity,dev/test","?","Yes"
"VirtualPC2007","No","Yes","Yes","Virtualization,guestcallstrappingwheresupported","Hobbyist,Developer,Businessworkstation","Uptonearnativewithvirtualmachineadditions","?"
"WindowsVirtualPC","Yes","Yes","Yes","Hardwarevirtualization","Developer,Businessworkstation,supportforCompatibilitywithWindowsXPapplications","Uptonearnativewithvirtualmachineadditions","No"
"VirtualPC7forMac","No","Yes","Yes","dynamicrecompilation(guestcallstrappingwheresupported)","Hobbyist,Developer,Businessworkstation","Slow","?"
"VirtualServer2005R2","No","Yes","Yes","Virtualization(guestcallstrappingwheresupported)","Server,serverfarm","Uptonearnativewithvirtualmachineadditionsbutslowerthanwithhypervisorduetoproxiedcalls","?"
"CoWareVirtualPlatform","Yes","Yes","Yes(SamecompiledSoftwareimageasfortherealdevice)","Full-systemvirtualization(ProcessorCoreISA+Hardware+Externalconnections)","Earlyembeddedsoftwaredevelopmentandintegration(fromdrivertoapplication),Multi-coresoftwaredebuggingandoptimization","Dependingonthesystemcharacteristicsandthesoftwareitself,rangesfromfasterthanrealtimetoslow.","Yes"
"Virtuozzo","Yes","No","Compatible","Operatingsystem-levelvirtualization","Serverconsolidation,servicecontinuity,disasterrecovery,serviceproviders","Uptonearnative","Yes"
"VMwareESXiServer5.5(vSphere)","Yes,add-on,upto64way","No","Yes","Virtualization","Serverconsolidation,servicecontinuity,dev/test,cloudcomputing,businesscriticalapplications,InfrastructureasaServiceIaaS","Uptonearnative","Yes"
"VMwareESXServer4.0(vSphere)","Yes,add-on,upto8way","Yes","Yes","Virtualization","Serverconsolidation,servicecontinuity,dev/test,cloudcomputing","Uptonearnative","Yes"
"VMwareESXServer3.0","Yes,add-on,upto4way","Yes","Yes","Virtualization","Serverconsolidation,servicecontinuity,dev/test","Uptonearnative","Yes"
"VMwareESXServer2.5.3","Yes,add-on,2way","Yes","Yes","Virtualization","Serverconsolidation,servicecontinuity,dev/test","Uptonearnative","Yes"
"VMwareFusion","Yes","Yes","Yes","Virtualization","Hobbyist,Developer,Tester,Businessworkstation","Uptonearnative","Yes"
"VMwareServer","Yes(2-way)","Yes","Yes","Virtualization","Server/desktopconsolidation,dev/test","Uptonearnative","Yes"
"VMwareWorkstation","Yes(2-way)","Yes","Yes","Paravirtualization(VMI)andvirtualization","Technicalprofessional,advanceddev/test,trainer","Uptonearnative","Yes"
"VMwarePlayer","Yes","Yes","Yes","Virtualization","Technicalprofessional,advanceddev/test,trainer,enduseronprebuiltmachines","Uptonearnative","No"
"Xen","Yes,v4.0.0:upto128VCPUsperVM","Yes","Yes","Paravirtualizationandportingorhardwarevirtualization","Virtualizedserverisolation,server/desktopconsolidation,softwaredevelopment,cloudcomputing,otherpurposes.Xenpowersmostpubliccloudservicesandmanyhostingservices,suchasAmazonWebServices,RackspaceHostingandLinode.","Uptonative","Yes"
"XCP-ng","Yes","Yes","Yes","Paravirtualizationandportingorhardwarevirtualization","Virtualizedserverisolation,server/desktopconsolidation,softwaredevelopment,cloudcomputing,desktopvirtualization,publiccloudservices,hostingsservicesandotherpurposes.","Uptonative","Yes"
"XenServer","Yes","Yes","Yes","Paravirtualizationandportingorhardwarevirtualization","Virtualizedserverisolation,server/desktopconsolidation,softwaredevelopment,cloudcomputing,otherpurposes.Xenpowersmostpubliccloudservicesandmanyhostingservices,suchasAmazonWebServices,RackspaceHostingandLinode.","Uptonative","Yes"
"XtratuM","Yes","No","Yes","Paravirtualization","Embedded,safetycritical,secure","Neartonative","Yes"
"z/VM","Yes,bothrealandvirtual(guestperceivesmoreCPUsthaninstalled),incl.dynamicCPUprovisioningandreassignment","Yes","Yes,butnotrequired","Virtualization(amongfirstsystemstoprovidehardwareassists)","Servers","Nearnative","Yes"
"zLPARs","Yes,bothrealandvirtual(guestperceivesmoreCPUsthaninstalled),incl.dynamicCPUprovisioningandreassignment;upto64realcores","Yes","Yes,butnotrequired","Microcodeandhardwarehypervisor","Servers","Native:SystemzmachinesalwaysrunwithatleastoneLPAR","Yes"
"Name","GuestOSSMPavailable","RunsarbitraryOS","SupportedguestOSdrivers","Methodofoperation","Typicaluse","SpeedrelativetohostOS","Commercialsupportavailable"
