"","Selectionediting","Layers","AlphaChannel","Histogram","Scripting","HDR","Retouching","Resizing","Noiseremoval","Lenscorrection","SizedPrinting","Sharpening","Colorcorrection","Imagelibrary","Plug-insupport","Non-destructiveediting"
"Pixia","Yes","Yes","?","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","?","?","Yes","?"
"ProjectDogwaffle","?","Commercialversion","?","Yes","Partial","No","Yes","Yes","?","?","?","Yes","Yes","?","Yes","?"
"QFX","Yes","Yes","?","Yes","Yes","?","?","?","?","?","?","?","?","?","Yes","?"
"RawTherapee","No","No","?","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"SerifPhotoPlus","Yes","Yes","?","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","?"
"SideEffectsHoudini","Yes","Yes","?","Yes","Yes","No","Yes","Yes","Yes","No","?","Yes","Yes","No","Yes","?"
"TurboPlay","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes"
"TuxPaint","No","No","?","No","No","No","No","No","No","No","No","Yes","No","No","Yes","?"
"TVPaint","Yes","Yes","?","Yes","Yes","No","Yes","Yes","?","?","?","?","Yes","?","Yes","?"
"UleadPhotoImpact*","Yes","Yes","?","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"UltimatePaint*","Yes","No","?","Yes","No","No","?","?","?","?","?","?","?","?","?","?"
"WinImages","Yes","Yes","?","?","Yes","?","?","?","?","?","?","?","?","?","?","?"
"XaraPhoto&GraphicDesigner","Yes","Yes","?","Yes","No","No","Yes","Yes","Yes","Partial","Yes","Yes","Yes","Yes","Yes","Yes"
"XnView","No","Partial","?","Partial","Yes","No","No","Yes","Yes","?","?","Yes","Yes","Yes","Yes","No"
"XPaint","Yes","Partial","?","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Partial","Yes","No"
"ZonerPhotoStudio","Yes","Partial","?","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
