"Format","Fullname","Owner","basedon","Fileextension","MIMEtype","Application","Patented"
"AutoCADDXF","DrawingInterchangeFormat","Autodesk","",".dxf","image/vnd.dxf","",""
"AWD","","","",".awd","image/awd","UsedbyPhotoPhilia",""
"ARW","SonyAlphaRAW","Sony","TIFF",".arw","","",""
"BAY","CasioRAW","Casio","",".bay","","",""
"BigTIFF","","","TIFF",".btf,.tiff,.tif","image/tiff","",""
"BMP","raw-dataunencodedorencodedbitmap","simplecolourimageformat,farolderthanMicrosoft;some.bmpencodingformatsdeveloped/ownedbyMicrosoft","",".bmp,.dib,.rle,.2bp(2bpp)","image/x-bmp","Usedbymany2Dapplications.","No"
"bmpcompressor","BitMapCompressor","","",".hpc","","",""
"BLEND","resourcearchive(3Dmeshes,textures,auxiliarydata)","","",".blend","","nativedatapackageformatofBlender",""
"BPG","BetterPortableGraphics","FabriceBellard","HEVC",".bpg","","SuggestiontoreplaceJPEG,JavaScriptdecoderavailable","Yes"
"BRK","BrooktroutFax","","",".brk","","",""
"BSAVE","BSAVEImage","","",".BSV","","UsedbyIBMPC.",""
"CAM","CasioCAM","Casio","JPEG",".cam","","",""
"CADRG","CompressedARCDigitizedRasterGraphics","","",".cadrg","","",""
"CAL","CALSrasterfileformat","","",".cal,.cals,.ras,.dcl","","",""
"CaptureOneRAW","","PhaseOne","",".cap","","",""
"CIFF","CameraImageFileFormat","Canon","",".crw,.ciff","","",""
"CR2","CanonRAW2","Canon","TIFF",".cr2","","",""
"CDR","CorelDRAWDocument","CorelCorporation","",".cdr,.ccx,.cdt,.cmx","application/coreldraw","CorelDRAWfilesareeditableusingprogramsthatsupporttheformat,suchasCorelDRAW,AdobeIllustrator,Inkscape,etc.","Yes"
"CGM","ComputerGraphicsMetafile","","",".cgm","image/cgm","CGMfilesareeditableusingprogramsthatsupporttheformat,suchasIBMLotusFreelanceGraphics,Inkscape,etc.",""
"CIN","Cineon","","",".cin","image/cineon","",""
"CorelPaintShopProPattern","","","",".pat","","SupportedbyCorelPaintShopPro",""
"CPC","CartesianPerceptualCompression","CartesianProducts,Inc.","",".cpc,.cpi","image/cpi","Highlycompressedrasterimagingformat.","Yes"
"CPKT","APP5-CPKTFormat","","JPEG",".jpg,.jpe,.jpeg","image/jpeg","UsedbyPROSERPINE.",""
"CPT","CorelPhoto-PaintImage","","",".cpt","","VariantofTIFFuptoandincludingversion6.0;proprietaryasof7.0(1997)",""
"CrackArt","","DetlefRöttger&JanBorchers","",".ca1,.ca2,.ca3","","AnapplicationonAtariST",""
"CUT","","","",".cut","","UsedbyDSHELL.",""
"CMYK","","","",".cmyk","","",""
"CMYKA","","","",".cmyka","","",""
"DCS","KodakDCSProRAW","Kodak","",".dcs","","",""
"DCR","DigitalCameraRaw","Kodak","TIFF",".dcr","","",""
"DDS","DirectDrawSurface","Microsoft","",".dds","","",""
"Degas","Design&EntertainmentGraphicArtsSystem","IntegralSolutions","",".pi1,.pi2,.pi3,.pc1,.pc2,.pc3","","AnapplicationonAtariST",""
"DNG","DigitalNegative","AdobeSystems","compatiblewithISO12234-2,TIFF/EP",".dng","","Arawimageformatsuitableasanarchivalformatandasthenativerawformatofdigitalcameras","No:noknownintellectualpropertyencumbrancesorlicenserequirements"
"DIA","DiaDrawing","","XML",".dia","","UsedbyDia",""
"DICOM","DigitalImagingandCommunicationsinMedicine","NationalElectricalManufacturersAssociation","",".dcm,.dicom","application/dicom","Numerousbiomedicalimagingapplications(e.g.OsiriX,XMedCon),somegeneralbitmapgraphicsapplications(e.g.GIMP,Photoshop)",""
"DjVu","DjVu","AT&TResearch","",".djvu,.djv","image/vnd.djvu","",""
"Doodle","","","",".doo","","AnapplicationonAtariST",""
"DPX","DigitalPictureeXchangefileformat","","",".dpx","image/dpx","",""
"DRF","KodakProBackRAW","Kodak","",".drf","","",""
"Dr.Halo","","","",".cut","","",""
"EncapsulatedPostScript","pagedescription/scriptinglanguage(seePostScript)","Adobe","",".epi,.eps,.eps2,.eps3,.epsf,.epsi,.ept","application/postscript","printing/publishingindustrystandardformat",""
"ECW","EnhancedCompressedWavelet","ERDAS","",".ecw","","Waveletimageformatusedprimarilywithgeo-referencedaerialandsatelliteimagery","Yes"
"EDG","EDGE2OriginalFormat","TAKABO","",".edg","","UsedbyEDGE2",""
"EGI","ExclusiveGraphicsFormat","","",".egi","","",""
"EMF","EnhancedMetafileFormat","Microsoft","",".emf,.emz","","MicrosoftOffice",""
"EMF+","EnhancedMetafileFormatPlusExtensions","Microsoft","",".emf,.emz","","",""
"ERF","EPSONRAW","EPSON","TIFF",".erf","","",""
"ERI","EntisRasterizedImageformat","","",".eri","","",""
"Exif","ExchangeableImageFileFormat","","",".exif","","",""
"EVA","ExtendedVectorAnimation","SharpCorporation","",".eva","application/x-eva","",""
"EXR","OpenEXR","ILM","",".exr","image/exr","Usedinfilmeffectsfor3drenderingandhdrimages.","?"
"Farbfeld","","LasloHunhold","",".ff","","Verysimplelosslessbitmapformatusedforimageprocessing.","No"
"FIF","FractalImageFormat","","",".fif","","",""
"FIG","FIGformat","","",".fig","application/x-xfig","SupportedbyXfig",""
"FITS","FlexibleImageTransportSystem","","",".fit,.fits","","Scientific(esp.astronomical)dataacquisition",""
"FLA","FlashSourceFile","","",".fla","","",""
"FLIC","","Autodesk","",".fli,.flc,.flx,.flh,.flt","","SupportedbyGIMP",""
"FLIF","FreeLosslessImageFormat","","",".flif,.flf","","General-purposelosslessimagecompression,superiorcompression.","No"
"FLW","KivioDocument","","",".flw","","SupportedbyKivio",""
"FPX","FlashPix(1.0.2)","","",".fpx","image/vnd.fpx","",""
"FreeHand","","AdobeSystems","",".fh4,.fh5,.fh7,.fh8,.fhc,.fh","image/x-freehand","",""
"FutureSplash","","AdobeSystems","",".spl","application/futuresplash","",""
"FXT","","3DFX","",".fxt","","",""
"GEGLcomposition","","","XML",".xml","application/xml","UsedbyGEGL",""
"GerberFormat","TheGerberFormatSpecification","Ucamco","PrintableASCII",".gbr","application/vnd.gerber","PrintedCircuitBoardorPCBsoftware","No"
"GIF","GraphicsInterchangeFormat","CompuServe,Unisys(compressionalgorithm)","",".gif,.gfa,.giff","image/gif","Supportedbymostwebbrowsers.Supportstransparencyandanimation.","Expired"
"GIMPbrush","","TheGIMPTeam","",".gbr","","SupportedbyGIMP",""
"GIMPcompressedXJTimage","","TheGIMPTeam","JPEG,tar",".xjt,.xjtgz(compressed),.xjtbz2(compressed)","None.lossyformat,notsuitableforediting","SupportedbyGIMP",""
"GIH","Gimpimagehose","TheGIMPTeam","",".gih","","SupportedbyGIMP",""
"GIMPpatterns","","TheGIMPTeam","",".pat","","SupportedbyGIMP",""
"GRA","","","",".gra","","UsedbyQSVandQLD.",""
"G3Fax","","","",".g3","","SupportedbyGIMP",""
"Hasselblad3FRRAW","","","TIFF",".3fr","","",""
"Hasselblad/ImaconFFF","","","",".fff","","",""
"HEIF","HighEfficiencyImageFormat","MotionPicturesExpertGroup(MPEG)","",".heif,.heic","image/heif,image/heic,image/heic-sequence,image/heif-sequence","","Yes"
"HDRi","","","TIFF",".tif,.tiff","image/tiff","",""
"HG","HyperGraphicPress","","",".hg","","SupportedbysomeoldJapaneseapplications.",""
"ICER","","NASAMarsRovers","","","","",""
"IIQRAW","IntelligentImageQualityRAW","PhaseOne","",".iiq","","",""
"IMA",".ima",".imateam","",".ima","","FormatforphotographicimageswithHDRencoding.","No"
"IMG(GEMPaint)","","","",".img","","SupportedbyGEMPaint",""
"IMG(ERDASIMAGINE)","ERDASIMAGINE","ERDAS","HierarchicalFileArchitecture(HFA)",".img","","Imageformatusedprimarilywithgeo-referencedimagery,thematicgriddata,andelevationgriddata.","Yes"
"im4","","MasahideHirabayashi","",".im4","","",""
"InkscapeSVG","","TheInkscapeTeam","SVG",".svg,.svgz","image/svg+xml","UsedbyInkscape",""
"ICO","ICOfileformat","Microsoft","",".ico,.cur","image/vnd.Microsoft.icon,image/x-icon","UsedbyMicrosoftWindowsandwebbrowsersasfavicon",""
"ICS","ImageCytometryStandard","","",".ics,.ids","","",""
"IGES","InitialGraphicsExchangeSpecification","","",".igs","image/iges","CAD/CAMinteroperability","No"
"ILBM","InterLeavedBitMap","ElectronicArtsandCommodoreAmiga","IFF",".iff,.ilbm,.lbm","image/x-ilbm","PlanargraphicsformatdesignedforAmigagraphicshardware.","No"
"IPTC/NAA","IPTC/NAA","","TIFF","","","",""
"JBIG","","JointBi-levelImageExpertsGroup","",".jbig,.bie,.jbg","","",""
"JBIG2","","JointBi-levelImageExpertsGroup","","","","",""
"JNG","JPEGNetworkGraphics","","",".jng","image/x-jng","","No"
"JPEG","JointPhotographicExpertsGroup","JointPhotographicExpertsGroup","",".jpg,.jpeg,.jpe(containers:.jif,.jfif,.jfi)","image/jpeg","Photographicimages.Supportedbymostwebbrowsers.","ExpiredseealsoForgent#JPEG"
"JPEG2000","JointPhotographicExpertsGroup2000","JointPhotographicExpertsGroup","",".jp2,.j2c,.jpc,.j2k,.jpx","image/jp2","Waveletlossyandlosslessformatforphotographicimages.","Yesnolicencecostsforpart1"
"JPEG-LS","","JointPhotographicExpertsGroup","",".jls","","",""
"JPEG-HDR","","DolbyLaboratories/BrightSideTechnologies","JPEG","","","HDRformatbasedonRGBEfloating-pointencodingandbackward-compatibleextensionstoJFIFformat;includedinJPEGXTPart2.",""
"JPEGXL","","JointPhotographicExpertsGroup","PIK,FUIF(FLIF)",".jxl","image/jxl","General-purposerasterformatwithhigh-performancelossyandlosslesscompression,includinglosslessJPEGtranscoding.","No"
"JPEGXT","","JointPhotographicExpertsGroup","","","","Backwards-compatibleextensionoftheJPEGformatforhighbitdepthandfloatingpointHDRencodingoflossyandlosslessimages",""
"JPEGXR/HDPhoto","JPEGXR/HDPhoto","Microsoft","",".wdp,.hdp,.jxr","image/vnd.ms-photo","TIFF-likecontainerformatwithHDRencodingforphotographicimages","Yes(royalty-free)"
"J6I","","RICOH","JPEG",".j6i","","UsedbyRICOHDC-1/2",""
"KDC","KodakDC40/DC50RAW","Kodak","TIFF",".kdc","","",""
"KOA","","","",".koa,.gg(compressed)","","SupportedbyKoalaPaint",""
"KIFF","KtInterchangeFileFormat","","",".kif,.kiff","","",""
"KISSCEL","","","",".cel","","SupportedbyGIMP",""
"KodakTIFFextensions","","Kodak","TIFF",".tif","","",""
"KodakYCC","","Kodak","",".pcd","","",""
"KQP","","Minolta","JPEG",".kqp","","",""
"K25","KodakDC25RAW","Kodak","TIFF",".k25","","",""
"LeafMosaicRAW","","","TIFF",".mos","","",""
"LightStreamPicture","","","",".lsp","","",""
"LogluvTIFF","","GregWard","TIFF","","","SupportedbyLibtiff",""
"MacPaint","","","",".pnt,.mac","","",""
"MDC","MinoltaRD175Format","Minolta","",".mdc","","",""
"MET","OS/2MetafileFormat","","",".met","","SupportedbySAS/GRAPH",""
"MNG","Multiple-imageNetworkGraphics","","PNG",".mng","video/x-mng","","No"
"MO:DCA","MO:DCA","IBM","",".mda,.ica,.mmr,.afp","image","IBM'sContentManagerandImagePlus","Yes"
"MSP","MicrosoftPaint","Microsoft","",".msp","","",""
"MYD","Mydformat","","",".myd","","",""
"MYV","Myvvectorformat","","",".myv","","",""
"NEF","NikonRAW","Nikon","TIFF",".nef","","",""
"MEF","MamiyaRAW","Mamiya","TIFF",".mef","","",""
"Neochrome","","DaveStaugas","",".neo","","AnapplicationonAtariST",""
"MAG","MAKIchanGraphicloader","Woody-Rinn","",".mag","","UsedbymanyoldJapaneseapplications.",""
"MAKI","MAKIchannetformat","Woody-Rinn","",".mki","","",""
"MIFF","Magickimagefileformat","ImageMagickStudio","",".miff","","SupportedbyImageMagick",""
"MSA","MisachanFile","HirohumiIguchi","",".msa","","SupportedbyoldJapaneseapplications",""
"MSL","MagickScriptingLanguage","ImageMagickStudio","",".msl","","SupportedbyImageMagick",""
"MVG","MagickVectorGraphics","ImageMagickStudio","",".mvg","","SupportedbyImageMagick",""
"MPC","MagickPersistentCacheimagefileformat","ImageMagickStudio","",".mpc","","SupportedbyImageMagick",""
"MRW","MinoltaRAW","Minolta","",".mrw","","",""
"NSK-TIFF","NSK-TIFF","NihonShinbunKyokai(??????)","TIFF","","","",""
"OAZ","OAZFax","OazCommunications","",".oaz","","UsedbyNetFaxManager",""
"ODG","OpenDocumentdrawing","","",".odg","","SupportedbyCollaboraOnlineDraw,LibreOfficeDraw","No"
"ORA","OpenRaster","freedesktop.org","OpenDocumentXML",".ora","","DrawPile,GIMP,Krita,MyPaint,Nathive,Pinta","No"
"ORF","OlympusRAW","Olympus","TIFF",".orf","","",""
"ORTL","Orteliusfileformat","Mapdiva,LLC","",".ortl","","Vectorimage/mapformat;usedbyOrtelius",""
"PAM","portablearbitrarymapfileformat","","",".pam","image/x-portable-arbitrarymap","","No"
"PanasonicRAW","","Panasonic","TIFF",".raw,.rw2","","",""
"PCIF","PolyominoCompressedImageFormat","","",".pcf","","",""
"PhaseOneP25/P30/P45RAW","","PhaseOne","",".tif,.tiff","","",""
"PictureGearPocketImage","","","",".prc","","",""
"PBM","PortableBitmapFileFormat","","ASCII",".pbm","image/x-portable-bitmap","","No"
"PCD","KodakImagePacPhotoCD","Kodak","",".pcd","image/jpcd","",""
"PCF","PixelCoordinationFormat","","",".pcf","image/pcf","",""
"PCX","ZSoftPCPaintbrushFile","ZSoftCorporation","",".pcx,.pcc,.dcx","image/x-pcx","Datedrlepackedindexedimageformat,usedinsomeearly3dshootinggameslikeUnrealTournamentasittakesupverylittlespaceandiseasytodecode.","?"
"PDF","PortableDocumentFormat","AdobeSystems","",".pdf,.epdf","application/pdf","",""
"PDN","Paint.NETImage","dotPDNLLC","",".pdn","","PreferredandsupportedbyPaint.NET",""
"PEF","PENTAXRAW","PENTAX","TIFF",".pef","","",""
"PGF","ProgressiveGraphicsFile","xerainaGmbH","",".pgf","","Photographicimages,eventualreplacementforJPEG.","No"
"PGM","PortableGraymapFileFormat","","ASCII",".pgm","image/x-portable-graymap","","No"
"PGML","PrecisionGraphicsMarkupLanguage","AdobeSystems,IBM,Netscape,SunMicrosystems","","","","","No"
"Photochrome","","","",".pcs","","",""
"PNM","PortableAnymapFileFormat","","ASCII",".pnm","image/x-portable-anymap","","No"
"PTX","PentaxRAWBitmapGraphic","Pentax","",".ptx","","",""
"Pi","","Yanagisawa","",".pi","","UsedbysomeoldJapaneseapplications.",""
"PIC","YanagisawaPIC","Yanagisawa","",".pic","","UsedbymanyoldJapaneseapplications.",""
"PIC","DoGAPIC","ProjectTeamDoGA","",".pic","","UsedbyDoGACGASystem.",""
"PICT","MacintoshPICTFormat","AppleInc.","",".pict,.pic,.pct,.pct1,.pct2","image/pict","MetafileforClassicMacOS,notmeantforprintpublishing.","Likelyexpired"
"PICtor","","JohnBridges,DougWolfgram","",".pic","","SupportedbyPCPaint",""
"PIC2","","Yanagisawa","",".p2","","SupportedbysomeoldJapaneseapplications.",""
"PLD","PhotoLineDocument","ComputerinselGmbH","",".pld","application/pld","NativeformatofthePhotoLineimageeditingprogram.","?"
"PMP","","Sony","JPEG",".pmp","","UsedbySonyCyber-Shot",""
"PNG","PortableNetworkGraphics","WorldWideWebConsortium","",".png","image/png","W3CendorsedreplacementforGIF.Supportedbymostwebbrowsers.","No"
"PostScript","pagedescription/scriptinglanguage,levels1–3","Adobe","",".ps,.ps2,.ps3","","printing/publishingindustrystandardformat",""
"PPM","PortablePixmapFileFormat","","ASCII",".ppm","image/x-portable-pixmap","Veryeasytounderstand.Programstoanalyzeandwritetothisformatareeasilywritten.","No"
"PSD","PhotoshopDocument","AdobeSystems","",".psd,.psb,.pdb,.pdd","image/vnd.adobe.photoshop","Usedmainlyforstoringimagemanipulation&editingdata.","Yes"
"PSP","PaintShopProDocument","CorelCorporation","",".psp,.tub,.pspimage","image/x-psp","SupportedbyPaintShopPro,GIMP","?"
"PSXTIM","","","",".tim","","",""
"PSXTIM2","SonyPlayStationTim2","Sony","",".tm2,.str","","UsedbyPlayStation2",""
"PXA","","","",".pxa","","UsedbyPixia",""
"QuickTimeImage","","AppleInc.","",".qtif,.qti,.qif","","",""
"Q0","","","",".q0","","",""
"Q4","XLD4","MAJYO","",".q4","","",""
"RAD","","GregoryWardLarson","",".rad","","Radiance",""
"RAF","FujifilmRAW","Fujifilm","",".raf","","",""
"RGB","image/colourmapdatainRGBformat","","",".rgb","","",""
"RGBA","image/colourmapdatainRGBformat,withAlphachannel","","",".rgba","","",""
"RGBE","","GregoryWardLarson","",".hdr","image/vnd.radiance","Radiance,mostHDRimagingsoftware",""
"RHIF","RhapsoftImageFormat","RomainPiveteau","SQLite",".rhif","","LiveQuarzfileformat",""
"R3D","REDREDCODERAW","Red","",".r3d","","",""
"SAI","","SYSTEMAX","",".sai","","SupportedbyPaintToolSAI",""
"SCT","ScitexContinuousTonePicture","","",".sct","","",""
"SDA","","SunMicrosystems","",".sda","","SupportedbyStarOfficeDraw3–5",""
"SDD","","SunMicrosystems","",".sdd","","SupportedbyStarOfficeDraw3–5",""
"SFW","SeattleFileWorksimage","SeattleFileWorks","JPEG(JFIF)",".sfw,.pwp","","JPEG-converterssfwjpgandpwpjpgforUnix/LinuxandWindows",""
"SGB","","SunMicrosystems","",".sgb","","SupportedbyStarOfficeGraphics2",""
"SGI","SiliconGraphicsImage","","",".sgi,.rgb,.rgba,.bw,.int,.inta,.icon","","",""
"ShockwaveDirector","","AdobeSystems","",".dir,.dcr,.dxr,.fgd","application/x-director","UsedbyAdobeShockwave.",""
"SHAPE","DiaStencil","","SVG",".shape","","UsedbyDia.",""
"SK","","","",".sk","","SupportedbySkencil",""
"SketchUpFormat","","","",".skp,.skb","","SupportedbySketchUp",""
"SML","Kiviostencil","","",".sml","","SupportedbyKivio",""
"SRF","SonyRAWFile","Sony","TIFF",".srf,.sr2","","",""
"SUN","Sunrasterfile","SunMicrosystems","",".sun,.ras,.rs,.im1,.im8,.im24,.im32","","SupportedbyGIMP",""
"STX","SBIGCCDcameraST-x","","",".stx,.st4,.st5,.st6,.st7,.st8,.st9","","",""
"SView5Graphics","","AndreasKleinert","",".svg/.sgx","","UsedbySView5-Library/SDK",""
"SVG","ScalableVectorGraphics","WorldWideWebConsortium","XML",".svg,.svgz(compressed)","image/svg+xml","Scriptablevectorimageformat;supportedbymajorwebbrowsers,occasionallyviaplug-in.","No"
"SWF","ShockwaveFlash","AdobeSystems","",".swf","application/x-shockwave-flash","Supportedbymanywebbrowsersviaplug-in.",""
"SXD","OpenOffice.org1.0drawingformat","","",".sxd","","",""
"TGA","TruevisionTarga","TruevisionInc.","",".tga,.tpic","image/tga","Usedbymany3Drenderingapplicationsand3dvideogamesforstoringtextures.","Yes?"
"TIFF","TaggedImageFileFormat","AdobeSystems","",".tiff,.tif","image/tiff","Documentscanningandimagingformat,alsofunctionsasacontainer.","No"
"TIFF/EP","TagImageFileFormat/ElectronicPhotography","InternationalOrganizationforStandardization","TIFF",".tiff,.tif","","",""
"TIFF-FX","TagImageFileFormatFaxeXtended","","TIFF",".tiff,.tif","image/tiff-fx","",""
"TinyStuff","","DavidMumper","",".tny,.tn1,.tn2,.tn3,.tn4,.tn5,tn6","","AnapplicationonAtariST",""
"TLG5","","","",".tlg","","UsedbyKiriKiri",""
"TLG6","","","",".tlg","","UsedbyKiriKiri",""
"UFO","UleadFileforObjects","","",".ufo","","",""
"VML","VectorMarkupLanguage","Microsoft","XML",".htm,.html","application/vnd.openxmlformats-officedocument.vmlDrawing","InternetExplorer,MicrosoftOffice","No"
"WBMP","WirelessApplicationProtocolBitmapFormat","OpenMobileAlliance(formerlyWAPForum)","",".wbmp,.wbm,.wbp","image/vnd.wap.wbmp","UsedinWAP-pages","No"
"WebP","WebPimageformat","Google","",".webp","image/webp","ProvidesanalternativetoJPEG,PNGandGIFwithsuperiorcompression","Yes(royalty-free)"
"WinFax","","Symantec","",".wfx,fxs,fxo","","",""
"WMF","WindowsMetafileFormat","Microsoft","",".wmf,.wmz","","",""
"WordPerfectGraphicsFile","","","",".wpg","","",""
"XAML","ExtensibleApplicationMarkupLanguage","Microsoft","XML",".xaml","application/xaml+xml","UsedbyWindowsPresentationFoundationandMicrosoftSilverlight.","?"
"XAR","Xar","Xara","Xar(graphics)",".xar","application/vnd.xara","UsedbyXaraPhoto&GraphicDesigner","No"
"XBM","XBitMap,colourvariantoforiginalblack-and-whitebitmap(bmp)format","","",".xbm,.bm,.icon,.bitmap","image/x-xbitmap","UsedbymanylegacyUnixapplications.",""
"XCF","XCF,namederivedfromeXperimentalComputingFacility","TheGIMPTeam","",".xcf,.xcfbz2(compressed),.xcfgz(compressed)","application/x-gimp-image","UsedbyGIMP",""
"XPM","X-Pixmap","","",".xpm,.pm","image/x-xpm","UsedbymanylegacyUnixapplications.",""
"X3F","SIGMARAW","SIGMA","",".x3f","","",""
"XWD","xwudX11windowdumper/undumperscreenshotimage","","",".xwd,.x11","","UsedbyXWindowSystem",""
"XYZ","RPGMakerimagefile","ASCII","",".xyz","","RPGMaker","No"
"YCbCr","","","",".ycbcr","","",""
"YCbCrA","","","",".ycbcra","","",""
"YUV","","","",".yuv","","",""
"ZDT","","","",".zdt","","UsedbyTECHWin",""
"Format","Fullname","Owner","basedFormat","Fileextension","MIMEtype","Application","Patented"
