"Family","Country","Manufac.","Payload(kg)","Payload(kg)","Launchesreaching...","Launchesreaching...","Dateofflight","Launchesreaching...","Payload(kg)","Cost(US$,millions)","Launchesreaching...","Status","Dateofflight","Notes","Refs"
"Beta","USAUKR","FireflyAerospace","4,000","--","--","--","0","","","","Devel.","2024","","",""
"BlackArrow","UK","RAEWestland","132","--","--","--","4","3","","","Retired","1969","1971","",""
"Bloostar","ESP","Zero2Infinity","140","--","--","--","0","","","","Devel.","unknown","","",""
"BlueWhale1","ROK","PerigeeAerospace","50(toSSO)","--","--","--","0","","","","Devel.","NET2022","","",""
"Ceres-1","CHN","GalacticEnergy","350","--","--","--","2","2","2","2","Active","2020","","",""
"Cyclone-4M","UKR","YuzhnoyeYuzhmash","5,000","1,000","--","--","0","","","","Devel.","NET2022","","",""
"Delta","USA","Douglas","3,848","1,312","--","--","186","","","","Retired","1960","1989","LaunchedPioneer&Explorerprobes.Var.A,B,C,D,E,G,J,L,M,N,300,900,1X00,4X00,2X00,3X00,5X00",""
"DeltaII","USA","ULA","6,000","2,171","1,508","51","153","152","152","151","Retired","1989","2018","LaunchedMarsprobesMGStoPhoenixVar.:6000,7000,andHeavy.",""
"DeltaIII","USA","Boeing","8,290","3,810","--","--","3","2","2","","Retired","1998","2000","",""
"DeltaIV","USA","ULA","23,040","13,130","9,000","--","42","42","41","41","Active","2002","","Var.:M,M+,andHeavy.",""
"Diamant","FRA","SEREB","","--","--","--","12","","","9","Retired","1965","1975","",""
"Dnepr(R-36M)","UKRRUS","Yuzhmash","3,600","--","750","14","17","","","","Retired","1999","2015","",""
"Electron","NZUSA","RocketLab","225","","","6","24","24","21","21","Active","2017","","",""
"Energia","USSR","NPOEnergia","100,000","20,000","32,000","240(Energia?Buran)","2","2","1","1","Retired","1987","1988","1partialfailurewithPolyusspacecraft,1successfulflightwithBuranshuttle.",""
"Epsilon","JPN","IHICorporation","1,200","--","--","--","5","5","5","5","Active","2013","","",""
"Eris","AUS","GilmourSpaceTechnologies","305","--","--","--","0","","","","Devel.","2022","","",""
"Falcon1","USA","SpaceX","420","--","--","7.9","5","4","2","2","Retired","2006","2009","",""
"Falcon9v1.0,v1.1,FT,Block5","USA","SpaceX","22,800","8,300","--","61.2","145","144","144","143","Active","2010","","Upgradetoversion1.1in2013;upgradetoversionFTin2015LauncherofDragoncapsule.Oneflightputprimarybutnotsecondarypayloadintocorrectorbit,onerocketandpayloadweredestroyedbeforelaunchinpreparationforstaticfireandthusisnotcounted.",""
"FalconHeavy","USA","SpaceX","63,800","26,700","--","90–150","3","3","3","3","Active","2018","","Firsttestlaunch2018-02-06",""
"GSLVMarkI","IND","ISRO","5,000","2,500","--","--","6","4","2","2","Retired","2001","2010","",""
"GSLVMarkII","IND","ISRO","5,000","2,700","--","--","8","7","6","6","Active","2010","","",""
"GSLVMk.III(LVM3)","IND","ISRO","10,000","4,000","4,000","--","3","3","3","3","Active","2014","","",""
"H-I","JPN","Mitsubishi","3,200","","--","--","9","9","","","Retired","1986","1992","License-builtversionoftheThor-ELT",""
"H-II,IIA&IIB","JPN","Mitsubishi","19,000","8,000","--","(190),90,112","61","60","59","58","Active","1994","","Var.:A202,A2022,A2024,A204,B",""
"H3","JPN","Mitsubishi","4,000-28,300(base-heavy)","7,900-14,800(base-heavy)","11,900(heavy)","","0","","","","Devel.","NET2022","","Var.:30S,22S,32L,24L,heavy",""
"Haas","ROM","ARCA","400","","--","--","0","","","","Devel.","unknown","","Launchfromballoon",""
"Hyperbola-1","CHN","i-Space","300","--","--","","3","2","1","1","Active","2019","","",""
"Hyperbola-2","CHN","i-Space","2,000","--","--","","0","","","","Devel.","NET2022","","",""
"J-I","JPN","IHICorporationNissanMotors","880","--","--","--","1","","","","Retired","1996","1996","Partialdemonstrationflightonly",""
"Jielong1","CHN","CALT","200(SSO)","--","--","","1","1","1","1","Active","2019","","",""
"Kaituozhe(DF-31)","CHN","CALT","800","--","--","--","3","1","1","1","Active","2002","","Var.:KT-1,KT-2,KT2-A",""
"Kosmos(R-12&R-14)","USSR","YuzhnoyePolyot","1,500","--","--","12","610","","","559","Retired","1967","2010","Var.:1,2,3,3M",""
"Kuaizhou(DF-21)","CHN","CASIC","400(KZ-1)–1,500(KZ-11)","--","--","--","17","16","14","14","Active","2013","","Var.:KZ-1,KZ-1A,KZ-11,KZ-21.AsofJuly2020,KZ-21istheonlyunflownvariant.",""
"Lambda4S","JPN","NissanISAS","","--","--","--","5","","","1","Retired","1966","1970","",""
"LauncherOne","USA","VirginOrbit","300(SSO)","--","--","--","4","3","3","3","Active","2020","","",""
"LongMarch1","CHN","CALT","300","--","--","--","2","2","2","2","Retired","1970","1971","",""
"LongMarch1D","CHN","CALT","740","--","--","--","0","","","","Retired","1995","2002","3suborbitallaunchesonly(2successful.)",""
"LongMarch2-3-4(DF-5)","CHN","CALT","12,000","5,500","3,300","","374","368","365","358","Active","1971","Seenotes","Var.:2A,2C,2D,2E,2F,3,3A,3B,3B/E,3C,4A,4B,4C.Seeforretiredvar.amongthoselistedhere.",""
"LongMarch5","CHN","CALT","25,000","14,000","8,000","--","7","7","6","6","Active","2016","","Var.:5,5B,5[crewed],5DY(seebelow)",""
"LongMarch5","CHN","CALT","14,000(reusable1-core);18,000(expendable1-core)","--","27,000(3-core)","--","0","","","","Devel.","2026","","CZ-5[crewed](single-corecrewedLEOvariant);CZ-5DY(crewed3-corevariantforlunarmissions)",""
"LongMarch6","CHN","CALT","1,500","--","--","--","8","8","8","8","Active","2015","","Var.:6,6A",""
"LongMarch7","CHN","CALT","13,500","5,500-7,000(7Avar.)","--","--","7","6","6","6","Active","2016","","Var.:7,7A",""
"LongMarch8","CHN","CALT","4,500(SSO)","--","--","--","2","2","2","2","Active","2020","","Var.:8,8A(expendable);8R(VTVL)",""
"LongMarch9","CHN","CALT","140,000","--","50,000","--","0","","","","Devel.","2030","","Super-Heavycarrier",""
"LongMarch11","CHN","CALT","700","--","--","--","11","11","11","11","Active","2015","","LikelybasedonDF-31missile",""
"MinotaurI","USA","OrbitalATK","580","--","--","--","12","12","12","12","Active","2000","","DerivedfromtheMinutemanII",""
"MinotaurIV&V","USA","OrbitalATK","1,735","640","447","50","8","8","8","8","Active","2010","","Also2suborbitallaunches(HTV-2a).Var.:IV,IVLite,IVHAPS,V.DerivedfromPeacekeepermissile",""
"Miura5","ESP","PLDSpace","300","--","--","","0","","","","Devel.","NET2022","","",""
"Mu1-3-4","JPN","NissanMotorIHI","770","--","--","--","27","","","","Retired","1966","1995","Var.:1,3D,4S,3C,3H,3S,3SII",""
"Mu5","JPN","NissanMotorIHI","1,800","--","--","--","7","","","6","Retired","1997","2006","Var.:M-V,M-VKM",""
"N1","USSR","NPOEnergia","90,000","--","23,500","--","4","0","0","0","Retired","1969","1972","DesignedforSovietMannedLunarMission",""
"N-I&II","JPN","Mitsubishi","2,000","730","--","--","15","15","15","14","Retired","1975","1987","DerivedfromtheAmericanDeltarocket",""
"Naro","ROK","KhrunichevKARI","100","--","--","--","3","2","1","1","Retired","2009","2013","FirststageusestheRussianRD-151engine",""
"Neutron","NZUSA","RocketLab","15,000","--","--","--","0","","","","Devel.","2024","","",""
"NewGlenn","USA","BlueOrigin","45,000","13,000","--","","0","","","","Devel.","NET2022","","",""
"NewLine","CHN","LinkSpace","200(SSO)","--","--","","0","","","","Devel.","NET2022","","",""
"Nuri","ROK","KARI","1,500","--","--","","1","1","0","0","Active","2021","","",""
"OS-M","CHN","OneSpace","205(M1)","--","--","--","1","0","0","0","Active","2019","","Var.:M1,M2,M4.SingleM1failedlaunch;M2&M4indevelopment.",""
"Pallas-1","CHN","GalacticEnergy","5,0003,000(SSO)","--","--","--","0","","","","Devel.","2022/2023","","reusable",""
"Pegasus","USA","OrbitalATK","450","--","--","--","45","44","42","40","Active","1990","","",""
"Prime","UK","Orbex","150(SSO)","--","--","--","0","","","","Devel.","2022","","",""
"Proton(UR-500)","USSRRUS","Khrunichev","23,000","6,920","5,680","65(Proton-M)","426","","","378","Active","1965","","Var.:K,M,Mediumindevelopment.",""
"PSLV","IND","ISRO","3,800","1,200","--","--","54","53","52","51","Active","1993","","Var.:CA,XL,QL,DLLaunchedmoonprobeChandrayaanI,MarsprobeMangalyaanI",""
"Qased","IRN","IRGC","10","--","--","--","2","2","2","2","Active","2020","","",""
"RFAOne","Germany","RocketFactoryAugsburg","1300","450","0","-","0","","","","Devel.","NET2022","","1ststagecombustioninEurope,OrbitalStage.",""
"Rokot/Strela(UR-100N)","RUS","EurockotKhrunichev","2,100","--","--","--","37","36","35","35","Active","1994","","34Rokotlaunches(nolaunchespost-2019duetoUkrainiantechban);3Strelalaunches.",""
"RS1","USA","ABLSpaceSystems","1,200","--","--","12","0","","","","Devel.","NET2022","","",""
"Safir","IRN","ISA","50","--","--","--","8","5","4","4","Retired","2007","2019","Numbersgivenheremaybeindispute",""
"SaturnI&IB","USA","ChryslerDouglas","18,600","--","--","19","13","13","13","13","Retired","1961","1975","Saturn1familyalsoincluded6suborbitaltestlaunches",""
"SaturnV","USA","BoeingNorthAmericanDouglas","118,000","--","47,000","185","13","13","13","","Retired","1967","1973","Var.:Apollo,Skylab",""
"Scout","USA","USAirForceNASA","210","--","--","--","125","104","","","Retired","1960","1994","Var.:X1,X2,A,D,G",""
"Shavit","ISR","IAI","225","--","--","15","11","9","9","9","Active","1988","","Var.:Shavit,-1,-2",""
"Shtil'/Volna-O(R-29)","RUS","Makeyev","430","--","--","--","8","7","2","2","Retired(ascommerciallaunchers)","1995","2006","Var.:Volna,Shtil,2.1,2R,3",""
"Simorgh","IRN","ISA","350","--","--","--","4","4","0","0","Active","2016","","",""
"SLS","USA","OrbitalATKBoeingUnitedLaunchAllianceAerojetRocketdyne","95,000–130,000","--","--","--","0","","","","Devel.","NET2022","","",""
"SLV","IND","ISRO","40","--","--","--","4","3","3","2","Retired","1979","1983","LaunchedRohinisatelliteseries",""
"Soyuz(R-7Semyorka)","USSRRUS","RSCEnergiaTsSKB-Progress","8,200","2,400","1,200","--","1,949","","","1,830","Active","1957","","Var.:Sputnik,Luna,Vostok-L,Vostok-K,Voskhod,Molniya,Molniya-L,Molniya-M,Polyot,Soyuz,Soyuz-L,Soyuz-M,Soyuz-U,Soyuz-FG,Soyuz-2,Soyuz-2-1v",""
"SS-520","JPN","IHIAerospace","4","--","--","--","2","2","1","1","Active","2017","","2successfulsuborbitalflightsand2orbitalflights(onesuccess).Atestofhowsmallorbitalrocketscanbe.Therockethasamassofonly2.6tonnes.",""
"SSLV","IND","ISRO","500","300","--","--","0","","","","Devel.","NET2022","","AsofDecember2019,designoftherockethasbeencompletedandfirstdevelopmentalflightistotakeplaceinearly2020.",""
"STS(SpaceShuttle)","USA","AlliantMartinMariettaRockwell","24,400","3,810","--","450","135","134","134","133","Retired","1981","2011","Orbitermass:68585kg.",""
"Starship","USA","SpaceX","150,000","40,000","100,000+","--","0","","","","Devel.","NET2022","","PreviouslycalledBFR",""
"Start-1(RT-2PM)","RUS","MITT","532","--","--","--","7","6","6","6","Active","1993","","",""
"Taurus/Minotaur-C","USA","OrbitalSciences","1,450","--","--","--","9","9","6","6","Active","1989","","Var.:2110,3110,3210",""
"Terran1","USA","RelativitySpace","1,250","--","--","","0","","","","Devel.","NET2022","","anticipates3-Dprintingmostrocketparts",""
"Thor","USA","Douglas","1,270","--","38","--","357","","","","Retired","1957","1980","LaunchedPioneer&Explorerprobes",""
"TitanII-(IIGLV)-III-IV(LGM-25C)","USA","MartinMarietta","21,900","5,773","8,600","350","369","","","","Retired","1959","2005","Var.:I,II,IIIA,IIIB,IIIC,IIID,IIIE,34D,IVA,IVBGeminilauncher",""
"Tsyklon(R-36)","USSRUKR","Yuzhmash","4,100","--","--","--","259","","","","Retired","1967","2009","Var.:1,2,3.",""
"ULV","IND","ISRO","4,500–41,300","1,500–16,300","--","--","0","","","","Devel.","unknown","","Var.:6S12,2S60,2S138,2S200",""
"Unha-3","DPRK","KCST","200","--","--","--","4","3","2","","Active","2006","","Var.:PaektusanbasedonTaepodong-1missile;UnhabasedonTaepodong-2missile.",""
"Vanguard","USA","Martin","23","--","--","--","12","","3","","Retired","1957","1959","",""
"Vega","EU","Avio","2,300","--","--","23","20","19","18","18","Active","2012","","Vega-CandVega-Eindevelopment.",""
"Yenisei","RUS","TsSKB-ProgressRSCEnergia","88,000-115000","","20,000-27,000","","0","","","","Devel.","2028","","",""
"Vikram","IND","SkyrootAerospace","?{\displaystyle\leq}720","--","--","","0","","","","Devel.","NET2022","","Var.:Vikram1,VikramII,VikramIII",""
"VLM","BRA","CTA","150","--","--","--","0","","","","Devel.","2022","","",""
"Vulcan","USA","ULA","17,800–34,900","7,400–16,300","--","99","0","","","","Devel.","NET2022","","",""
"Zenit","USSRUKRRUS","Yuzhnoye","13,740","6,160","4,098","--","84","","74","72","Active","1985","","Var.:2,2M(2SB,2SLB),3SL,3SLB,3SLBF",""
"Zero","JPN","InterstellarTechnologies","100(SSO)","--","--","","0","","","","Devel.","2022-2023","","",""
"Zhuque-1","CHN","LandSpace","300","--","--","","1","1","0","0","Retired","2018","2018","",""
"Zhuque-2","CHN","LandSpace","4,000","--","--","","0","","","","Devel.","NET2022","","",""
"Zuljanah","IRN","ISA","220","","","","1","1","0","0","Devel.","NET2022","","",""
