"Language","GoogleTranslate","MicrosoftTranslator","YandexTranslate","AmazonTranslate","IBMWatson"
"Hungarian","Yes","Yes","Yes","Yes","Yes"
"Icelandic","Yes","Yes","Yes","Yes","No"
"Igbo","Yes","No","No","No","No"
"Indonesian","Yes","Yes","Yes","Yes","Yes"
"Inuinnaqtun","No","Yes","No","No","No"
"Inuktitut","No","Yes","No","No","No"
"Irish","Yes","Yes","Yes","Yes","Yes"
"Italian","Yes","Yes","Yes","Yes","Yes"
"Japanese","Yes","Yes","Yes","Yes","Yes"
"Javanese","Yes","No","Yes","No","No"
"Kannada","Yes","Yes","Yes","Yes","No"
"Kazakh","Yes","Yes","Yes","Yes","No"
"Khmer","Yes","Yes","Yes","No","No"
"Kinyarwanda","Yes","No","No","No","No"
"Klingon","No","Yes","No","No","No"
"Korean","Yes","Yes","Yes","Yes","Yes"
"Kurdish(Kurmanji)","Yes","Yes","No","No","No"
"Kurdish(Sorani)","No","Yes","No","No","No"
"Kyrgyz","Yes","Yes","Yes","No","No"
"Lao","Yes","Yes","Yes","No","No"
"Latin","Yes","No","Yes","No","No"
"Latvian","Yes","Yes","Yes","Yes","Yes"
"Lithuanian","Yes","Yes","Yes","Yes","Yes"
"Luxembourgish","Yes","No","Yes","No","No"
"Macedonian","Yes","Yes","Yes","Yes","No"
"Malagasy","Yes","Yes","Yes","No","No"
"Malay","Yes","Yes","Yes","Yes","Yes"
"Malayalam","Yes","Yes","Yes","Yes","Yes"
"Maltese","Yes","Yes","Yes","Yes","Yes"
"M?ori","Yes","Yes","Yes","No","No"
"Marathi","Yes","Yes","Yes","Yes","No"
"MeadowMari","No","No","Yes","No","No"
"Mongolian","Yes","Yes","Yes","Yes","No"
"Montenegrin","No","No","No","No","Yes"
"Nepali","Yes","Yes","Yes","No","Yes"
"Norwegian(Bokmål)","Yes","Yes","Yes","Yes","Yes"
"Odia(Oriya)","Yes","Yes","No","No","No"
"Papiamento","No","No","Yes","No","No"
"Pashto","Yes","Yes","No","Yes","No"
"Persian","Yes","Yes","Yes","Yes","No"
"Polish","Yes","Yes","Yes","Yes","Yes"
"Portuguese","Yes","Yes","Yes","Yes","Yes"
"Portuguese(Brazil)","No","Yes","No","No","No"
"Punjabi","Yes","Yes","Yes","Yes","No"
"QueretaroOtomi","No","Yes","No","No","No"
"Romanian","Yes","Yes","Yes","Yes","Yes"
"Russian","Yes","Yes","Yes","Yes","Yes"
"Samoan","Yes","Yes","No","No","No"
"ScottishGaelic","Yes","No","Yes","No","No"
"Serbian","Yes","Yes","Yes","Yes","Yes"
"Shona","Yes","No","No","No","No"
"Sindhi","Yes","No","No","No","No"
"Sinhala(Sinhalese)","Yes","No","Yes","Yes","Yes"
"Slovak","Yes","Yes","Yes","Yes","Yes"
"Slovene","Yes","Yes","Yes","Yes","Yes"
"Somali","Yes","Yes","No","Yes","No"
"Sotho","Yes","No","No","No","No"
"Spanish","Yes","Yes","Yes","Yes","Yes"
"Spanish(Mexico)","No","No","No","Yes","No"
"Sundanese","Yes","No","Yes","No","No"
"Swahili","Yes","Yes","Yes","Yes","No"
"Swedish","Yes","Yes","Yes","Yes","Yes"
"Tagalog(Filipino)","Yes","Yes","Yes","Yes","No"
"Tahitian","No","Yes","No","No","No"
"Tajik","Yes","No","Yes","No","No"
"Tamil","Yes","Yes","Yes","Yes","Yes"
"Tatar","Yes","Yes","Yes","No","No"
"Telugu","Yes","Yes","Yes","Yes","Yes"
"Thai","Yes","Yes","Yes","Yes","Yes"
"Tibetan","No","Yes","No","No","No"
"Tigrinya","No","Yes","No","No","No"
"Tongan","No","Yes","No","No","No"
"Turkish","Yes","Yes","Yes","Yes","Yes"
"Turkmen","Yes","Yes","No","No","No"
"Udmurt","No","No","Yes","No","No"
"Ukrainian","Yes","Yes","Yes","Yes","Yes"
"UpperSorbian","No","Yes","No","No","No"
"Urdu","Yes","Yes","Yes","Yes","Yes"
"Uyghur","Yes","Yes","No","No","No"
"Uzbek","Yes","Yes","Yes","Yes","No"
"Vietnamese","Yes","Yes","Yes","Yes","Yes"
"Welsh","Yes","Yes","Yes","Yes","Yes"
"WestFrisian","Yes","No","No","No","No"
"Xhosa","Yes","No","Yes","No","No"
"Yakut","No","No","Yes","No","No"
"Yiddish","Yes","No","Yes","No","No"
"Yoruba","Yes","No","No","No","No"
"YucatecMaya","No","Yes","No","No","No"
"Zulu","Yes","No","Yes","No","No"
"Total(confirmed)","109","103","97","74","54"
