"Afrikaans","Dutch","English"
"hysbak","lift","lift,elevator"
"inskrywing","abonnement,inschrijving","subscription"
"jol","leukheid","fun,party"
"Julie","juli","July"
"Junie","juni","June"
"kaartjie","kaartje,ticket","ticket"
"kameelperd","giraffekameelpaardandkameelpardelconsideredarchaic","giraffe"
"kampanje","campagnesimilarpronunciation","campaign"
"Kanada","Canada","Canada"
"Kersfees","Kerstmis(Catholic)Kerstfeest(Protestant)","Christmas"
"kitsbank","geldautomaat,bankautomaat","cashmachine,ATM"
"koerant","krantcourantolderterm","newspaper"
"kombuis","keukenkombuismeans""galley""","kitchen"
"konserwatief","conservatief","conservative"
"kopiereg","copyright,auteursrecht","copyright"
"landdros","magistraat","magistrate"
"lê","leggen,liggen","lie,lay"
"leër","landmacht,leger","army"
"lemmetjie","limoenlemmetje(Suriname)","lime"
"lemoen","sinaasappel(Netherlands)appelsien(Belgium)","orange"
"LidvanParlement(LP)","parlementslid,kamerlid","MemberofParliament(MP)"
"lirieke","songtekst","lyrics"
"lokprent","trailer","filmtrailer"
"lugmag","luchtmacht","airforce"
"lughawe","luchthaven,vliegveld","airport"
"lugpos","luchtpost","airmail"
"lugredery","luchtvaartmaatschappij","airline"
"lugwaardin","stewardessluchtwaardinolderBelgianpurism","airhostessairstewardess"
"maalvleis","gehakt","mincemeat"
"maloor","gekop","madabout"
"masjienkap","motorkap","bonnet(UK)hood(US)"
"meisie","meisje,meid","girl"
"mekaar","elkaarmekaardialectal","eachother"
"melkskommel","milkshake","milkshake"
"moffie(UsageWarning:moffieisconsideredahomophobicslur,comparableto""faggot"")","homo","gay,effeminateman"
"moltrein","metro","metro,subwaytrain"
"moontlik","mogelijk","possible"
"muurpapier","behang","wallpaper"
"na","naar","to"
"ná","na","after"
"naby","dichtbij,nabij","closeto"
"naweek","weekendweekeindesometimesused","weekend"
"nie","niet","not"
"niggie","nichtje","niece"
"Nieu-Seeland","Nieuw-Zeeland","NewZealand"
"nuus","nieuws","news"
"nuusblad,nuustydskrif","opinieblad,nieuwsblad","newsmagazine,newsletter"
"onderskrifte","ondertitels","subtitles"
"oomblik","moment,ogenblik","moment"
"oopmaak,maakoop","openen,openmaken","toopen"
"oorklanking","nasynchronisatie","dubbing"
"oorspronklik","origineeloorspronkelijkusedonlyinrelationtotheoriginorbeginning","original"
"oos","oost","east"
"openbaremaatskappy","naamlozevennootschap(NV)","publiclimitedcompany(PLC)"
"ou,outjie","kerel,gozer","guy,bloke"
"outomaties","automatisch","automatic"
"padda","kikkerpadmeans""toad""","frog"
"passasier","passagier","passenger"
"perd","paard","horse"
"peuselhappie","snack,tussendoortje","snacks"
"piesang","banaanpisanglesscommonterm","banana"
"pikkewyn","pinguïn,vetgans","penguin"
"polisiebeampte","politieagentpolitiebeambteusedformally","policeofficer"
"polisiestasie,polisiekantoor","politiebureaupolitiekantoorrareterm","policestation"
"posbus","postbus","postofficebox"
"poskantoor","postkantoor","postoffice"
"posman,posbode","postbode","postman"
"prokureur","advocaat","attorney,solicitor,lawyer"
"pynappel","ananaspijnappelolderterm,nowmeans""pinecone""","pineapple"
"ratel","honingdasratelconsideredarchaic","honeybadger"
"reisagent,reisagentskap","reisbureau(Netherlands)reisagentschap(Belgium)","travelagent,travelagency"
"rekenaar","computerrekentuigpurism,considereddated","computer"
"renoster","neushoornrenosterconsideredarchaic","rhinoceros"
"rolprent","filmrolprentconsidereddated","film"
"rubriekskrywer","columnist","newspapercolumnist"
"sakrekenaar","rekenmachine,zakrekenmachine,calculator","calculator"
"sambreel","paraplusombreelmeans""parasol""","umbrella"
"sampioen","champignon","mushroom"
"saans","'savonds'","intheevening"
"sê","zeggen","say"
"seekoei","nijlpaardzeekoeolderterm,nowmeans""seacow"""
"selfoon","mobieletelefoon,mobieltje(Netherlands)GSM(Belgium)cellulair,cell(Suriname)","mobilephone(UK)cellphone(US,SouthAfrica)"
"sent","cent","cent"
"seuntjie","jongenzoontjemeans""(small)son""","boy,youngman"
"sinies","cynisch","cynical"
"sinkplaat","golfplaat","corrugatediron"
"sjokolade","chocolade","chocolate"
"skadu,skaduwee","schaduw,schaduwbeeld","shadow"
"skakel","bellenschakelenmeans""tochangegear""","dial,call(telephonenumber)"
"skeelhoofpyn","migraine","migraine"
"skootrekenaar","laptopschootcomputersometimesused","laptop"
"skurf","ruwschurftmeans""scabies""","rough"
"slagoffer","slachtoffer","victim"
"slaptjips","frieten","frenchfries,chips"
"snippermandjie","prullenmand","wastepaperbasket"
"soet","zoet","sweet"
"sokker","voetbal","football,soccer"
"soos","als,zoals","like,suchas"
"spinnekop","spinspinnenkopsometimesused","spider"
"spoed","snelheid","speed"
"staatsdiens","civieledienst(Netherlands)overheidsdienst(Belgium)","civilservice,publicservice"
"stasie","stationstatieolderterm","station"
"Statebond","GemenebestvanNatiesstatenbondsometimesusedfor""confederation""","CommonwealthofNations"
"stasiewa","stationwagen","stationwagon,estate"
"streek","streek,gewest,regio","region"
"stuurwiel","stuur","steeringwheel"
"suid","zuid","south"
"suiwer","zuiver","clean"
"suurlemoen","citroen","lemon"
"sypaadjie","stoep,trottoir,voetpad","pavement(UK),sidewalk(US)"
"tjek","cheque","cheque,check"
"toeter","toeter,claxon","hooter(UK),horn(US)"
"troeteldier","huisdier","pet(animal)"
"tuisblad","homepagina,thuispagina","homepage"
"uitgawe","editie,uitgaveuitgavencanalsomean""expenditure""","edition,version"
"uitsaai","omroep,uitzendinguitzaaiingmeans""metastasis""","broadcasting"
"uurglas","zandloper","hourglass"
"van","achternaam,van","surname"
"vanaand","vanavond","thisevening"
"vanmôre","vanmorgen","thismorning"
"vat","pakken","seize,clutch"
"verkleurmannetjie(alsotrapsoetjies,trapsuutjies)","kameleonverkleurmannetjeconsideredarchaic","chameleon"
"vir","voor","for"
"vlak,peil","niveau,peil","level"
"vlugbeampte,vlugkelner","steward","airsteward,flightattendant"
"voetsek!(voertsêek!)","verdwijn!","getlost!awaywithyou!"
"vrieskas","vrieskist,diepvries,diepvriezer,vrieskast","freezer"
"vulstasie","tankstation","fillingstation,petrolstation,servicestation"
"vuurhoutjie","lucifervuurhoutjeconsidereddated","match,light"
"wa","wagen","wagon"
"wasbak","wasbak,wastafel","washbasin,sink"
"wat","welke,wie","which,who"
"webwerf","websitewebstekpurism","website"
"weermag","krijgsmachtweermachtsometimesused","defenceforce,armedforces"
"wêreldwyd","wereldwijd","worldwide"
"wees","zijnwezensometimesusedinformally","tobe"
"wes","west","west"
"woonstel","appartement,flat","apartment,flat"
"yskas","ijskast,koelkast","refrigerator"
"Ysland","IJsland","Iceland"
"yster","ijzer","iron"
