"EthereumRecursiveLengthPrefix(RLP)","Ethereum","N/A","No","Specification","Yes","No","No","No","Erlang,Go,Java,Javascript,Kotlin,Objective-C,Python,Swift,PHP","Yes"
"S-expressions","JohnMcCarthy(original)RonRivest(internetdraft)","Lisp,Netstrings","Largelydefacto","""S-Expressions""InternetDraft","Yes,canonicalrepresentation","Yes,advancedtransportrepresentation","No","No","","N/A"
"Smile","TatuSaloranta","JSON","No","SmileFormatSpecification","Yes","No","Yes","Partial(JSONSchemaProposal,otherJSONschemas/IDLs)","Partial(viaJSONAPIsimplementedwithSmilebackend,onJackson,Python)","N/A"
"SOAP","W3C","XML","Yes","W3CRecommendations:SOAP/1.1SOAP/1.2","Partial(EfficientXMLInterchange,BinaryXML,FastInfoset,MTOM,XSDbase64data)","Yes","Built-inid/ref,XPointer,XPath","WSDL,XMLschema","DOM,SAX,XQuery,XPath","N/A"
"StructuredDataeXchangeFormats","MaxWildgrube","N/A","Yes","RFC3072","Yes","No","No","No","","N/A"
"ApacheThrift","Facebook(creator)Apache(maintainer)","N/A","No","Originalwhitepaper","Yes","Partial","No","Built-in","C++,Java,Python,PHP,Ruby,Erlang,Perl,Haskell,C#,Cocoa,JavaScript,Node.js,Smalltalk,OCaml,Delphiandotherlanguages","N/A"
"UBJSON","TheBuzzMedia,LLC","JSON,BSON","No","ubjson.org","Yes","No","No","No","No","N/A"
"eXternalDataRepresentation(XDR)","SunMicrosystems(creator)IETF(maintainer)","N/A","Yes","STD67/RFC4506","Yes","No","Yes","Yes","Yes","N/A"
"XML","W3C","SGML","Yes","W3CRecommendations:1.0(FifthEdition)1.1(SecondEdition)","Partial(EfficientXMLInterchange,BinaryXML,FastInfoset,XSDbase64data)","Yes","XPointer,XPath","XMLschema,RELAXNG","DOM,SAX,XQuery,XPath","N/A"
"XML-RPC","DaveWiner","XML","No","XML-RPCSpecification","No","Yes","No","No","No","No"
"YAML","ClarkEvans,IngydötNet,andOrenBen-Kiki","C,Java,Perl,Python,Ruby,Email,HTML,MIME,URI,XML,SAX,SOAP,JSON","No","Version1.2","No","Yes","Yes","Partial(Kwalify,Rx,built-inlanguagetype-defs)","No","No"
"Name","Creator-maintainer","Basedon","Standardized?","Specification","Binary?","Human-readable?","Supportsreferences?","Schema-IDL?","StandardAPIs","Supportszero-copyoperations"
