"Mailserver","SMTPAUTH","POPbeforeSMTP","APOP","FileSystem","Database","LDAP","NativeAntiHammer-Brute-forceattackprotection","Other"
"GordanoMessagingSuite","Yes","Yes","Yes","No","Yes","Yes","?","PLAIN,LOGIN,CRAM-MD5,DIGEST-MD5,APOP,ODBC,ActiveDirectory,NTDomain"
"GroupWise","Yes","Yes","Yes","Yes","Yes","Yes","?","eDirectory,AnyLDAPv3-compliantsource"
"Halon","Yes","No","No","Yes","Yes","Yes","?","Manymechanism(SMTPcallout,DovecotSASL,REST,etc.)viascript."
"Haraka","Yes","No","No","Yes","Yes","Yes","?","Proxytootherserver,anyothermechanismviaAUTHplugins."
"IceWarpMailServer","Yes","Yes","Yes","Yes","Yes","Yes","?","PLAIN,LOGIN,CRAM-MD5,NTLM"
"IpswitchIMailServer","Yes","No","Yes","Yes","Yes","Yes","Yes","ActiveDirectory,Windowsauthentication,CRAM-MD5,PLAIN,LOGIN"
"Kolab","Yes","Yes","Yes","Yes","Yes","Yes","?","KolabemploysCyrusandPostfixandthussupportsallCyrusSASLauthenticationmethodsandX.509PKIauthviaSTARTTLSandEXTERNAL."
"Mailsite","Yes","No","Yes","Yes","Yes","Yes","?","NTDomain,ActiveDirectory,PLAIN,LOGIN,NTLM,SCRAM-MD5,CRAM-MD5"
"Mailtraq","Yes","Yes","Yes","Yes","Yes","Yes","?","NTDomain,ActiveDirectory,LocalDirectory"
"MDaemon","Yes","No","Yes","No","No","Yes","Yes",""
"MercuryMailTransportSystem","Yes","Yes","Yes","Yes","No","?","?","Internal,LOGIN,PLAIN,CRAM-MD5,Netware,LDAP?,partialNTDomain"
"MicrosoftExchangeServer","Yes","?","Yes","No","No","Yes","Yes","ActiveDirectory,LOGIN,NTLM"
"NetMail","Yes","Yes","Yes","Yes","Yes","Yes","?","eDirectory,LDAP"
"OracleCommunicationsMessagingServer","Yes","Yes","Yes","Yes","Yes","Yes","?","Plain,Login,CRAM-MD5,DIGEST-MD5,Certificate"
"OpenSMTPD","Yes","No","No","Yes","Yes","Yes","?","BydefaultPLAINandLOGINoverSSLonly,Certificates,bsd_authandPAM.Supportsaddingnewauthenticationmechanismsthroughcustombackends."
"Postfix","Yes","No","No","Yes","Yes","Yes","Yes","SupportsallCyrusSASLauthenticationmethodsexceptforAPOP."
"Qpopper","No","Yes","Yes","Yes","Yes","Yes","?","PluggableAuthenticationModules,GSSAPI,CRAM-MD5,DIGEST-MD5,APOP,PLAIN,LDAP,CMUSASLlibrary,Kerberos"
"qmail","withpatch","withvpopmail","Yes","Yes","Yes","Yes","?","Workswithanycheckpasswordutility.TheoriginalsupportsonlyLOGINandPLAIN.AlternatecheckpasswordutilitiessupportauthenticationagainstPAM,LDAP,anddatabases."
"Scalix","Yes","?","Yes","Yes","Yes","Yes","?","Internal,LOGIN,PLAIN,X.500(DAP),LDAP,OpenLDAP,ActiveDirectory,eDirectory,Kerberos,etc."
"Sendmail","Yes","Yes","No","Yes","Yes","Yes","?","SupportsallCyrusSASLauthenticationmethodsexceptforAPOP.AlsosupportsX.509PKIauthviaSTARTTLSandEXTERNAL."
"WinGate","Yes","Yes","Yes","Yes","Yes","No","?","NTDomain,ActiveDirectory,CRAM-MD5,SASLPLAIN,SASLLOGIN"
"Zarafa","Yes","No","No","Yes","Yes","Yes","?","PLAIN,LOGINusinginternalbackends:Internal,ActiveDirectory,anyLDAP-compatiblesource,Unix"
"Zentyal","Yes","Yes","Yes","Yes","Yes","Yes","?","ActiveDirectoryusingDovecotSASLmechanisms"
"Zimbra","Yes","No","Yes","Yes","Yes","Yes","?","Internal,LDAP,OpenLDAP,ActiveDirectory"
"Mailserver","SMTPAUTH","POPbeforeSMTP","APOP","FileSystem","Database","LDAP","NativeAntiHammer-Brute-forceattackprotection","Other"
