"Hercules","RogerBowler","Any","z/Architecture","Windows,FreeBSD,NetBSD,Linux,macOS","LinuxonIBMZ,z/OS,z/VM,z/VSE,OS/360,DOS/360,DOS/VS,MVS,VM/370,TSS/370","QPL"
"Hyper-V(2008)","Microsoft","x86-64withIntelVT-xorAMD-V","x86-64,x86(upto8physicalCPUs)","WindowsServer2008(R2)w/Hyper-Vrole,MicrosoftHyper-VServer","SupporteddriversforWindows2000,Windows2003,Windows2008,WindowsXP,WindowsVista,FreeBSD,Linux(SUSE10released,moreannounced)","Proprietary"
"Hyper-V(2012)","Microsoft","x86-64withIntelVT-xorAMD-V,ARMv8","x86-64,(upto64physicalCPUs),ARMv8","Windows8,8.1,10,andWindowsServer2012(R2)w/Hyper-Vrole,MicrosoftHyper-VServer","SupporteddriversforWindowsNT,FreeBSD,Linux(SUSE10,RHEL6,CentOS6)","Proprietary.ComponentofvariousWindowseditions."
"iCoreVirtualAccounts","iCoreSoftware","x86","x86","WindowsXP","WindowsXP","Proprietary"
"INTEGRITY","GreenHillsSoftware","ARM,x86,PowerPC","Sameashost","Linux,Windows","INTEGRITYnative,Linux,Android,AUTOSAR,Windows(onsomeplatforms)","Proprietary"
"IntegrityVirtualMachines","Hewlett-Packard","IA-64","IA-64","HP-UX","HP-UX,Windows,Linux(OpenVMSannounced)","Proprietary"
"JPC(VirtualMachine)","OxfordUniversity","AnyrunningtheJavaVirtualMachine","x86","JavaVirtualMachine","DOS,Linux,Windowsupto3.0","GPLversion2"
"KVM","Qumranet,nowRedHat","x86,x86-64,IA-64,withx86virtualization,s390,PowerPC,ARM","Sameashost","Linux,FreeBSD,illumos","FreeBSD,Linux,Solaris,Windows,Plan9","GPLversion2"
"Linux-VServer","Communityproject","x86,x86-64,IA-64,Alpha,PowerPC64,PA-RISC64,SPARC64,ARM,S/390,SH/66,MIPS","Compatible","Linux","Linuxvariants","GPLversion2"
"LynxSecure","LynuxWorks","x86","x86","NohostOS","LynxOS,Linux,Windows","Proprietary"
"LXC","Communityproject,CanonicalLtd.","x86,x86-64,IA-64,PowerPC64,SPARC64,Itanium,ARM","Sameashost","Linux","Linuxvariants","GPLversion2"
"OKL4Microvisor","OpenKernelLabs,acquiredbyGeneralDynamicsCorporation","ARM,x86,MIPS","ARM(v5,v6,v7,v8;paravirtualization),ARMv7VE(hardwarevirtualization)","NoHostOS","VariousOSesandRTOSesincludingLinux,Android,QNX","Proprietary"
"OpenVZ","Communityproject,supportedbySWsoft,nowParallels,Inc.","x86,x86-64,IA-64,PowerPC64,SPARC64","Sameashost","Linux","sameashost(sharedLinuxkernel),choiceofuserlanddistribution","GPL"
"OracleVMServerforx86","OracleCorporation","x86,x86-64","x86,x86-64","NohostOS","MicrosoftWindows,OracleLinux,RedHatEnterpriseLinux,Solaris","GPLv2,OracleVMServer;Managerisproprietary"
"OVPsim","OVP","x86","OR1K,MIPS32,ARC600/700,ARM;andpublicAPIwhichenablesuserstowritecustomprocessormodels,RISC,CISC,DSP,VLIWallpossible","MicrosoftWindows,Linux","Dependsontargetmachine,forexampleincludesMIPSMaltathatrunsLinuxorSMP-Linux;andincludespublicAPIwhichenablesuserstowritecustomperipheralandsystemmodels","Proprietary,Apache2.0formodels"
"ParallelsDesktopforMac","Parallels,Inc.","x86","x86,x86-64","macOS","DOS,Windows,Linux,macOS,FreeBSD,OS/2,eComStation,Solaris,Haiku","Proprietary"
"ParallelsWorkstation(discontinued2013)","Parallels,Inc.","x86","x86","Windows,Linux","Windows,Linux,FreeBSD,OS/2,eComStation,DOS,Solaris,Haiku","Proprietary"
"PearPC","SebastianBiallas","x86,x86-64,PowerPC","PowerPC","Windows,Linux,OSX,FreeBSD,NetBSD","MacOSX,Darwin,Linux","GPL"
"PikeOS","SYSGOAG","PowerPC,x86,ARM,MIPS,SPARC,SuperH","Sameashost","NohostOS,LinuxorWindowsasdev.hosts","PikeOSnative,Linux,POSIX,AUTOSAR,Android,RTEMS,OSEK,ARINC653APEX,ITRON","Proprietary"
"ProxmoxVE","Proxmox","x86-64","x86,x86-64","DebianBased","Windows,Linux,Linuxvariants,Solaris,FreeBSD,OSx86(asFreeBSD),virtualappliances,Netware,OS/2,SCO,BeOS,Haiku,Darwin","AGPLv3"
"OracleVMServerforSPARC(LDoms)","OracleCorporation","UltraSPARCT1,UltraSPARCT2,UltraSPARCT2+,SPARCT3,SPARCT4","Compatible","Solaris10,Solaris11","Oraclesupport:Solaris;unsupported:Linux,FreeBSD","Proprietary"
"PowerVM","IBM","POWER4,POWER5,POWER6,POWER7,POWER8","POWER4/5/6/7/8,x86(PowerVM-Lx86)","PowerVMFirmware","LinuxPowerPC,x86;AIX,IBMi","Proprietary"
"QEMU","FabriceBellard,otherdevelopers","x86,x86-64,IA-64,PowerPC,SPARC32/64,ARM,S/390,MIPS","x86,x86-64,Alpha,ARM,CRIS,LM32,M68k,MicroBlaze,MIPS,OpenRisc32,PowerPC,S/390,SH4,SPARC32/64,Unicore32,Xtensa","Windows,Linux,macOS,Solaris,FreeBSD,OpenBSD,BeOS","Changesregularly","GPL/LGPL"
"QEMUw/kqemumodule","FabriceBellard","x86,x86-64","Sameashost","Linux,FreeBSD,OpenBSD,Solaris,Windows","Changesregularly","GPL/LGPL"
"QEMUw/qvm86module","PaulBrook","x86","x86","Linux,NetBSD,Windows","Changesregularly","GPL"
"QuickTransit","TransitiveCorp.","x86,x86-64,IA-64,POWER","MIPS,PowerPC,SPARC,x86","Linux,OSX,Solaris","Linux,OSX,Irix,Solaris","Proprietary"
"RTSHypervisor","Real-TimeSystemsGmbH","x86,x86-64","x86,x86-64","NohostOS","Windows,Linux,WindowsEmbedded,QNX,RTOS-32,VxWorks,OS-9,T-Kernel","Proprietary"
"ScaleMPvSMPFoundation","ScaleMP","x86,x86-64","Sameashost","NohostOS","Linux","Proprietary"
"SIMH","BobSupnik,TheComputerHistorySimulationProject","Alpha,ARM,HPPA,x86,IA-64,x86-64,M68K,MIPS,MIPSel,POWER,s390,SPARC","DataGeneralNova,Eclipse;DigitalEquipmentCorporationPDP-1,PDP-4,PDP-7,PDP-8,PDP-9,PDP-10,PDP-11,PDP-15,VAX;GRICorporationGRI-909;IBM1401,1620,1130,7090/7094,System/3;Interdata(Perkin-Elmer)16b/32bsystems;Hewlett-Packard2114,2115,2116,2100,21MX;HoneywellH316/H516;MITSAltair8800with8080andZ80;RoyalMcBeeLGP-30,LGP-21;ScientificDataSystemsSDS940","BSD,Linux,Solaris,VMS,Windows","Dependsontargetmachine,includesNetBSD/VAX,OpenBSD/VAX,VAX/VMS,Unixv6,Unixv7,TOPS-10,TOPS-20,ITS","BSD-like,unique"
"Simics","WindRiver","x86,x86-64","8051,68000,ARM(v4,v5,v6,v7),MIPS32,MIPS64,CaviumcnMIPS,BroadcomXLRMIPS,Freescale(e300,e500,e600,e5500,e6500),IBM(POWER,PPC44x,PPC46x,47x),SPARCv8(LEON),SPARCv9(UltraSparc),x86(from80286toSandyBridge),x86-64(fromPentium4toSandyBridge),TITMS320C64xx,RenesasH8,RenesasSH","Windows32-bitand64-bit,Linux32-bitand64-bit","Dependsontargetmachine,typicallyrunsunmodifiedsoftwarestacksfromthecorrespondingrealtarget,includingVxWorks,VxWorks653,OSE,QNX,Linux,Solaris,Windows,FreeBSD,RTEMS,TinyOS,WindRiverHypervisor,VMwareESX,andothers","Proprietary"
"SunxVMServer","SunMicrosystems","x86-64,SPARC","Sameashost","NohostOS","WindowsXP,2003Server(x86-64only),Linux,Solaris","GPLversion3"
"SVISTA2004","SerenitySystemsInternational","x86","x86","Windows,OS/2,Linux","Windows,Linux,OS/2,BSD","Proprietary"
"TRANGO","TRANGOVirtualProcessors,Grenoble,France","ARM,XScale,MIPS,PowerPC","ParavirtualizedARM,MIPS,PowerPC","NohostOS,LinuxorWindowsasdev.hosts","Linux,eCos,µC/OS-II,WindowsCE,Nucleus,VxWorks","Proprietary"
"UserModeLinux","JeffDike,otherdevelopers","x86,x86-64,PowerPC","Sameashost","Linux","Linux","GPLversion2"
"VirtualBox","Innotek,acquiredbyOracleCorporation","x86,x86-64","x86,x86-64(withIntelVT-xorAMD-V,andVirtualBox2orlater)","Windows,Linux,macOS,Solaris,FreeBSD,eComStation","DOS,Linux,macOS,FreeBSD,Haiku,OS/2,Solaris,Syllable,Windows,andOpenBSD(withIntelVT-xorAMD-V,duetootherwisetoleratedincompatibilitiesintheemulatedmemorymanagement).","GPLversion2;fullversionwithextraenterprisefeaturesisproprietary"
"VirtualIron3.1","VirtualIronSoftware,Inc.,acquiredbyOracle","x86VT-x,x86-64AMD-V","x86,x86-64","NohostOS","Windows,Linux","Proprietary,somecomponentsGPLv2"
"VirtualMachineManager","RedHat","x86,x86-64","x86,x86-64","Linux","Linux,Windows","GPLversion2"
"VirtualPC2007(discontinued)","ConnectixandMicrosoft","x86,x86-64","x86","WindowsVista(Business,Enterprise,Ultimate),XPPro,XPTabletPCEdition","DOS,Windows,OS/2,Linux(SUSE,Xubuntu),OpenSolaris(Belenix)","Proprietary"
"WindowsVirtualPC(discontinued)","ConnectixandMicrosoft","x86,x86-64withIntelVT-xorAMD-V","x86","Windows7","WindowsXP,WindowsVista,Windows7,WindowsServer2003,WindowsServer2008","Proprietary"
"VirtualPC7forMac","ConnectixandMicrosoft","PowerPC","x86","MacOSX","Windows,OS/2,Linux","Proprietary"
"VirtualLogixVLX","VirtualLogix","ARM,TIDSPC6000,x86,PowerPC","Sameashost","NohostOS","Linux,WindowsXP,C5,VxWorks,Nucleus,DSP/BIOS,proprietary","Proprietary"
"VirtualServer2005R2","ConnectixandMicrosoft","x86,x86-64","x86,x86-64","WindowsServer2003,2008,XP(RequiresIIS)","WindowsNT,2000,2003,2008,Linux(RedHat,SUSE,Ubuntu)","Proprietary"
"Synopsys(CoWare)VirtualPlatform","CoWare","x86,x86-64,SPARCv9","Devicesincluding(multi)coresfromARM,MIPS,PowerPC,ToshibaMeP,RenesasSH,TexasInstruments,Tensilica,ZSP","Windows,Linux,Solaris","DependsonguestCPU;includes:Linux(variousflavors),µITRON(variousflavors),WindowsCE,Symbian,more","Proprietary"
"Virtuozzo","SWsoft,nowVirtuozzoInc","x86,IA-64,x86-64","sameashost","Linux","sameashost(sharedLinuxkernel)","Proprietary"
"vkernel","MatthewDillon/DragonFlyBSD","x86-64","sameashost","DragonFlyBSD","anycompatiblevkernelbinaryofDragonFly","BSD"
"VMM","OpenBSD","x86,x86-64","sameashost","OpenBSD","OpenBSDandLinuxguests","BSD"
"VMwareESXServer","VMware","x86,x86-64","x86,x86-64","NohostOS","Windows,Linux,Solaris,FreeBSD,OSx86(asFreeBSD),virtualappliances,Netware,OS/2,SCO,BeOS,Haiku,Darwin,others:runsarbitraryOS","Proprietary"
"VMwareESXi","VMware","x86,x86-64","x86,x86-64","NohostOS","SameasVMwareESXServer","Proprietary"
"VMwareFusion","VMware","x86,x86-64","x86,x86-64","macOS","SameasVMwareESXServer","Proprietary"
"VMwareServer","VMware","x86,x86-64","x86,x86-64","Windows,Linux","SameasVMwareESXServer","Proprietary"
"VMwareWorkstation","VMware","x86-64","x86,x86-64","Windows,Linux","SameasVMwareESXServer","Proprietary"
"VMwarePlayer,laterVMwareWorkstationPlayer","VMware","x86-64","x86,x86-64","Windows,Linux","SameasVMwareESXServer","Proprietary,freeforpersonalnon-commercialuse"
"WindRiverHypervisor","WindRiver","x86,x86-64,PowerPC,ARM","Sameashost","NohostOS","Linux,VxWorks,unmodifiedguests(includingMSWindowsandRTOSessuchachOSE,QNXandothers),baremetalvirtualboard","Proprietary"
"Xen","Xensource,NowCitrixSystems","x86,x86-64,ARM,IA-64(inactive),PowerPC(inactive)","Sameashost","Linux,Unix-like","Linux,FreeBSD,MiniOS,NetBSD,Solaris,Windows7/XP/Vista/Server2008(requiresIntelVT-x(Vanderpool)orAMD-V(Pacifica)-capableCPU),Plan9","GNUGPLv2+"
"XCP-ng","ByVatesSAS","x86,x86-64,ARM,IA-64(inactive),PowerPC(inactive)","Sameashost","NohostOS","Linux,FreeBSD,MiniOS,NetBSD,Solaris,Windows,WindowsServer2008(withIntelVT-xorAMD-V),Plan9","GNUGPLv2+"
"XenServer","ByCitrixSystems","x86,x86-64,ARM,IA-64(inactive),PowerPC(inactive)","Sameashost","NohostOS","Linux,FreeBSD,MiniOS,NetBSD,Solaris,Windows7/XP/Vista/Server2008(withIntelVT-xorAMD-V),Plan9","GNUGPLv2+"
"XtratuM","fentISS","SPARCv8LEON2/3/4,ARMv7","Sameashost","NohostOS","GPOS:Linux,RTOS:LithOS,RTEMS","Proprietary,GPLversion2dependingonversions"
"z/VM","IBM","z/Architecture","z/Architecture,z/VMdoesnotrunonpredecessormainframes","NohostOS,itself(singleormultiplelevels/versionsdeep;e.g.,VM/ESArunninginz/VM4.4inz/VM5.2inz/VM5.1.)","LinuxonIBMZ,z/OS,z/VSE,z/TPF,z/VM,VM/CMS,MUSIC/SP,OpenSolarisforSystemz,predecessors","Proprietary"
"zLPARs","IBM","z/Architecture","z/Architecture","IntegratedinfirmwareofSystemzmainframes","LinuxonIBMZ,z/OS,z/VSE,z/TPF,z/VM,MUSIC/SP,andpredecessors","Proprietary"
"Name","Creator","HostCPU","GuestCPU","HostOS(s)","GuestOS(s)","License"
