"ResearchNetworkingTool","ProfiledUserPopulation","CanUsersUpdateTheirOwnProfileData?","TypeofNetworking(ActiveorPassive)","IncludesFunctionalitytoMatchExpertisewithFundingOpportunities"
"FacultyScholarlyProductivityIndex","Federallyfunded,publishedfaculty","Unknown","Nonetworking","Unknown"
"GENIUS","Anyfacultymemberwhocreatesaprofileonthesystem","Yes","Passive","Unknown"
"Google","AnyonecanbesearchedonGoogle","N/A","Nonetworking","No"
"HUBzero","IndianaUniversity,IndianaUniversitySchoolofMedicine,PurdueUniversity,U.ofNotreDame,Regenstrief","Unknown","Active","Unknown"
"iamResearcher","Anyresearcherwhocreatesaprofile","Yes","Passive(?)","Unknown"
"iAMscientist","Anyresearcherwhocreatesaprofile","Yes","Passive","Unknown"
"i2iConnect","Industrylicensingrepresentatives","Unknown","Passive","Unknown"
"InCites","Allpublished","Yes","Passive","No"
"INDURE","Allfacultyat4Indianainstitutions","Unknown","Passive","Unknown"
"LatticeGrid","CurrentlyMedicalSchoolfacultyonly.Developedforbiomedicalresearchorganizations","Yes(UserscanupdatetheMedicalSchoolfacultydatabase,whichthenfeedsLatticeGrid","Passive)","Yes(ConnectedtoaNorthwesterntoolcalledFacultyConnecttomatchfacultywithaspeciallimitedsetofNorthwestern-specificnon-federalfundingopportunitiesinthelifeandbiomedicalsciencesdomains)"
"LattesDatabase","CurriculumandinstitutionsdatabaseofScienceandTechnologyareasinBrazil.Anyonecancreateaprofile.","Yes","Noapparentnetworking","Unknown"
"LinkedIn","AnyonewhocreatesaLinkedInprofile","Yes","PassiveandActive","Unknown"
"LifeScienceNetwork","Anyonewhocreatesaprofile","Yes","ActiveandPassive","No"
"Loki","AllfacultyatUniversityofIowa","Yes","Passive","Unknown"
"Loop","Anyonewhocreatesaprofile","Yes","PassiveandActive","Unknown"
"Lyterati","Faculty,academicadministrators(departmentchairs,deans,provost),centerdirectors,gradstudents,staff","Yes","ActiveandPassive","Yes(throughadvancedsearchingandwebprofileexploration)"
"McCormickCollaborationVisualizationTool","AllNorthwesternpublicationsfromWebofScience","No","Passive","No"
"MizzouLinks","CurrentlyapilotgroupfromtwoMissouriinterdisciplinarycenters","Unknown","Passive","Unknown"
"MyScienceWork","Anyonewhocreatesaprofile","Yes","ActiveandPassive","Unknown"
"OSU:pro","AllOSUfaculty","Unknown","Noapparentnetworking","Unknown"
"Pivot","3millionprofiles(andgrowing,accordingtothepublisher).Profilesarecompiledevenwithoutuserregistration,butcanonlybeviewedbyregisteredusers","Yes","Passive","YesthroughadirectconnectionwiththeCOSproduct"
"Portfolio&Showroom","Allusersmaybeincluded(asdefinedbytheuniversity).","Yes","PassiveandActive","No"
"Profiles","Allusersasdefinedbyeachinstitution.""Profiles""arealsocreatedforinstitutions,departments,concepts,publications,networks,eventsoranyotherclassdefinedintheontology","Yes","PassiveandActive","No"
"ReachNC","UNCfacultyinvariousdisciplines,Duke,andRTIFellows","Yes","Passive","No"
"ResearchAccelerator","AnymemberoftheYaleresearchenterprise","Yes(?)","Passive","Unknown"
"ResearcherID","Anyonewhocreatesaprofile","Yes","PassiveandActive","Unknown"
"SciENcv","Notyetestablished","Notyetestablished","Noapparentnetworking","No"
"SymplecticElements","Allusersmaybeincluded(asdefinedbyinstitution).","Yes(Profilesareautomaticallypopulatedwithdata,asdictatedbyinternalandexternaldatafeeds.Someprofiledatacanbemanuallycuratedbyendusers,proxyusers,oradministrators.Userscancreatenewrelationshipsbetweenelements.)","PassiveandActive","Yes-Throughintegrationswithresearchnewsandfundinginformationprovider*Research,researchersareabletogettailoredfundingopportunitieslinkedtotheirElementsaccounts."
"VIVO","Allusers(asdefinedbytheinstitution)","Yes","PassiveandActive","Possibly"
"Yaffle","AllMemorialUniversityfaculty","Yes","Passive","Unknown"
