"Manufacturer","Module","SOC/SIPChip","MCUcore","RAM","Flash","Antenna","Sleep","TX","RX","TXPower","Sensitivity","PCBSize","Released","Interfacing","Firmwareoptions"
"Dresdenelektronik","deRFmega128-22M102.4GHzdatasheet","ATmega128RFA1datasheet","8-bitATmega","16kB","128kB","RFpads","<1?A","18mA","18mA","+3dBm","-98dBm","19.0mm×13.2mm×3.0mm","2012","JTAG,UART,I²C,ADC,SPI,GPIO","MACstackZigBee(BitCloud)6LoWPANAtmel"
"Dresdenelektronik","RFpads","deRFmega128-22M122.4GHzdatasheet","ATmega128RFA1datasheet","8-bitATmega","16kB","128kB","198mA","<1?A","22mA","+22dBm","–105dBm","21.5mm×13.2mm×3.0mm","2012","JTAG,UART,I²C,ADC,SPI,GPIO","MACstackZigBee(BitCloud)6LoWPANAtmel"
"Dresdenelektronik","deRFmega256-23M002.4GHzdatasheet","ATmega256RFR2datasheet","8-bitATmega","32kB","256kB","Chipceramicantenna","<1?A","19mA","11mA","+3.5dBm","-98dBm","23.6mm×13.2mm×3.0mm","2013","JTAG,UART,I²C,ADC,SPI,GPIO","MACstackZigBee(BitCloud)6LoWPANAtmel"
"Dresdenelektronik","ATmega256RFR2datasheet","8-bitATmega","32kB","256kB","deRFmega256-23M102.4GHzdatasheet","<1?A","19mA","11mA","+3.5dBm","-98dBm","RFpads","2013","JTAG,UART,I²C,ADC,SPI,GPIO","19.0mm×13.2mm×3.0mm","MACstackZigBee(BitCloud)6LoWPANAtmel"
"Dresdenelektronik","RFpads","ATmega256RFR2datasheet","8-bitATmega","32kB","256kB","deRFmega256-23M122.4GHzdatasheet","<1?A","233mA","17mA","23dBm","–104dBm","21.5mm×13.2mm×3.0mm","2013","JTAG,UART,I²C,ADC,SPI,GPIO","MACstackZigBee(BitCloud)6LoWPANAtmel"
"Dresdenelektronik","deRFsam3-23M10-22.4GHzdatasheet","ATSAM3S4AdatasheetAT86RF232datasheet","32-bitARMCortex-M3","48kB","256kB","RFpads","<6?A","45mA","41mA","+3dBm","-100dBm","2013","21.5mm×13.2mm×3.0mm","JTAG,UART,I²C,ADC,SPI,GPIO,USB","MACstackZigBee(BitCloud)6LoWPANAtmel"
"Dresdenelektronik","deRFsam3-13M10868,915MHzdatasheet","32-bitARMCortex-M3","48kB","256kB","RFpads","<6?A","ATSAM3S4AdatasheetAT86RF212datasheet","50mA","37mA","+5or+10dBm","–110dBm","21.5mm×13.2mm×3.0mm","JTAG,UART,I²C,ADC,SPI,GPIO,USB","MACstackZigBee(BitCloud)6LoWPANAtmel","2013"
"Dresdenelektronik","deRFusb-23E002.4GHzdeRFusb-23E062.4GHzdatasheet","ATSAM3S4BdatasheetAT86RF231datasheet","32-bitARMCortex-M3","48kB","256kB","Chipceramicantenna","32mA","51mA","45mA","+3dBm","-97dBm","71.0mm×23.0mm×8.7mm","2012","USB,optional:JTAG,Debug","MACstackZigBee(BitCloud)6LoWPANAtmel"
"Dresdenelektronik","ATSAM3S4BdatasheetAT86RF231datasheet","32-bitARMCortex-M3","48kB","256kB","Chipceramicantenna","32mA","51mA","45mA","+3dBm","-97dBm","deRFusb-23E00JTAG2.4GHzdeRFusb-23E06JTAG2.4GHzdatasheet","2012","63.5mm×19.0mm×9.5mm","USB,JTAG,Debug","MACstackZigBee(BitCloud)6LoWPANAtmel"
"Dresdenelektronik","deRFusb-13E00868,915MHzdeRFusb-13E06868,915MHzdatasheet","32-bitARMCortex-M3","48kB","256kB","Chipceramicantenna","32mA","51mA","45mA","ATSAM3S4BdatasheetAT86RF212datasheet","+9dBm","-106dBm","2012","71.0mm×23.0mm×8.7mm","USB,optional:JTAG,Debug","MACstackZigBee(BitCloud)6LoWPANAtmel"
"Dresdenelektronik","ATSAM3S4BdatasheetAT86RF212datasheet","+9dBm","-106dBm","deRFusb-13E00JTAG868,915MHzdeRFusb-13E06JTAG868,915MHzdatasheet","32-bitARMCortex-M3","48kB","256kB","Chipceramicantenna","32mA","51mA","45mA","63.5mm×19.0mm×9.5mm","USB,JTAG,Debug","MACstackZigBee(BitCloud)6LoWPANAtmel","2012"
"Embit","EMB-WMB169PA,169MHzwebpagedatasheetbrochure","MSP430F534xdatasheet","16bitMSP430","10kB/8kB/6kB","128kB/96kB/64kB","RFPads,U.FLConnector","<2?A","57mA@+15dBm","27mA(fullsens.)","upto30dBm","-122dBm","29mm×22mm","2012","UART,SPI,JTAG","WirelessM-Busstack"
"Embit","EMB-WMB868,868MHzwebpagedatasheetbrochure","MSP430F534xdatasheet","16bitMSP430","10kB/8kB/6kB","128kB/96kB/64kB","RFPads,U.FLConnector","<2?A","57mA@+15dBm","27mA(fullsens.)","15dBm","-122dBm","29mm×22mm","2012","UART,SPI,JTAG","WirelessM-Busstack"
"Embit","EMB-Z2530PA,2.4GHzwebpagedatasheetbrochure","CC2530datasheet","8bit8051","8kB","256kB","PCBAntenna,U.FLConnector,WireAntennaopt","<1.1?A","135mA@+20dBm","28mA","20dBm","-100dBm","29mm×22mm","2011","UART,SPI,JTAG","TIMAC(IEEE802.15.4),ZStack(ZigBee)"
"Embit","EMB-ZRF212B,868MHz,915MHzwebpagedatasheetbrochure","ATxmega128D3datasheet","8/16bitAVRXMEGA","8kB","128kB","CeramicAntenna,U.FLConnector,RFpads","1.3?A","17mA@+5dBm","10mA","10dBm","–110dBm","29mm×22mm","2013","UART,SPI,JTAG","AtmelLightweightMesh,AtmelMAC(IEEE802.15.4),AtmelBitCloud(ZigBeePRO)"
"Embit","EMB-ZRF231PA,2.4GHzwebpagedatasheetbrochure","ATxmega256A3Udatasheet","8/16bitAVRXMEGA","16kB","256kB","PCBAntenna,U.FLConnector,RFpads","<1.1?A","132mA@+20dBm","24mA","20dBm","-105dBm","29mmx22mm","2011","UART,SPI,JTAG","AtmelLightweightMesh,AtmelMAC(IEEE802.15.4),AtmelBitCloud(ZigBeePRO)"
"FlexiPanelLtd","Pixiesummarydatasheet","TexasInstrumentsCC2420datasheeterrata","PIC18LF4620","4kB","64kB","integral","2?A","25mA","25mA","0dBm","","","Mar,2008","UART,SPI","MicrochipZigBee"
"FlexiPanelLtd","PixieLitesummarydatasheet","TexasInstrumentsCC2420datasheeterrata","PIC18LF2520","1.5kB","32kB","integral","2?A","25mA","0dBm","","","Mar,2008","UART,SPI","MicrochipZigBee"
"KiraleTechnologies","KTWM102-11webpage","MicrochipATSAMR21E19Awebpage","32-bitARMCortex-M0+","32kB","256kB+512kB","on-boardchip","5?A","17mA","19mA","4dBm","-104dBm","16.6mm×11.4mm×2.2mm","2018","UART,USB,JTAG","KiNOSThreadCertifiedStackAtmel"
"KiraleTechnologies","KTWM102-21webpage","MicrochipATSAMR21E19Awebpage","32-bitARMCortex-M0+","32kB","256kB+512kB","W.FLconnector","5?A","17mA","19mA","4dBm","-104dBm","16.6mm×11.4mm×2.2mm","2018","UART,USB,JTAG","KiNOSThreadCertifiedStackAtmel"
"MMBNetworks","Z357PA40datasheet","Ember(nowSiliconLabs)EM357Overviewdatasheet","32-bitARMCortexM3","12kB","192kBon-chip,512kBon-board","U.FL,on-boardchipceramic","0.65?A","175mAat20dBmTXpower","32mA","20dBmmax.,softwareprogrammable","-106dBm","34.2mm×15mm×2.88mm","2015","UARTandSPI","Ember's(nowSiliconLabs')EmberZNetPROwithMMB'sRapidConnectfamilyoffirmware"
"NXP","JN5168-001-M00datasheet","JN5168datasheet","32MHz32-bitRISC","32kB","256kB","onboard","0.15?A","15mA","17mA","2.5dBm","-95dBm","16mm×30mm","2013","UART,SPI","JenNetstackZigBeestack"
"NXP","JN5168-001-M03datasheet","JN5168datasheet","32MHz32-bitRISC","32kB","256kB","U.FLconnector","0.15?A","15mA","17mA","2.5dBm","-95dBm","16mm×30mm","2013","UART,SPI","JenNetstackZigBeestack"
"NXP","JN5168-001-M05datasheet","JN5168datasheet","32MHz32-bitRISC","32kB","256kB","U.FLconnector","0.15?A","35mA","22mA","9.5dBm","-96dBm","16mmx30mm","2013","UART,SPI","JenNetstackZigBeestack"
"NXP","JN5168-001-M06datasheet","JN5168datasheet","32MHz32-bitRISC","32kB","256kB","16mmx30mm","U.FLconnector","0.15?A","175mA","22mA","22dBm","-100dBm","2013","UART,SPI","JenNetstackZigBeestack"
"ControlDataSystems","VersaNode210datasheet","MC13224Vdatasheet","32-bitARM7","96kB","128kB","MMCXConnector","15?A","60mA","21mA","10dBm","-98dBm","20mm×25mm","2009","UART,SPI","ControlDataSystemsISA100.11a"
"Panasonic","PAN4555datasheet","MC1321xdatasheet","8-bitMC9S08GTHC08","4kB","60kB","RFoutorceramicantenna","0.25?A,1.9?A,36?A,1.6mA","36.5mA","37mA","–4dBm,0dBm","–92dBm","12.2mm×16.4mm×2.2mm","2008","UART,SPI","FreescaleBeestackSynapseSNAPStack"
"Panasonic","PAN4561brochure","MC13213datasheet","8-bitMC9S08GTHC08","4kB","60kB","SMDRFout,ceramicantennaorU.FL","1.6mA,50?A,16?A,2?A","202mA","45mA","20dBm","–105dBm","35mm×15mm","Jan,2009","UART,I²C","FreescaleBeestackSynapseSNAPStack"
"Panasonic","PAN4570datasheet","SMDRFout,ceramicantennaorU.FL","Ember(nowSiliconLabs)EM250factsheetdatasheet","16-bit12MHzRISC","5kB","128kB","1?A,1.5?A","35.5mA,41.5mA,28mA","35.5mA,37.5mA","3dBm,5dBm,–32dBm","–97dBm","26.5mm×20mm×2.8mm","2006","UART,SPI,I²C","EmberZNetStack"
"Radiocrafts","RC2200datasheet","TexasInstrumentsCC2420datasheeterrata","8-bitATmega128","4kB","128kB","integrated,MMCXconnectororRFonpinconnector","23?A,1.3?A","27mA","30mA","0dBm","-94dBm","16.5mm×29.2mm×3.5mm","2008","UART,SPI,JTAG,ISP","TexasInstrumentsZ-stackoranythird-partyZigBeestack"
"Radiocrafts","RC2201datasheet","TexasInstrumentsCC2420datasheeterrata","8-bitATmega128","8kB","128kB","integrated,MMCXconnectororRFonpinconnector","1.3?A","27mA","30mA","0dBm","-94dBm","16.5mm×29.2mm×3.5mm","2008","UART,SPI,JTAG,ISP","TexasInstrumentsZ-stackoranythird-partyZigBeestack"
"Radiocrafts","RC2202datasheet","1.3?A","TexasInstrumentsCC2420datasheeterrata","8-bitATmega128","2kB","32kB","integrated,MMCXconnectororRFonpinconnector","23mA","26mA","0dBm","-94dBm","16.5mm×29.2mm×3.5mm","2008","UART,SPI,JTAG,ISP","TexasInstrumentsZ-stackoranythird-partyZigBeestack"
"Radiocrafts","RC2204datasheet","TexasInstrumentsCC2420datasheeterrata","8-bitATmega128","4kB","64kB","integrated,MMCXconnectororRFonpinconnector","23?A,1.3?A","27mA","30mA","0dBm","-94dBm","16.5mm×29.2mm×3.5mm","2008","UART,SPI,JTAG,ISP","TexasInstrumentsZ-stackoranythird-partyZigBeestack"
"Radiocrafts","RC2201HPdatasheet","TexasInstrumentsCC2420datasheeterrata","8-bitATmega1281","8kB","128kB","integratedorRF-on-pinconnector","40?A,2?A","140mA","28mA","17dBm","-92dBm","16.5mm×35.6mm×3.5mm","Jan2008","UART,SPI,JTAG,ISP","TexasInstrumentsZ-stackoranythird-partyZigBeestack"
"Radiocrafts","RC2300datasheet","8kB","128kB","integratedorRF-on-pinconnector","TexasInstrumentsCC2430(CC2431forlocationengineoption)datasheeterrata","8-bit8051","300?A,0.9?A,0.6?A","27mA","-92dBm","27mA","0dBm","12.7mm×25.4mm×2.5mm","Jul2008","UART,SPI,proprietaryserialdebugginginterface","TexasInstrumentsZ-stackoranythird-partyZigBeestack"
"Radiocrafts","TexasInstrumentsCC2430(CC2431forlocationengineoption)datasheeterrata","8-bit8051","300?A,0.9?A,0.6?A","27mA","27mA","0dBm","12.7mm×25.4mm×2.5mm","Jul2008","UART,SPI,proprietaryserialdebugginginterface","RC2301datasheet","8kB","128kB","integratedorRF-on-pinconnector","TexasInstrumentsZ-stackoranythird-partyZigBeestack","-92dBm"
"Radiocrafts","TexasInstrumentsCC2430(CC2431forlocationengineoption)datasheeterrata","8-bit8051","300?A,0.9?A,0.6?A","27mA","27mA","0dBm","12.7mm×25.4mm×2.5mm","Jul2008","UART,SPI,proprietaryserialdebugginginterface","RC2302datasheet","8kB","32kB","integratedorRF-on-pinconnector","TexasInstrumentsZ-stackoranythird-partyZigBeestack","-92dBm"
"Radiocrafts","TexasInstrumentsCC2430(CC2431forlocationengineoption)datasheeterrata","8-bit8051","300?A,0.9?A,0.6?A","27mA","27mA","0dBm","12.7mm×25.4mm×2.5mm","Jul2008","UART,SPI,proprietaryserialdebugginginterface","RC2304datasheet","8kB","64kB","integratedorRF-on-pinconnector","TexasInstrumentsZ-stackoranythird-partyZigBeestack","-92dBm"
"RFMonolithics","ZMN2405datasheet","TexasInstrumentsCC2430datasheeterrata","8-bit8051","8kB","128kB","RFIOpad","3?A","28mA","27mA","0dBm","-92dBm","30.5mm×21.2mm","2008","UART,SPI,","ZigBeestack,RFM'sCSMstandardmoduleapplicationprofile"
"RFMonolithics","ZMN2430datasheet","TexasInstrumentsCC2430datasheeterrata","8-bit8051","8kB","128kB","RFIOpad","3?A","28mA","27mA","0dBm","-92dBm","25mm×20.3mm","2008","UART,SPI,","ZigBeestack,RFM'sCSMstandardmoduleapplicationprofile"
"RFMonolithics","ZMN2430Adatasheet","TexasInstrumentsCC2430datasheeterrata","8-bit8051","8kB","128kB","built-in","3?A","28mA","27mA","–2dBm","–90dBm","25mm×26.9mm","2008","UART,SPI,","ZigBeestack,RFM'sCSMstandardmoduleapplicationprofile"
"RFMonolithics","ZMN2405HPdatasheet","TexasInstrumentsCC2430datasheeterrata","8-bit8051","8kB","128kB","RFIOpad","3?A","130mA","33mA","17dBm","-95dBm","40.6mm×21.2mm","2008","UART,SPI,","ZigBeestack,RFM'sCSMstandardmoduleapplicationprofile"
"RFMonolithics","ZMN2405HPAdatasheet","130mA","33mA","TexasInstrumentsCC2430datasheeterrata","-95dBm","8-bit8051","8kB","128kB","built-in","3?A","15dBm","47mm×21.2mm","2008","UART,SPI,","ZigBeestack,RFM'sCSMstandardmoduleapplicationprofile"
"RFMonolithics","ZMN2430HPdatasheet","130mA","33mA","TexasInstrumentsCC2430datasheeterrata","-95dBm","8-bit8051","8kB","128kB","RFIOpad","3?A","17dBm","30.48mm×25mm","2008","UART,SPI,","ZigBeestack,RFM'sCSMstandardmoduleapplicationprofile"
"RFMonolithics","ZMN2430HPAdatasheet","130mA","33mA","TexasInstrumentsCC2430datasheeterrata","-95dBm","8-bit8051","8kB","128kB","built-in","3?A","15dBm","36.83mm×25mm","2008","UART,SPI,","ZigBeestack,RFM'sCSMstandardmoduleapplicationprofile"
"Radios,Inc.","MXR-EM20datasheet","Ember2420datasheet","8-bitATmega128L","4kB","128kB","RFonpin","20?A","17.4mA","19.7mA","0dBm","–94dBm","25.4mm×18.4mm","Oct2005","SPI","ZigBeestack"
"Synapse","SM220UF1datasheet","ATmega128RFA1datasheet","8-bitATmega","16kB","128kB","PCBAntennaandU.FLconnector","0.4?A","20dBm:150mA6dBm:55mA","22mA","20dBm","–103dBm","29.8mm×19mm","2013","UART,SPI,I²C","SynapseSNAPStack"
"TalonCommunications","Oasissummarydatasheet","NXP(formerlyFreescale)KW22D512Vdatasheet","Cortex-M4","64kB","512kB","U.FL,MMCXoredgeconnecttoexternaltracePIFA","4uA","111mA","24mA","20dBm","-108dBm","25mm×20mm×2.7mm","Feb2015","JTAG,UART,I²C,ADC,SPI,GPIO,PWM,USB","ZigBeePROThreadSMAC"
"TalonCommunications","SierramangOHIoTdatasheet","NXP(formerlyFreescale)KW22D512Vdatasheet","Cortex-M4","64kB","512kB","RP-SMA,Chip","4uA","111mA","24mA","20dBm","-108dBm","45mm×22.3mm×2.7mm","May2016","JTAG,UART,SPI,GPIO,USB","ZigBeePROThreadSMAC"
"TelegesisLtd","ETRX2brochuredatasheet","Ember(nowSiliconLabs)EM250factsheetdatasheet","16-bit12MHzRISC","5kB","128kB","integrated,U.FLconnectoror50?pad","1?A,1.5?A","35.5mA,41.5mA,28mA","35.5mA,37.5mA","3dBm,5dBm","?94dBm,?95dBm,?98dBm,?99dBm","37.75mm×20.45mm","2008","SIF,UART,I²C,SPI","EmberZNetStack"
"TelegesisLtd","ETRX2-PAbrochuredatasheet","Ember(nowSiliconLabs)EM250factsheetdatasheet","16-bit12MHzRISC","5kB","128kB","integrated,U.FLconnectoror50?pad","0.8?A,1.5?A,3?A,3.5?A","56mA,63mA,106mA,120mA,121mA","37mA","0dBm,10dBm,18.5dBm,17.5dBm","?92dBm,?93dBm,?96dBm,?97dBm","37.75mm×20.5mm","2009","SIF,UART,I²C,SPI","EmberZNetStack"
"TelegesisLtd","ETRX2USBbrochuredatasheet","Ember(nowSiliconLabs)EM250factsheetdatasheet","16-bit12MHzRISC","5kB","128kB","integrated","32mA,27mA,26mA","55mA,62mA","62mA","3dBm,18dBm","","","2008","SIF","EmberZNetStack"
"TelegesisLtd","ETRX351brochuredatasheet","SiliconLabs(formerEmber)EM351factsheetdatasheet","32-bitARMCortex-M3Processor","12kB","128kB","IntegratedchipantennaorU.FLcoaxialconnector","<1?A","31mA","22mA","8dBm","?102dBm","25mm×19mm","2011","","EmberZNetStack"
"TelegesisLtd","ETRX357brochuredatasheet","32-bitARMCortex-M3Processor","12kB","SiliconLabs(formerEmber)EM357factsheetdatasheet","IntegratedchipantennaorU.FLcoaxialconnector","<1?A","31mA","22mA","8dBm","?102dBm","25mm×19mm","2011","","192kB","EmberZNetStack"
"SenaTechnologies","ProBee-ZE10ProductBriefdatasheet","Ember(nowSiliconLabs)EM250factsheetdatasheet","16-bit12MHzRISC","5kB","128kB","Integratedchip,U.FLconnector,RPSMAConnector","?2?A","190mA","45mA","20dBm","–102dBm","51.7mm×23.0mm×11.15mm","2010Oct","UART","EmberZNetStack"
"SenaTechnologies","ProBee-ZE20SDIP/SMDProductBriefdatasheet","Ember(nowSiliconLabs)EM357factsheetdatasheet","32-bitARMCortex-M3Processor","12kB","192kB","Integratedchip,U.FLconnector,RPSMAConnector","<1?A","33mA","28mA","8dBm","-100dBm/Max.-102dBm","SMDSize:31.6mm×18.6mm,DIPSize:32.8mm×21.0mm","2011Oct","UART","EmberZNetStack"
