"Model","Typeofdevice","Brand","Releaseyear","Operatingsystem","OSversion","Kernel","UIandversion","Comment"
"Nokia5730XpressMusic","Smartphone","Nokia","","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"Nokia5800NavigationEdition","Smartphone","Nokia","","Symbian^1","9.4","EKA2","S605thEdition,version5",""
"Nokia5800XpressMusic","Smartphone","Nokia","","Symbian^1","9.4","EKA2","S605thEdition,version5","FirstS60touchscreen.FirstS605th"
"Nokia6110Navigator","Smartphone","Nokia","","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"Nokia6120classic","Smartphone","Nokia","","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"Nokia6121classic","Smartphone","Nokia","","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"Nokia6124classic","Smartphone","Nokia","","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"Nokia6210Navigator","Smartphone","Nokia","","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"Nokia6220classic","Smartphone","Nokia","","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"Nokia6260","Smartphone","Nokia","","SymbianOS","7.0s","","S602ndEdition,FeaturePack1,version2.1",""
"Nokia6290","Smartphone","Nokia","2007","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"Nokia6600","Smartphone","Nokia","","SymbianOS","7.0s","","S602ndEdition,version2",""
"Nokia6620","Smartphone","Nokia","","SymbianOS","7.0s","","S602ndEdition,FeaturePack1,version2.1",""
"Nokia6630","Smartphone","Nokia","","SymbianOS","8.0a","","S602ndEdition,FeaturePack2,version2.6",""
"Nokia6650fold","Smartphone","Nokia","","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"Nokia6670","Smartphone","Nokia","","SymbianOS","7.0s","","S602ndEdition,FeaturePack1,version2.1",""
"Nokia6680","Smartphone","Nokia","","SymbianOS","8.0a","","S602ndEdition,FeaturePack2,version2.6",""
"Nokia6681","Smartphone","Nokia","","SymbianOS","8.0a","","S602ndEdition,FeaturePack2,version2.6",""
"Nokia6682","Smartphone","Nokia","","SymbianOS","8.0a","","S602ndEdition,FeaturePack2,version2.6",""
"Nokia6700slide","Smartphone","Nokia","","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"Nokia6708","Smartphone","Nokia","","SymbianOS","7.0","","UIQ2.1",""
"Nokia6710Navigator","Smartphone","Nokia","","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"Nokia6720classic","Smartphone","Nokia","","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"Nokia6730classic","Smartphone","Nokia","","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"Nokia6760slide","Smartphone","Nokia","","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"Nokia6790slide","Smartphone","Nokia","","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"Nokia6790surge","Smartphone","Nokia","","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"Nokia6788","Smartphone","Nokia","","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"Nokia6788i","Smartphone","Nokia","","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"Nokia7610","Smartphone","Nokia","","SymbianOS","7.0s","","S602ndEdition,FeaturePack1,version2.1",""
"Nokia7650","Smartphone","Nokia","2002","SymbianOS","6.1","","S601stEdition,version0.9","FirstNokiawithSymbianOS;firstSeries60(NowS60))platformdevice;firstNokiawithbuilt-incamera."
"Nokia7710","Smartphone","Nokia","","SymbianOS","","","S90","onlymodelonS90"
"Nokia9210","Smartphone","Nokia","","SymbianOS","6.0","","S80v1.0",""
"Nokia9210i","Smartphone","Nokia","","SymbianOS","6.0","","S80v1.0",""
"Nokia9290","Smartphone","Nokia","","SymbianOS","","","S80v1.0",""
"Nokia9300","Smartphone","Nokia","","SymbianOS","","","S80v2.0",""
"Nokia9300i","Smartphone","Nokia","","SymbianOS","","","S80v2.0",""
"Nokia9500","Smartphone","Nokia","","SymbianOS","","","S80v2.0",""
"NokiaC5-00","Smartphone","Nokia","","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"NokiaC5-01","Smartphone","Nokia","","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"NokiaC5-03","Smartphone","Nokia","2010","Symbian^1","9.4","EKA2","S605thEdition,version5",""
"NokiaC6-00","Smartphone","Nokia","2010","Symbian^1","9.4","EKA2","S605thEdition,version5",""
"NokiaC6-01","Smartphone","Nokia","2010","Symbian^3","9.5","EKA2","Symbian^3,version5.2",""
"NokiaC7-00","Smartphone","Nokia","2010","Symbian^3","9.5","EKA2","Symbian^3,version5.2",""
"NokiaE5-00","Smartphone","Nokia","","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"NokiaE50","Smartphone","Nokia","","SymbianOS","9.1","","S603rdEdition,version3",""
"NokiaE51","Smartphone","Nokia","","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"NokiaE52","Smartphone","Nokia","","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"NokiaE55","Smartphone","Nokia","","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"NokiaE60","Smartphone","Nokia","","SymbianOS","9.1","","S603rdEdition,version3",""
"NokiaE61","Smartphone","Nokia","2006","SymbianOS","9.1","","S603rdEdition,version3",""
"NokiaE61i","Smartphone","Nokia","2007","SymbianOS","9.1","","S603rdEdition,version3",""
"NokiaE62","Smartphone","Nokia","","SymbianOS","9.1","","S603rdEdition,version3",""
"NokiaE63","Smartphone","Nokia","","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"NokiaE65","Smartphone","Nokia","2007","SymbianOS","9.1","","S603rdEdition,version3",""
"NokiaE66","Smartphone","Nokia","2008","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"NokiaE7-00","Smartphone","Nokia","2010","Symbian^3","9.5","EKA2","Symbian^3,version5.2",""
"NokiaE70","Smartphone","Nokia","","SymbianOS","9.1","","S603rdEdition,version3",""
"NokiaE71","Smartphone","Nokia","","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"NokiaE72","Smartphone","Nokia","","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"NokiaE73","Smartphone","Nokia","","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"NokiaE75","Smartphone","Nokia","2009","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"NokiaE90Communicator","Smartphone","Nokia","","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"NokiaN70","Smartphone","Nokia","2005","SymbianOS","8.1a","","S602ndEdition,FeaturePack3,version2.8",""
"NokiaN71","Smartphone","Nokia","2006","SymbianOS","9.1","","S603rdEdition,version3",""
"NokiaN72","Smartphone","Nokia","2006","SymbianOS","8.1a","","S602ndEdition,FeaturePack3,version2.8",""
"NokiaN73","Smartphone","Nokia","2006","SymbianOS","9.1","","S603rdEdition,version3",""
"NokiaN75","Smartphone","Nokia","2007","SymbianOS","9.1","","S603rdEdition,version3",""
"NokiaN76","Smartphone","Nokia","2007","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"NokiaN77","Smartphone","Nokia","2007","SymbianOS","9.1","","S603rdEdition,version3",""
"NokiaN78","Smartphone","Nokia","2008","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"NokiaN79","Smartphone","Nokia","2008","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"NokiaN8","Smartphone","Nokia","2010","Symbian^3","9.5","EKA2","Symbian^3,version5.2",""
"NokiaN80","Smartphone","Nokia","2006","SymbianOS","9.1","","S603rdEdition,version3",""
"NokiaN81","Smartphone","Nokia","2007","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"NokiaN818GB","Smartphone","Nokia","2007","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"NokiaN82","Smartphone","Nokia","2007","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"NokiaN85","Smartphone","Nokia","2008","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"NokiaN868MP","Smartphone","Nokia","2009","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"NokiaN90","Smartphone","Nokia","2005","SymbianOS","8.1a","EKA1","S602ndEdition,FeaturePack3,version2.8",""
"NokiaN91","Smartphone","Nokia","2006","SymbianOS","9.1","","S603rdEdition,version3",""
"NokiaN918GB","Smartphone","Nokia","2006","SymbianOS","9.1","","S603rdEdition,version3",""
"NokiaN92","Smartphone","Nokia","2006","SymbianOS","9.1","","S603rdEdition,version3",""
"NokiaN93","Smartphone","Nokia","2006","SymbianOS","9.1","","S603rdEdition,version3",""
"NokiaN93i","Smartphone","Nokia","2007","SymbianOS","9.1","","S603rdEdition,version3",""
"NokiaN95","Smartphone","Nokia","2007","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"NokiaN958GB","Smartphone","Nokia","2007","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"NokiaN96","Smartphone","Nokia","2008","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"NokiaN97","Smartphone","Nokia","2009","Symbian^1","9.4","EKA2","S605thEdition,version5",""
"NokiaN97mini","Smartphone","Nokia","2009","Symbian^1","9.4","EKA2","S605thEdition,version5",""
"NokiaX5-00","Smartphone","Nokia","","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"NokiaX5-01","Smartphone","Nokia","","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"NokiaX6-00","Smartphone","Nokia","2009","Symbian^1","9.4","EKA2","S605thEdition,version5","FirstS60capacativetouchscreen"
"NokiaN-Gage","Smartphoneandgameconsole","Nokia","","SymbianOS","6.1","","S601stEdition,FeaturePack1,version1.2",""
"NokiaN-GageQD","Smartphoneandgameconsole","Nokia","","SymbianOS","6.1","","S601stEdition,FeaturePack1,version1.2",""
"PanasonicX700","Smartphone","Panasonic","","SymbianOS","7.0s","","S602ndEdition,version2",""
"PanasonicX800","Smartphone","Panasonic","","SymbianOS","7.0s","","S602ndEdition,version2",""
"Samsungi7110Pilot","Smartphone","Samsung","2009","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"Samsungi8510INNOV8","Smartphone","Samsung","2008","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"Samsungi8910","Smartphone","Samsung","2009","Symbian^1","9.4","EKA2","S605thEdition,version5",""
"SamsungSGH-D720","Smartphone","Samsung","2005","SymbianOS","7.0s","","S602ndEdition,version2",""
"SamsungSGH-D728","Smartphone","Samsung","2005","SymbianOS","7.0s","","S602ndEdition,version2",""
"SamsungSGH-D730","Smartphone","Samsung","2005","SymbianOS","7.0s","","S602ndEdition,version2",""
"SamsungSGH-G810","Smartphone","Samsung","2008","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"SamsungSGH-i400","Smartphone","Samsung","","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"SamsungSGH-i408","Smartphone","Samsung","","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"SamsungSGH-i450","Smartphone","Samsung","","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"SamsungSGH-i458","Smartphone","Samsung","","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"SamsungSGH-i520","Smartphone","Samsung","","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"SamsungSGH-i550","Smartphone","Samsung","","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"SamsungSGH-i550w","Smartphone","Samsung","","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"SamsungSGH-i560","Smartphone","Samsung","","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"SamsungSGH-i568","Smartphone","Samsung","","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"SamsungSGH-L870","Smartphone","Samsung","2008","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"SendoX","Smartphone","Sendo","","SymbianOS","6.1","","S601stEdition,FeaturePack1,version1.2",""
"SendoX2","Smartphone","Sendo","","SymbianOS","6.1","","S601stEdition,FeaturePack1,version1.2","canceled,becauseSendowentintoadministration"
"DoCoMoSH-07B","Featurephone","Sharp","","Symbian^2","9.5","EKA2","MOAP(S)",""
"SiemensSX1","Smartphone","Siemens","","SymbianOS","6.1","","S601stEdition,FeaturePack1,version1.2",""
"SonyEricssonG700BusinessEdition","Smartphone","SonyEricsson","","SymbianOS","9.1","","UIQ3.0",""
"SonyEricssonG700","Smartphone","SonyEricsson","","SymbianOS","9.1","","UIQ3.0",""
"SonyEricssonG900","Smartphone","SonyEricsson","","SymbianOS","9.1","","UIQ3.0",""
"SonyEricssonM600","Smartphone","SonyEricsson","","SymbianOS","9.1","","UIQ3.0",""
"SonyEricssonP800","Smartphone","SonyEricsson","","SymbianOS","7.0","","UIQ2.0","FirstmodelwithUIQ2.0"
"SonyEricssonP900","Smartphone","SonyEricsson","","SymbianOS","7.0","","UIQ2.1",""
"SonyEricssonP910","Smartphone","SonyEricsson","","SymbianOS","7.0","","UIQ2.1",""
"SonyEricssonP990","Smartphone","SonyEricsson","","SymbianOS","9.1","","UIQ3.0","FirstmodelwithUIQ3.0"
"SonyEricssonP1","Smartphone","SonyEricsson","","SymbianOS","9.1","","UIQ3.0",""
"SonyEricssonW950","Smartphone","SonyEricsson","","SymbianOS","9.1","","UIQ3.0",""
"SonyEricssonW960","Smartphone","SonyEricsson","","SymbianOS","9.1","","UIQ3.0",""
"SonyEricssonSatio","Smartphone","SonyEricsson","","Symbian^1","9.4","EKA2","S605thEdition,version5",""
"SonyEricssonVivaz","Smartphone","SonyEricsson","","Symbian^1","9.4","EKA2","S605thEdition,version5",""
"SonyEricssonVivazPro","Smartphone","SonyEricsson","","Symbian^1","9.4","EKA2","S605thEdition,version5",""
