"Language","Language","Apertium","OpenLogos","Moses","GramTrans","SYSTRAN","IdiomaX"
"ToRussian","EnglishtoRussian","No","No","Yes","No","Yes","No"
"ToRussian","FrenchtoRussian","No","No","Yes","No","No","No"
"ToRussian","SpanishtoRussian","No","No","Yes","No","No","No"
"ToRussian","GermantoRussian","No","No","Yes","No","No","No"
"ToRussian","ItaliantoRussian","No","No","Yes","No","No","No"
"ToSpanish","EnglishtoSpanish","Yes","Yes","Yes","No","Yes","Yes"
"ToSpanish","RussiantoSpanish","No","No","Yes","No","No","No"
"ToSpanish","FrenchtoSpanish","Yes","No","Yes","No","Yes","Yes"
"ToSpanish","GermantoSpanish","No","?","Yes","No","Yes","No"
"ToSpanish","ItaliantoSpanish","?","?","Yes","?","No","Yes"
"ToWelsh","EnglishtoWelsh","No","No","Yes","No","No","No"
"Language","Language","Apertium","OpenLogos","Moses","GramTrans","SYSTRAN","IdiomaX"
"ToArabic","EnglishtoArabic","No","No","No","No","Yes","No"
"ToCatalan","EnglishtoCatalan","Yes","?","Yes","No","No","No"
"ToCatalan","FrenchtoCatalan","Yes","No","Yes","No","No","No"
"ToCatalan","ItaliantoCatalan","Yes","No","Yes","No","No","No"
"ToCatalan","OccitantoCatalan","Yes","No","Yes","No","No","No"
"ToCatalan","SpanishtoCatalan","Yes","No","Yes","No","No","No"
"ToCzech","EnglishtoCzech","No","?","Yes","No","Yes","No"
"ToCzech","GermantoCzech","No","No","Yes","No","No","No"
"ToDanish","EnglishtoDanish","No","?","Yes","Yes","No","No"
"ToEsperanto","CatalantoEsperanto","Yes","No","Yes","No","No","No"
"ToEsperanto","DanishtoEsperanto","No","No","Yes","Yes","No","No"
"ToEsperanto","EnglishtoEsperanto","Yes","No","Yes","Yes","No","No"
"ToEsperanto","FrenchtoEsperanto","Yes","No","Yes","No","No","No"
"ToEsperanto","SpanishtoEsperanto","Yes","No","Yes","No","No","No"
"ToFinnish","EnglishtoFinnish","No","?","Yes","No","Yes","No"
"ToGreek","EnglishtoGreek","No","?","Yes","No","Yes","No"
"ToHaitianCreole","EnglishtoHaitianCreole","No","No","Yes","No","No","No"
"ToHebrew","EnglishtoHebrew","No","No","Yes","No","No","No"
"ToHungarian","EnglishtoHungarian","No","?","Yes","No","Yes","No"
"ToNorwegian(Bokmål)","EnglishtoNorwegian(Bokmål)","No","?","Yes","Yes","No","No"
"ToNorwegian(Bokmål)","Norwegian(Nynorsk)toNorwegian(Bokmål)","Yes","No","Yes","No","No","No"
"ToNorwegian(Nynorsk)","Norwegian(Bokmål)toNorwegian(Nynorsk)","Yes","No","Yes","No","No","No"
"ToOccitan","CatalantoOccitan","Yes","No","Yes","No","No","No"
"ToOccitan","SpanishtoOccitan","Yes","No","Yes","No","No","No"
"ToPolish","EnglishtoPolish","No","?","Yes","No","Yes","No"
"ToPolish","GermantoPolish","No","No","Yes","No","No","No"
"ToRomanian","EnglishtoRomanian","No","?","Yes","No","Yes","No"
"ToSerbo-Croatian","EnglishtoSerbo-Croatian","No","?","Yes","Yes","No","No"
"ToSlovene","EnglishtoSlovene","No","No","Yes","No","No","No"
"ToSlovene","GermantoSlovene","No","No","Yes","No","No","No"
"ToSwedish","EnglishtoSwedish","No","?","Yes","No","Yes","No"
"ToTurkish","EnglishtoTurkish","No","No","No","No","Yes","No"
"ToTurkish","CrimeanTatartoTurkish","Yes","No","No","No","No","No"
"ToUkrainian","EnglishtoUkrainian","No","?","Yes","No","Yes","No"
"Total(confirmed)","Total(confirmed)","28","9","31","15","65","59"
