"Protocol","Creator","Firstpublicreleasedate","License","Identity(notinc.alias)","Asynchronousmessagerelaying","TransportLayerSecurity","End-to-endencryption","Unlimitednumberofcontacts","Bulletinstoallcontacts","One-to-manyrouting","Spamprotection","Group,channelorconferencesupport","Audio/VoIPsupport","Webcam/Video","Batchfilesharing","Mediasynchronization","Serverless","Protocol"
"Mumble","ThorvaldNatvig","1999Jul","Openstandard","Username","Yes","Yes","No","Onlyforcertifiedrobots","No","Centralistic","Yes","Yes","Yes","No","Yes","No","No","Mumble"
"OSCAR(AIM,ICQ)","AOL","1997","Proprietary(Discontinued15-Dec-2017)","Username,EmailAddressorUINe.g.12345678","Yes","Yes(AimPro,AimLite)","No","No","No","Centralistic","client-based","Yes(Multiple,simultaneous)","Yes","Yes","Yes","No","No","OSCAR(AIM,ICQ)"
"RVP(WindowsMessenger,etc.)","Microsoft","1997Mar","Proprietary(Discontinued)","WindowsActiveDirectoryLogin","No","No","No","?","No","Centralistic","None","No","?","?","No","No","No","RVP(WindowsMessenger,etc.)"
"Ricochet","Invisible.im","2014Mar","Openstandard","Toronionaddress","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","No","Yes","Ricochet"
"ServalProject","ServalProject","2016","OpenStandard","Digitaddress","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","ServalProject"
"SignalProtocol","SignalFoundation","2014Feb","Openstandard","Phonenumber(e.g.+1234567890)","Yes","Yes","Yes","Yes","?","Yes","Yes,contactblocking","Yes","Yes","Yes","Yes","Yes","No","SignalProtocol"
"SIP/SIMPLE","IETF","1996","Openstandard","user@hostname","Yes","Yes","Optional","Yes","Yes","No","Medium","?","Yes","Yes","Yes","No","Dependsonimplementation","SIP/SIMPLE"
"Skype","Skype","2003Aug","Proprietary","Username","Yes","Proprietary","No","No","No","Centralistic","client-based","Yes","Yes","Yes","Yes","No","No","Skype"
"SteamFriends","Valve","2003Sep12","Proprietary","SteamID/UsernameorUniqueNumber","Yes","Proprietary","?","No,althoughrising","Yes","?","No","Yes","Yes","No","No","No","No","SteamFriends"
"TOC2","AOL","2005Sep","Proprietary(Discontinued)","UsernameorUINe.g.12345678","Yes","No","No","No","No","Centralistic","No","payingmembersonly","?","?","Partial","?","No","TOC2"
"TOX(basedonDHT)","irungentoo(githubuser)","2013June","GNUGeneralPublicLicense(GPL)version3orlater","Public&Privatekey","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","TOX(basedonDHT)"
"Tuenti","Tuenti","2006","Proprietary","Username","Yes","Yes","No","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","?","No","Tuenti"
"WindowsMessengerservice","Microsoft","1990","Proprietary(Discontinued)","NetBIOS","Yes","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","WindowsMessengerservice"
"XMPP","JeremieMiller,standardizedviaIETF","1999Jan","Openstandard","JabberID(JID)e.g.usr@a.b.c/home","Yes","Yes","Optional","Yes","Yes","Yes","Yes","Yes","Yes,viaJingle","Yes,viaJingle","Yes","Yes","Optional","XMPP"
"YMSG(Yahoo!Messenger)","Yahoo!","1998,March9","Proprietary","Username","Yes","No","No","No","Yes","Centralistic","Yes","Yes","Yes","Yes","Yes","No","No","YMSG(Yahoo!Messenger)"
"ZephyrNotificationService","MIT","1987","Openstandard","Kerberosprincipale.g.user@ATHENA.MIT.EDU","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No","ZephyrNotificationService"
"SMS/MMS/EMS/Call","FriedhelmHillebrand","1985","Proprietary","Phonenumber(e.g.+1234567890)","Yes","No","No","About250contactsinSIM,unlimitedfromphone.","No","serialmessages","Medium","No","Yes","3G-324M/ViLTE","RCS","No","?","SMS"
"Protocol","Creator","Firstpublicreleasedate","License","Identity(notinc.alias)","Asynchronousmessagerelaying","TransportLayerSecurity","End-to-endencryption","Unlimitednumberofcontacts","Bulletinstoallcontacts","One-to-manyrouting","Spamprotection","Group,channelorconferencesupport","Audio/VoIPsupport","Webcam/Video","Batchfilesharing","Mediasynchronization","Serverless(decentralized)","Protocol"
