"Filesystem","Creator","Yearofintroduction","Originaloperatingsystem"
"HFSPlus","Apple","1998","MacOS8.1"
"NSS","Novell","1998","NetWare5"
"PolyServeFileSystem(PSFS)","PolyServe","1998","Windows,Linux"
"ODS-5","DEC","1998","OpenVMSV7.2"
"WAFL","NetApp","1998","DataONTAP"
"ext3","StephenTweedie","1999","Linux"
"ISO9660:1999","EcmaInternational,ISO","1999","MicrosoftWindows,Linux,""classic""MacOS,FreeBSD,andAmigaOS"
"JFS","IBM","1999","OS/2WarpServerfore-business"
"GFS","Sistina(RedHat)","2000","Linux"
"ReiserFS","Namesys","2001","Linux"
"zFS","IBM","2001","z/OS(backportedtoOS/390)"
"FATX","Microsoft","2002","Xbox"
"UFS2","KirkMcKusick","2002","FreeBSD5.0"
"OCFS","OracleCorporation","2002","Linux"
"SquashFS","PhillipLougher,RobertLougher","2002","Linux"
"VMFS2","VMware","2002","VMwareESXServer2.0"
"Lustre","ClusterFileSystems","2002","Linux"
"Fossil","BellLabs","2003","Plan9version4"
"GoogleFileSystem","Google","2003","Linux"
"ZFS","SunMicrosystems","2004","Solaris"
"Reiser4","Namesys","2004","Linux"
"Non-VolatileFileSystem","Palm,Inc.","2004","PalmOSGarnet"
"BeeGFS","Fraunhofer/ThinkParQ","2005","Linux"
"GlusterFS","GlusterInc.","2005","Linux"
"MinixV3FS","AndrewS.Tanenbaum","2005","MINIX3"
"OCFS2","OracleCorporation","2005","Linux"
"NILFS","NTT","2005","Linux"
"VMFS3","VMware","2005","VMwareESXServer3.0"
"GFS2","RedHat","2006","Linux"
"ext4","various","2006","Linux"
"exFAT","Microsoft","2006","WindowsCE6.0"
"Btrfs","OracleCorporation","2007","Linux"
"JXFS","HyperionEntertainment","2008","AmigaOS4.1"
"HAMMER","MatthewDillon","2008","DragonFlyBSD2.0"
"LSFS","StarWindSoftware","2009","Linux,FreeBSD,Windows"
"UniFS","Nasuni","2009","Cloud"
"CASL","NimbleStorage","2010","Linux"
"OrangeFS","Omnibondandothers","2011","Linux"
"VMFS5","VMware","2011","vSphere5.0+"
"CHFS","UniversityofSzeged","2011","NetBSD6.0+"
"ReFS","Microsoft","2012","WindowsServer2012"
"F2FS","SamsungElectronics","2012","Linux"
"bcachefs","KentOverstreet","2015","Linux"
"APFS","Apple","2016","macOSHighSierra,iOS10.3"
"NOVA","UC,SanDiego","2017","Linux"
"BlueStore/Cephfs","RedHat,UniversityofCalifornia,SantaCruz","2017","Linux"
"HAMMER2","MatthewDillon","2017","DragonFlyBSD5.0"
"EROFS","Huawei","2018","Android"
